編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLQKKILFFEM88CA,18,271.75,住家用,鋼筋混凝土造,88年1月15日,三層,一層 二層 三層
RPQNMLRKJHMFFDM88CA,13,151.11,住家用,鋼筋混凝土造,93年2月5日,三層,一層 二層 三層 屋頂突出物
RPSNMLKLJHMFFBM38DA,23,70.41,商業用,鋼筋混凝土造,83年1月17日,十二層,五層
RPSNMLKLJHMFFBM38DA,23,32.26,見其他登記事項,鋼筋混凝土造,83年1月17日,十二層,
RPSNMLOJJHMFFAM38CA,31,87.56,住家用,加強磚造,74年11月1日,二層,一層 二層
RPOOMLMKJHMFFAM97CA,,161.35,見其他登記事項,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPRPMLMKJHMFFAM38CA,,140.40,見其他登記事項,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPTPMLMKJHMFFAM58CA,,181.93,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPWPMLMKJHMFFAM88CA,,161.35,見其他登記事項,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPXPMLMKJHMFFAM98CA,,161.35,見其他登記事項,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPXQMLMKJHMFFAM09CA,,181.93,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPQRMLMKJHMFFAM48CA,,181.93,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPXOMLQKJHMFFAM66CA,,80.68,見其他登記事項,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPXOMLQKJHMFFAM66CA,,80.68,見其他登記事項,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPSNMLPJJHMFFBM58CA,37,113.96,住商用,鋼筋混凝土加強磚造,68年6月28日,二層,一層 二層 騎樓
RPQNMLLLKHMFFBM28CA,26,138.41,農舍,加強磚造,79年7月21日,二層,一層 二層 屋頂突出物
RPRNMLLLKHMFFBM38CA,26,138.41,農舍,加強磚造,79年7月21日,二層,一層 二層 屋頂突出物
