鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
員林鎮,土地,源潭段181~210地號,645.0,,特定農業區,農牧用地,1050501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2940000,4558,,0.0,0,1.權利人共2人2.未保存登記建物越界建築之交易,RPOOMLLLKHMFFDN48CA
員林鎮,土地,南潭段871~900地號,484.02,,特定農業區,農牧用地,1050801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4099600,8470,,0.0,0,含未辦保存登記建物。,RPRNMLRKKHMFFDN56CA
社頭鄉,土地,廣興段931~960地號,190.14,住,,,1051201,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5350000,28137,,0.0,0,,RPPNMLRKKHMFFEN09CA
伸港鄉,土地,伸同段91~120地號,569.69,,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17749990,31157,,0.0,0,,RPQNMLQKKHMFFBN78CA
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮富麗一街1~30號,48.58,,特定農業區,甲種建築用地,1051201,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880114,159.08,3,2,2,有,有,3880000,24390,坡道平面,0.0,0,,RPPNMLPJJHMFFCN48CA
鹿港鎮,土地,東昇段811~840地號,500.0,,特定農業區,甲種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,5600,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLSJJHMFFCN78CA
福興鄉,土地,新生段1711~1740地號,2480.0,住,,,1051201,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,82522000,33275,,0.0,0,,RPQNMLNKJHMFFCN48CA
福興鄉,房地(土地+建物),彰化縣福興鄉福興路61~90號,73.38,住,,,1051101,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050720,181.76,0,0,0,無,無,9000000,49516,,0.0,0,,RPQNMLNLJHMFFCN58CA
福興鄉,房地(土地+建物),彰化縣福興鄉福興路61~90號,71.78,住,,,1051001,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050720,181.76,0,0,0,無,無,8800000,48415,,0.0,0,,RPRNMLNLJHMFFCN68CA
福興鄉,土地,新生段1471~1500地號,1000.0,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4700000,4700,,0.0,0,,RPXPMLNLJHMFFCN86CA
