編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLOKKILFFCP98CA,1,4.66,見其他登記事項,鋼筋混凝土造,104年11月26日,一層,
RPRNMLOKKILFFCP98CA,1,212.27,見其他登記事項,鋼筋混凝土造,104年11月26日,四層,騎樓 見其他登記事項
RPUNMLOJJHMFFDP56CA,24,111.49,住家用,鋼筋混凝土造,81年12月29日,七層,四層
RPUNMLOJJHMFFDP56CA,24,20.68,共有部份,鋼筋混凝土造,81年12月29日,七層,
RPUNMLOJJHMFFDP56CA,24,11.38,共有部份,鋼筋混凝土造,81年12月29日,七層,
RPPOMLPJJHMFFDP88CA,10,17.06,住家用,鋼筋混凝土造,95年8月3日,五層,二層
RPPOMLPJJHMFFDP88CA,10,6.39,見其他登記事項,鋼筋混凝土造,95年8月3日,五層,
RPPOMLPJJHMFFDP88CA,10,12.59,見其他登記事項,鋼筋混凝土造,95年8月3日,五層,
RPTOMLMKJHMFFDP09CA,15,162.84,商業用,鋼筋混凝土造,91年4月25日,六層,三層
RPTOMLMKJHMFFDP09CA,15,27.27,見其他登記事項,鋼筋混凝土造,91年4月25日,六層,
RPTOMLMKJHMFFDP09CA,15,35.41,見其他登記事項,鋼筋混凝土造,91年4月25日,六層,
RPTOMLMKJHMFFDP09CA,15,8.68,見其他登記事項,鋼筋混凝土造,91年4月25日,六層,
RPTOMLMKJHMFFDP09CA,15,18.83,見其他登記事項,鋼筋混凝土造,91年4月25日,六層,
RPSNMLMLKHMFFAP78CA,43,103.10,住家用,加強磚造,63年3月2日,二層,一層 二層
RPSNMLOJJHMFFBP78CA,20,19.71,住家用,鋼筋混凝土造,86年4月20日,十三層,十一層
RPSNMLOJJHMFFBP78CA,20,12.77,共有部份,鋼筋混凝土造,86年4月20日,十三層,
RPUOMLOLJHMFFDP86CA,40,99.52,住家用,加強磚造,65年9月5日,二層,一層 二層 夾層
RPPOMLTJJHMFFDP76DA,38,55.42,住家用,加強磚造,67年8月10日,二層,一層 二層
RPWNMLQJKHMFFDP17DA,1,161.93,見其他登記事項,鋼筋混凝土造,105年4月8日,三層,一層 二層 三層 見其他登記事項
RPOOMLQJKHMFFDP09DA,1,161.94,見其他登記事項,鋼筋混凝土造,105年4月8日,三層,一層 二層 三層 見其他登記事項
RPPOMLTJJHMFFAP56EA,24,84.48,住家用,鋼筋混凝土造,81年9月30日,八層,五層
RPPOMLTJJHMFFAP56EA,24,13.50,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPPOMLTJJHMFFAP56EA,24,23.88,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,地下層
RPPOMLQJKHMFFDP56DA,1,161.93,見其他登記事項,鋼筋混凝土造,105年4月8日,三層,一層 二層 三層 見其他登記事項
RPQOMLQJKHMFFDP66DA,1,161.94,見其他登記事項,鋼筋混凝土造,105年4月8日,三層,一層 二層 三層 見其他登記事項
RPROMLQJKHMFFDP76DA,1,161.93,見其他登記事項,鋼筋混凝土造,105年4月7日,三層,一層 二層 三層 見其他登記事項
RPRNMLQJJHMFFDP56DA,13,179.83,住家用,鋼筋混凝土造,90年6月5日,三層,一層 二層 三層
RPRNMLQJJHMFFDP56DA,13,179.83,住家用,鋼筋混凝土造,90年6月5日,三層,一層 二層 三層
RPTNMLQJJHMFFDP76DA,14,167.40,見其他登記事項,鋼筋混凝土造,92年4月29日,三層,一層 二層 三層
RPOOMLQJJHMFFCP88DA,22,173.36,住家用,鋼筋混凝土造,83年6月9日,三層,一層 二層 三層 夾層
RPXNMLPJJHMFFAP76DA,20,87.58,住家用,鋼筋混凝土造,86年3月21日,十三層,六層
RPXNMLPJJHMFFAP76DA,20,13.43,共同部份,鋼筋混凝土造,86年3月21日,十三層,
RPXNMLPJJHMFFAP76DA,20,13.34,共同部份,鋼筋混凝土造,86年3月21日,十三層,
RPXOMLTJJHMFFAP27DA,2,63.00,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,四層
RPXOMLTJJHMFFAP27DA,2,6.15,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPXOMLTJJHMFFAP27DA,2,10.65,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPOPMLPLJHMFFAP88DA,7,203.52,住家用,鋼筋混凝土造,98年11月5日,四層,一層 二層 三層 四層
