編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLNLKHMFFAU86EA,,158.26,住家用,鋼筋混凝土造,105年10月11日,九層,七層
RPQOMLNLKHMFFAU86EA,,50.01,見其他登記事項,鋼筋混凝土造,105年10月11日,九層,
RPQOMLNLKHMFFAU86EA,,42.03,共有部份,鋼筋混凝土造,105年10月11日,九層,
SPQOMLNLKHMFFAU96EA,,158.91,住家用,鋼筋混凝土造,105年10月11日,九層,六層
SPQOMLNLKHMFFAU96EA,,12.01,共有部份,鋼筋混凝土造,105年10月11日,九層,
SPQOMLNLKHMFFAU96EA,,50.01,見其他登記事項,鋼筋混凝土造,105年10月11日,九層,
TPQOMLNLKHMFFAU07EA,,144.72,住家用,鋼筋混凝土造,105年10月11日,九層,四層
TPQOMLNLKHMFFAU07EA,,14.01,共有部份,鋼筋混凝土造,105年10月11日,九層,
TPQOMLNLKHMFFAU07EA,,45.01,見其他登記事項,鋼筋混凝土造,105年10月11日,九層,
RPUNMLPJJHMFFAU86CA,39,96.04,住家用,鋼筋混凝土加強磚造,66年9月26日,二層,一層 二層
RPVNMLQJJHMFFAU07CA,8,267.07,住家用,鋼筋混凝土造,98年6月17日,四層,一層 二層 三層 四層
RPOPMLNJJHMFFAU88CA,38,80.96,住商用,鋼筋混凝土造,67年12月28日,二層,一層 二層 騎樓
RPSPMLNJJHMFFAU66CA,22,30.91,住家用,鋼筋混凝土造,83年7月8日,六層,六層
RPSPMLNJJHMFFAU66CA,22,12.69,共有部份,鋼筋混凝土造,83年7月8日,六層,
RPQNMLKKJHMFFAU68CA,24,73.05,住家用,鋼筋混凝土造,82年6月18日,六層,二層
RPQNMLKKJHMFFAU68CA,24,33.77,共有部份,鋼筋混凝土造,82年6月18日,六層,
RPPNMLMKJHMFFAU78CA,39,88.16,住家用,鋼筋混凝土加強磚造,67年5月15日,二層,一層 二層
RPQOMLQKJHMFFAU76CA,35,140.03,住家用,鋼筋混凝土加強磚造,70年10月12日,二層,一層 二層 屋頂突出物
RPOPMLOLJHMFFAU56CA,16,176.91,住家用,鋼筋混凝土造,90年4月25日,三層,一層 二層 三層 夾層
RPTNMLQJJHMFFAU07EA,29,42.05,住家用,鋼筋混凝土造,77年2月8日,六層,三層
RPTNMLQJJHMFFAU07EA,29,12.48,共有部份,鋼筋混凝土造,77年2月8日,六層,
RPTNMLKLJHMFFAU66EA,29,49.18,住家用,鋼筋混凝土造,77年2月8日,六層,二層
RPTNMLKLJHMFFAU66EA,29,14.60,共有部份,鋼筋混凝土造,77年2月8日,六層,
RPXOMLOLJHMFFAU37CA,25,101.26,住家用,鋼筋混凝土造,81年3月3日,五層,三層
RPXOMLOLJHMFFAU37CA,25,15.98,共有部份,鋼筋混凝土造,81年3月3日,五層,
RPWOMLNKJHMFFAU07CA,12,261.22,住家用,鋼筋混凝土造,94年4月13日,四層,二層 三層 一層 四層
RPUNMLLKJHMFFAU56CA,40,91.40,住家用,鋼筋混凝土加強磚造,66年3月21日,二層,一層 二層
RPWNMLNKJHMFFAU96CA,38,100.10,住家用,鋼筋混凝土加強磚造,68年3月16日,二層,一層 二層
RPWOMLOJJHMFFAU07CA,22,59.03,住家用,鋼筋混凝土造,84年2月13日,六層,六層
RPWOMLOJJHMFFAU07CA,22,25.03,共有部份,鋼筋混凝土造,84年2月13日,六層,
RPRNMLLKJHMFFAU88CA,24,354.35,住家用,鋼筋混凝土造,81年6月29日,四層,一層 二層 三層 四層 屋頂突出物
RPXNMLPJJHMFFAU17CA,22,63.54,住家用,鋼筋混凝土造,83年10月26日,九層,五層
RPXNMLPJJHMFFAU17CA,22,6.60,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPXNMLPJJHMFFAU17CA,22,15.49,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPQOMLPJJHMFFAU56CA,17,339.46,農舍,鋼筋混凝土造,88年11月16日,二層,一層 二層 見其他登記事項
RPSNMLQJJHMFFAU76CA,22,102.35,住家用,鋼筋混凝土造,83年10月6日,七層,三層
RPSNMLQJJHMFFAU76CA,22,41.46,共有部份,鋼筋混凝土造,83年10月6日,七層,
RPROMLLKJHMFFAU98CA,43,101.64,住家用,鋼筋混凝土加強磚造,63年3月6日,二層,一層 二層 騎樓
RPOOMLQKJHMFFAU56CA,22,22.06,住家用,鋼筋混凝土造,83年11月15日,十二層,三層
RPOOMLQKJHMFFAU56CA,22,5.95,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPOOMLQKJHMFFAU56CA,22,7.54,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPOOMLQKJHMFFAU56CA,22,24.29,住家用,鋼筋混凝土造,83年11月15日,十二層,三層
RPOOMLQKJHMFFAU56CA,22,6.37,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPOOMLQKJHMFFAU56CA,22,8.30,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPSOMLQLJHMFFAU07CA,27,8.71,共有部份,鋼筋混凝土造,78年9月5日,五層,
RPSOMLQLJHMFFAU07CA,27,103.63,住家用,鋼筋混凝土造,78年9月5日,五層,一層
RPSOMLQLJHMFFAU07CA,27,7.41,共有部份,鋼筋混凝土造,78年9月5日,五層,
RPSNMLMJKHMFFAU09CA,32,95.65,住家用,鋼筋混凝土造,74年2月4日,二層,一層 二層
RPRNMLKKJHMFFAU98EA,21,105.35,商業用,鋼筋混凝土造,85年2月17日,五層,一層
RPRNMLKKJHMFFAU98EA,21,10.93,共有部份,鋼筋混凝土造,85年2月17日,五層,
RPROMLQKJHMFFAU07EA,21,14.18,停車空間,鋼筋混凝土造,84年9月19日,六層,防空避難室
RPROMLQKJHMFFAU07EA,21,60.34,住家用,鋼筋混凝土造,84年9月19日,六層,六層
RPROMLQKJHMFFAU07EA,21,27.41,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPROMLQKJHMFFAU07EA,21,.69,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPXOMLQLJHMFFAU57CA,23,136.73,住家用,鋼筋混凝土造,82年12月29日,三層,一層 二層 三層
RPXOMLSKJHMFFAU67CA,11,257.60,住商用,鋼筋混凝土造,94年7月5日,四層,一層 二層 三層 四層 騎樓
RPTNMLLKJHMFFAU09CA,17,20.04,住家用,鋼筋混凝土造,88年11月25日,六層,四層
RPTNMLLKJHMFFAU09CA,17,14.25,共有部份,鋼筋混凝土造,88年11月25日,六層,
RPUNMLTJJHMFFAU27CA,23,90.79,住家用,鋼筋混凝土造,83年5月25日,六層,二層
RPUNMLTJJHMFFAU27CA,23,38.52,共有部份,鋼筋混凝土造,83年5月25日,六層,
RPOOMLTKJHMFFAU07EA,18,104.45,住家用,鋼筋混凝土造,88年5月20日,五層,二層 三層
RPOOMLTKJHMFFAU07EA,18,13.50,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPOOMLTKJHMFFAU07EA,18,23.33,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPSOMLLKJHMFFAU09CA,19,57.03,住家用,鋼筋混凝土造,86年8月27日,九層,一層
RPSOMLLKJHMFFAU09CA,19,8.15,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPSOMLLKJHMFFAU09CA,19,50.58,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPOPMLLKJHMFFAU78CA,18,487.46,見其他登記事項,鋼筋混凝土造,88年4月14日,二層,一層 二層 防空避難室 屋頂突出物
RPWNMLLKJHMFFAU76CA,23,106.64,住家用,鋼筋混凝土造,83年4月12日,七層,三層
RPWNMLLKJHMFFAU76CA,23,30.15,共有部份,鋼筋混凝土造,83年4月23日,七層,
RPQNMLLLJHMFFAU88CA,11,200.76,住家用,鋼筋混凝土造,95年6月7日,三層,一層 二層 三層
RPUNMLNKJHMFFAU76CA,21,24.67,住家用,鋼筋混凝土造,84年8月25日,七層,五層
RPUNMLNKJHMFFAU76CA,21,15.71,共有部份,鋼筋混凝土造,84年8月25日,七層,
RPTNMLMJKHMFFAU56CA,35,188.93,住商用,鋼筋混凝土造,70年6月26日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPOMLNLKHMFFAU76EA,,264.56,住商用,鋼筋混凝土造,105年10月11日,九層,一層 二層 騎樓
RPPOMLNLKHMFFAU76EA,,45.01,見其他登記事項,鋼筋混凝土造,105年10月11日,九層,
SPPOMLNLKHMFFAU86EA,,264.56,住商用,鋼筋混凝土造,105年10月11日,九層,一層 二層 騎樓
SPPOMLNLKHMFFAU86EA,,52.01,見其他登記事項,鋼筋混凝土造,105年10月11日,九層,
SPPOMLNLKHMFFAU86EA,,14.01,共有部份,鋼筋混凝土造,105年10月11日,九層,
TPPOMLNLKHMFFAU96EA,,158.91,住家用,鋼筋混凝土造,105年10月11日,九層,七層
TPPOMLNLKHMFFAU96EA,,50.01,見其他登記事項,鋼筋混凝土造,105年10月11日,九層,
