編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLPJJHMFFAW56CA,1,83.40,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,五層
RPPNMLPJJHMFFAW56CA,1,48.24,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPSNMLPJJHMFFAW86CA,,151.25,見其他登記事項,鋼筋混凝土造,105年10月17日,三層,一層 二層 三層
RPROMLSKJHMFFAW37DA,54,42.16,商業用,鋼筋混凝土造,51年8月15日,二層,一層 二層 騎樓
RPPNMLSKJHMFFAW96CA,4,170.82,住家用,鋼筋混凝土造,101年12月26日,三層,一層 二層 三層
RPOOMLQKJHMFFAW86DA,,52.08,見其他登記事項,鋼筋混凝土造,105年11月25日,三層,三層
RPOOMLQKJHMFFAW86DA,,8.12,見其他登記事項,鋼筋混凝土造,105年11月25日,三層,
RPROMLQKJHMFFAW17DA,,52.05,見其他登記事項,鋼筋混凝土造,105年11月25日,三層,二層
RPROMLQKJHMFFAW17DA,,8.12,見其他登記事項,鋼筋混凝土造,105年11月25日,三層,
RPUOMLQKJHMFFAW47DA,,52.08,見其他登記事項,鋼筋混凝土造,105年11月25日,三層,二層
RPUOMLQKJHMFFAW47DA,,8.12,見其他登記事項,鋼筋混凝土造,105年11月25日,三層,
RPPNMLKKJHMFFAW88DA,1,92.35,見其他登記事項,鋼筋混凝土造,105年4月19日,三層,三層
RPPNMLKKJHMFFAW88DA,1,6.12,見其他登記事項,鋼筋混凝土造,105年4月19日,三層,
RPQOMLSKJHMFFAW27DA,54,42.16,商業用,鋼筋混凝土造,51年8月15日,二層,一層 二層 騎樓
RPTNMLQKJHMFFAW17CA,,77.61,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,二層
RPTNMLQKJHMFFAW17CA,,6.16,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,
RPTOMLQKJHMFFAW27CA,1,83.43,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,四層
RPTOMLQKJHMFFAW27CA,1,48.24,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPSOMLQKJHMFFAW17CA,1,38.29,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,三層
RPSOMLQKJHMFFAW17CA,1,22.98,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPRPMLNKJHMFFAW86CA,,76.80,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,二層
RPRPMLNKJHMFFAW86CA,,5.99,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,
RPXNMLQKJHMFFAW57CA,,76.80,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,三層
RPXNMLQKJHMFFAW57CA,,5.99,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,
RPQNMLSKJHMFFAW07CA,1,169.38,住家用,鋼筋混凝土造,104年9月18日,三層,一層 二層 三層 屋頂突出物
RPOOMLMKJHMFFAW98CA,,80.72,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,三層
RPOOMLMKJHMFFAW98CA,,13.71,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,
RPTNMLNKJHMFFAW86CA,,80.72,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,二層
RPTNMLNKJHMFFAW86CA,,13.71,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,
RPWNMLNKJHMFFAW17CA,,72.53,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,一層
RPWNMLNKJHMFFAW17CA,,12.40,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,
RPPNMLRKJHMFFAW96DA,19,66.26,見使用執照,鋼筋混凝土造,86年9月13日,七層,七層
RPPNMLRKJHMFFAW96DA,19,16.56,共用部份,鋼筋混凝土造,86年9月13日,七層,
RPUNMLNJKHMFFAW96CA,,208.78,住家用,鋼筋混凝土造,105年10月6日,三層,一層 二層 三層
RPWNMLMKJHMFFAW07CA,,77.17,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,三層
RPWNMLMKJHMFFAW07CA,,6.82,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,
RPUNMLQKJHMFFAW27CA,,51.20,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,一層
RPUNMLQKJHMFFAW27CA,,2.79,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,
RPVNMLQKJHMFFAW37CA,,80.66,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,二層
RPVNMLQKJHMFFAW37CA,,4.65,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,
RPWNMLQKJHMFFAW47CA,,77.84,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,三層
RPWNMLQKJHMFFAW47CA,,6.82,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,
RPWOMLNKJHMFFAW27CA,,76.83,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,二層
RPWOMLNKJHMFFAW27CA,,4.43,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,
