編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPPMLRJOHIFFBA57CA,,9.69,商業用,鋼筋混凝土造,,十一層,一層 騎樓
RPPPMLRJOHIFFBA57CA,,331.57,商業用,鋼筋混凝土造,,十一層,二層
RPSOMLRLNHIFFBA87CA,39,14.89,商業用,鋼筋混凝土造,63年8月6日,九層,三層
RPSOMLRLNHIFFBA87CA,39,8.65,共有部分,鋼筋混凝土造,63年8月6日,九層,
RPURMLMJIIIFFBA27CA,39,6.90,商業用,鋼筋混凝土造,63年8月6日,九層,二層
RPURMLMJIIIFFBA27CA,39,10.92,商業用,鋼筋混凝土造,63年8月6日,九層,二層
RPQNMLOKIIIFFBA76CA,39,13.53,商業用,鋼筋混凝土造,63年8月6日,九層,三層
RPQNMLOKIIIFFBA76CA,39,6.54,共有部分,鋼筋混凝土造,63年8月6日,九層,
RPQNMLOKIIIFFBA76CA,39,9.32,商業用,鋼筋混凝土造,63年8月6日,九層,三層
RPQNMLOKIIIFFBA76CA,39,13.09,共有部分,鋼筋混凝土造,63年8月6日,九層,
RPOOMLOKIIIFFBA66CA,39,18.53,商業用,鋼筋混凝土造,63年8月6日,九層,三層
RPOOMLOKIIIFFBA66CA,39,8.73,共有部分,鋼筋混凝土造,63年8月6日,九層,
RPPNMLQKIIIFFBA86CA,39,10.92,商業用,鋼筋混凝土造,63年8月6日,九層,三層
RPPNMLQKIIIFFBA86CA,39,6.90,共有部分,鋼筋混凝土造,63年8月6日,九層,
RPRNMLQJJIIFFBA07CA,39,15.94,商業用,鋼筋混凝土造,63年8月6日,九層,三層
RPRNMLQJJIIFFBA07CA,39,8.43,共有部分,鋼筋混凝土造,63年8月6日,九層,
RPOOMLKLJIIFFBA09CA,39,9.41,商業用,鋼筋混凝土造,63年8月6日,九層,二層
RPOOMLKLJIIFFBA09CA,39,7.75,商業用,鋼筋混凝土造,63年8月6日,九層,二層
RPWNMLPKQHJFFBA28CA,40,11.27,商業用,鋼筋混凝土造,63年8月6日,九層,三層
RPWNMLPKQHJFFBA28CA,40,12.11,共有部分,鋼筋混凝土造,63年8月6日,九層,
RPSOMLOKLHLFFCA77DA,48,84.03,,鋼筋混凝土造,56年10月31日,十層,九層
RPSOMLOKLHLFFCA77DA,48,1.62,共有部分,鋼筋混凝土造,56年10月31日,十層,
RPSOMLOKLHLFFCA77DA,48,1.70,共有部分,鋼筋混凝土造,56年10月31日,十層,
RPSOMLOKLHLFFCA77DA,48,21.87,共有部分,鋼筋混凝土造,56年10月31日,十層,
RPQNMLKKNHLFFFA47CA,49,85.32,,加強磚造,56年5月26日,四層,三層
RPPPMLPJPHLFFBA77CA,42,30.12,商業用,鋼筋混凝土造,63年6月20日,十層,一層
RPPPMLPJPHLFFBA77CA,42,40.08,共有部分,鋼筋混凝土造,63年9月18日,十層,
RPWNMLSKKHMFFDA58DA,3,69.62,住家用,鋼筋混凝土造,102年11月7日,十三層,三層
RPWNMLSKKHMFFDA58DA,3,55.04,見其他登記事項,鋼筋混凝土造,102年11月7日,十三層,
RPVNMLSJKHMFFFA48CA,31,158.20,住家用,鋼筋混凝土造,75年1月31日,十七層,五層
RPVNMLSJKHMFFFA48CA,31,35.12,共有部分,鋼筋混凝土造,75年1月31日,十七層,
RPVNMLSJKHMFFFA48CA,31,38.28,見使用執照,鋼筋混凝土造,75年1月31日,十七層,地下一層 地下二層
RPSNMLLLKHMFFFA67CA,,96.03,住家用,鋼筋混凝土造,,十三層,五層
RPSNMLLLKHMFFFA67CA,,7.68,共有部分,鋼筋混凝土造,,十三層,
RPSNMLLLKHMFFFA67CA,,89.23,住家用,鋼筋混凝土造,,十三層,五層
RPSNMLLLKHMFFFA67CA,,6.66,共有部分,鋼筋混凝土造,,十三層,
RPRNMLNKKHMFFBA37DA,,1.19,,磚造,,二層,一層 二層
