編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLOKKILFFCA57CC,,176.30,,加強磚造,,二層,
RPWNMLPKKILFFDA38CC,,86.59,住商用,鋼筋混凝土造,,五層,
RPWNMLPKKILFFDA38CC,,20.56,住商用,鋼筋混凝土造,,五層,
RPWNMLPKKILFFDA38CC,,67.41,見使用執照,鋼筋混凝土造,,五層,
RPQQMLQKKILFFCA08CC,50,26.80,住商用,加強磚造,56年5月18日,四層,
RPVNMLTKKILFFDA68CC,,143.02,,加強磚造,,二層,
RPOOMLLLKILFFEA47CC,51,104.30,住家用,加強磚造,54年7月30日,二層,
RPUNMLMLKILFFBA77CC,36,50.64,商業用,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,9.65,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,131.19,住家用,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,22.14,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,308.84,商業用,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,41.05,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPOPMLSLKILFFBA97CC,,497.40,住商用,加強磚造,,四層,
RPVOMLSLKILFFEA88CC,46,125.76,住商用,加強磚造,60年4月16日,三層,
RPSNMLOJJHMFFEA77CC,22,318.51,住家用,鋼筋混凝土造,83年10月12日,二層,
RPUOMLOJJHMFFBA77CC,48,76.24,住家用,加強磚造,58年5月1日,二層,
RPUOMLOJJHMFFBA77CC,48,76.24,住家用,加強磚造,58年5月1日,二層,
RPUOMLOJJHMFFBA77CC,29,76.12,住家用,鋼筋混凝土造,77年5月3日,三層,
RPUOMLOJJHMFFBA77CC,29,4.64,住家用,鋼筋混凝土造,77年5月3日,三層,
RPXNMLQJJHMFFBA28DC,,294.23,,加強磚造,,四層,
RPOOMLQJJHMFFBA47DC,,236.16,,鋼筋混凝土造,,四層,
RPOOMLQJJHMFFBA47DC,,228.87,,鋼筋混凝土造,,四層,
RPSOMLKKJHMFFEA57CC,56,58.70,住家用,磚造,49年9月16日,二層,
RPPPMLMKJHMFFDA47CC,,66.75,商業用,鋼筋混凝土造,,十二層,
RPPPMLMKJHMFFDA47CC,,11.20,商業用,鋼筋混凝土造,,十二層,
RPWNMLMKJHMFFCA87CC,17,99.13,住家用,鋼筋混凝土造,88年9月28日,十六層,
RPWNMLMKJHMFFCA87CC,17,9.66,共有部分,鋼筋混凝土造,88年9月28日,十六層,
RPWNMLMKJHMFFCA87CC,17,4.77,共有部分,鋼筋混凝土造,88年9月28日,十六層,
RPSQMLMKJHMFFCA77CC,46,412.68,住家用,鋼筋混凝土造,60年3月4日,四層,
RPSQMLMKJHMFFCA77CC,46,412.68,住家用,鋼筋混凝土造,60年3月4日,四層,
RPRQMLNKJHMFFCA77CC,8,43.58,住家用,鋼筋混凝土造,97年8月13日,十二層,
RPSNMLQKJHMFFCA87CC,28,93.19,住家用,鋼筋混凝土造,77年12月19日,十三層,
RPSNMLQKJHMFFCA87CC,28,18.32,共有部分,鋼筋混凝土造,77年12月19日,十三層,
RPSNMLQKJHMFFCA87CC,28,8.02,見使用執照,鋼筋混凝土造,77年12月19日,十三層,
RPXNMLQKJHMFFCA38CC,9,38.78,商業用,鋼筋混凝土造,96年12月6日,八層,
RPXNMLQKJHMFFCA38CC,9,20.18,共有部分,鋼筋混凝土造,96年12月6日,八層,
RPOOMLQKJHMFFCA57CC,22,8.39,共有部分,鋼筋混凝土造,83年9月26日,十層,
RPOOMLQKJHMFFCA57CC,22,3.51,共有部分,鋼筋混凝土造,83年9月26日,十層,
RPOOMLQKJHMFFCA57CC,22,21.38,商業用,鋼筋混凝土造,83年9月26日,十層,
RPPOMLQKJHMFFCA67CC,17,85.30,住家用,鋼筋混凝土造,89年6月28日,十二層,
RPPOMLQKJHMFFCA67CC,17,15.56,共有部分,鋼筋混凝土造,89年6月28日,十二層,
RPPOMLQKJHMFFCA67CC,15,54.18,商業用,鋼筋混凝土造,90年8月29日,十層,
RPWOMLQKJHMFFCA38CC,8,56.79,商業用,鋼筋混凝土造,97年12月5日,十四層,
RPWOMLQKJHMFFCA38CC,8,15.59,共有部分,鋼筋混凝土造,97年12月5日,十四層,
RPWOMLQKJHMFFCA38CC,8,8.74,共有部分,鋼筋混凝土造,97年12月5日,十四層,
RPWOMLQKJHMFFCA38CC,8,2.77,共有部分,鋼筋混凝土造,97年12月5日,十四層,
RPVPMLQKJHMFFCA38CC,34,127.18,住家用,鋼筋混凝土造,72年3月31日,十四層,
RPVPMLQKJHMFFCA38CC,34,21.44,共有部分,鋼筋混凝土造,72年3月31日,十四層,
RPVPMLQKJHMFFCA38CC,34,3.51,共有部分,鋼筋混凝土造,72年3月31日,十四層,
RPOQMLQKJHMFFCA77CC,14,355.56,工業用,見使用執照,91年9月17日,十二層,
RPOQMLQKJHMFFCA77CC,14,98.23,共有部分,見使用執照,91年9月17日,十二層,
RPOQMLQKJHMFFCA77CC,15,250.60,工業用,見使用執照,90年11月22日,十層,
RPPQMLQKJHMFFCA87CC,17,51.42,商業用,鋼筋混凝土造,88年11月2日,十二層,
RPPQMLQKJHMFFCA87CC,17,1.21,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPPQMLQKJHMFFCA87CC,17,25.77,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPPQMLQKJHMFFCA87CC,17,.76,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPPQMLQKJHMFFCA87CC,17,7.30,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPRQMLQKJHMFFCA08CC,21,112.41,住家用,鋼筋混凝土造,85年5月27日,十五層,
RPRQMLQKJHMFFCA08CC,21,27.51,共有部分,鋼筋混凝土造,85年5月27日,十六層,
RPSQMLQKJHMFFCA18CC,6,78.16,住家用,鋼筋混凝土造,100年1月28日,十四層,
RPSQMLQKJHMFFCA18CC,6,36.88,見其他登記事項,鋼筋混凝土造,100年1月28日,十四層,
RPSQMLQKJHMFFCA18CC,6,2.16,見其他登記事項,鋼筋混凝土造,100年1月28日,十四層,
RPSQMLQKJHMFFCA18CC,6,46.96,見其他登記事項,鋼筋混凝土造,100年1月28日,十四層,
RPTQMLQKJHMFFCA28CC,17,37.97,商業用,鋼筋混凝土造,88年11月2日,十二層,
RPTQMLQKJHMFFCA28CC,17,4.86,商業用,鋼筋混凝土造,88年11月2日,十二層,
RPTQMLQKJHMFFCA28CC,17,11.13,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPTQMLQKJHMFFCA28CC,17,.89,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPTQMLQKJHMFFCA28CC,17,5.39,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPVNMLQKJHMFFDA28CC,9,177.50,住家用,鋼骨鋼筋混凝土造,96年12月28日,二十七層,
RPVNMLQKJHMFFDA28CC,9,30.03,共有部分,鋼骨鋼筋混凝土造,96年12月28日,二十七層,
RPVNMLQKJHMFFDA28CC,9,40.47,共有部分,鋼骨鋼筋混凝土造,96年12月28日,二十七層,
RPWNMLQKJHMFFDA38CC,33,121.86,住家用,鋼筋混凝土造,73年6月26日,十二層,
RPWNMLQKJHMFFDA38CC,33,19.88,共有部分,鋼筋混凝土造,73年6月26日,十二層,
RPSOMLQKJHMFFDA08CC,23,178.81,商業用,鋼骨混凝土造,82年8月13日,二十七層,
RPSOMLQKJHMFFDA08CC,23,18.44,共有部分,鋼骨混凝土造,82年8月13日,二十七層,
RPUOMLQKJHMFFDA28CC,22,181.87,商業用,鋼筋混凝土造,84年4月18日,十層,
RPUOMLQKJHMFFDA28CC,22,36.88,共有部分,鋼筋混凝土造,84年4月18日,十層,
