編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLSJKILFFGL96CA,9,36.28,見其他登記事項,鋼筋混凝土造,96年6月7日,九層,一層 騎樓
RPUNMLSJKILFFGL96CA,9,12.93,見其他登記事項,鋼筋混凝土造,96年6月7日,九層,
RPUNMLSJKILFFGL96CA,9,9.03,共有部分,鋼筋混凝土造,96年6月7日,九層,
RPUPMLQKKILFFGL07CA,26,26.98,共有部分,鋼筋混凝土造,80年2月20日,十二層,
RPUPMLQKKILFFGL07CA,26,99.41,見其他登記事項,鋼筋混凝土造,80年2月10日,十二層,十二層
RPUPMLQKKILFFGL07CA,26,13.25,共有部分,鋼筋混凝土造,80年2月10日,十二層,
RPUPMLQKKILFFGL07CA,26,3.06,見其他登記事項,鋼筋混凝土造,80年2月20日,十二層,
RPWOMLQKKILFFGL17CA,24,63.18,見其他登記事項,鋼筋混凝土造,82年1月5日,七層,七層
RPWOMLQKKILFFGL17CA,24,15.06,共有部分,鋼筋混凝土造,82年1月5日,七層,
RPUOMLQKKILFFGL96CA,25,24.40,見其他登記事項,鋼筋混凝土造,80年5月15日,七層,七層
RPUOMLQKKILFFGL96CA,25,7.60,共有部分,鋼筋混凝土造,80年5月15日,七層,
RPUOMLQKKILFFGL96CA,25,6.56,共有部分,鋼筋混凝土造,80年5月15日,七層,
RPTPMLKLKILFFBB57CA,1,124.94,見其他登記事項,鋼筋混凝土造,104年10月22日,十九層,六層
RPTPMLKLKILFFBB57CA,1,54.28,見其他登記事項,鋼筋混凝土造,104年10月22日,十九層,
RPTPMLKLKILFFBB57CA,1,33.04,見其他登記事項,鋼筋混凝土造,104年10月22日,十九層,
RPVPMLKLKILFFBB77CA,1,124.94,見其他登記事項,鋼筋混凝土造,104年10月22日,十九層,十五層
RPVPMLKLKILFFBB77CA,1,54.28,見其他登記事項,鋼筋混凝土造,104年10月22日,十九層,
RPVPMLKLKILFFBB77CA,1,33.04,見其他登記事項,鋼筋混凝土造,104年10月22日,十九層,
RPSOMLQKKILFFGL76CA,23,77.57,見其他登記事項,鋼筋混凝土造,82年11月11日,十二層,八層
RPSOMLQKKILFFGL76CA,23,19.28,共有部分,鋼筋混凝土造,82年11月11日,十二層,
RPVPMLQKKILFFGL17CA,22,16.02,共有部分,鋼筋混凝土造,83年9月17日,十三層,
RPVPMLQKKILFFGL17CA,22,108.15,見其他登記事項,鋼筋混凝土造,83年9月17日,十三層,六層
RPVPMLQKKILFFGL17CA,22,7.52,停車空間,鋼筋混凝土造,83年9月17日,十三層,地下層
RPVPMLQKKILFFGL17CA,22,2.13,共有部分,鋼筋混凝土造,83年9月17日,十三層,
RPXSMLSJLHMFFCB09CA,24,161.57,住家用,鋼筋混凝土造,81年10月7日,七層,四層
RPXSMLSJLHMFFCB09CA,24,50.60,共有部分,鋼筋混凝土造,81年10月7日,七層,
RPWNMLMLKILFFEL56CA,33,114.18,住家用,鋼筋混凝土造,72年7月29日,二層,一層 二層 屋頂突出物
RPPPMLMLKILFFAB27CA,18,115.21,住家用,鋼筋混凝土造,87年10月30日,二十四層,二十四層
RPPPMLMLKILFFAB27CA,18,26.27,共有部分,鋼筋混凝土造,87年10月30日,二十四層,
RPPPMLMLKILFFAB27CA,18,19.49,共有部分,鋼筋混凝土造,87年10月30日,二十四層,
RPUNMLOJJHMFFEL88CA,13,165.12,見其他登記事項,鋼筋混凝土造,92年12月4日,一層,一層
RPPNMLQLKILFFEL88CA,4,164.99,見其他登記事項,鋼筋混凝土造,101年11月26日,三層,一層 二層 三層 見其他登記事項
RPQNMLTLKILFFEL66CA,37,122.35,住商用,鋼筋混凝土造,68年10月28日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPNMLQLJHMFFGL98CA,,68.65,見其他登記事項,鋼筋混凝土造,105年7月13日,十三層,七層
RPPNMLQLJHMFFGL98CA,,23.82,見其他登記事項,鋼筋混凝土造,105年7月13日,十三層,
RPPNMLQLJHMFFGL98CA,,7.90,見其他登記事項,鋼筋混凝土造,105年7月13日,十三層,
RPRNMLQLJHMFFGL56CA,12,77.38,見其他登記事項,鋼筋混凝土造,93年9月6日,八層,六層
RPRNMLQLJHMFFGL56CA,12,31.57,共有部分,鋼筋混凝土造,93年9月6日,八層,
RPVNMLOLJHMFFGL76CA,37,84.38,住家用,加強磚造,69年3月29日,二層,一層 二層
RPVNMLQLJHMFFGL96CA,,64.35,見其他登記事項,鋼筋混凝土造,105年10月14日,十四層,四層
RPVNMLQLJHMFFGL96CA,,66.20,見其他登記事項,鋼筋混凝土造,105年10月14日,十四層,
RPWOMLQLJHMFFGL17CA,1,93.56,見其他登記事項,鋼筋混凝土造,105年1月8日,十五層,四層
RPWOMLQLJHMFFGL17CA,1,43.03,見其他登記事項,鋼筋混凝土造,105年1月8日,十五層,
RPWOMLQLJHMFFGL17CA,1,26.52,見其他登記事項,鋼筋混凝土造,105年1月8日,十五層,
RPQPMLNLJHMFFGL98CA,36,80.57,住家用,鋼筋混凝土造,70年1月30日,四層,四層
RPSNMLSKJHMFFGL76CA,38,66.85,住家用,鋼筋混凝土造,68年3月30日,四層,一層
RPRNMLKLJHMFFGL58CA,18,84.78,見其他登記事項,鋼筋混凝土造,87年9月14日,九層,四層
RPRNMLKLJHMFFGL58CA,18,36.62,見其他登記事項,鋼筋混凝土造,87年9月14日,九層,
RPSOMLKLJHMFFGL78CA,40,92.88,住家用,加強磚造,65年6月30日,二層,一層 二層
RPUPMLKLJHMFFGL09CA,,113.12,見其他登記事項,鋼筋混凝土造,105年10月14日,十四層,十二層
RPUPMLKLJHMFFGL09CA,,122.59,見其他登記事項,鋼筋混凝土造,105年10月14日,十四層,
RPVPMLKLJHMFFGL56CA,,90.00,見其他登記事項,鋼筋混凝土造,105年10月14日,十四層,十四層
RPVPMLKLJHMFFGL56CA,,114.25,見其他登記事項,鋼筋混凝土造,105年10月14日,十四層,
RPWPMLKLJHMFFGL66CA,,85.83,見其他登記事項,鋼筋混凝土造,105年10月14日,十四層,十四層
RPWPMLKLJHMFFGL66CA,,112.05,見其他登記事項,鋼筋混凝土造,105年10月14日,十四層,
RPSNMLQJKHMFFGL56CA,2,82.21,見其他登記事項,鋼筋混凝土造,104年4月1日,十一層,六層
RPSNMLQJKHMFFGL56CA,2,70.99,見其他登記事項,鋼筋混凝土造,104年4月1日,十一層,
RPUNMLOLJHMFFEL09CA,36,229.65,住家用,見其他登記事項,70年1月13日,三層,一層 二層 三層
RPVNMLKLJHMFFFL88CA,3,85.94,見其他登記事項,鋼筋混凝土造,103年1月22日,十四層,十層
RPVNMLKLJHMFFFL88CA,3,53.49,見其他登記事項,鋼筋混凝土造,103年1月22日,十四層,
RPVNMLNLJHMFFFL56CA,18,85.17,住家用,鋼筋混凝土造,87年12月11日,十二層,九層
RPVNMLNLJHMFFFL56CA,18,10.78,共有部份,鋼筋混凝土造,87年12月11日,十二層,
RPVNMLNLJHMFFFL56CA,18,47.62,共有部份,鋼筋混凝土造,87年12月11日,十二層,
RPUOMLTKJHMFFFL07CA,10,184.91,見其他登記事項,鋼筋混凝土造,95年8月1日,四層,一層 二層 三層 四層
RPWOMLPLJHMFFFL96CA,23,209.23,住商用,鋼筋混凝土造,82年12月24日,四層,一層 二層 三層 四層 見其他登記事項
RPOPMLPLJHMFFFL88CA,22,91.46,住家用,鋼筋混凝土造,84年3月12日,八層,八層
RPOPMLPLJHMFFFL88CA,22,30.15,共有部份,鋼筋混凝土造,84年3月12日,八層,
RPOOMLRJKHMFFFL88CA,,362.38,見其他登記事項,鋼筋混凝土造,105年8月4日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPPOMLRJKHMFFFL98CA,,209.74,見其他登記事項,鋼筋混凝土造,105年8月4日,三層,一層 二層 三層 見其他登記事項
RPSOMLTJLHMFFCB28CA,4,88.04,住家用,鋼筋混凝土造,101年9月26日,十四層,十一層
RPSOMLTJLHMFFCB28CA,4,60.20,見其他登記事項,鋼筋混凝土造,101年9月26日,十四層,
RPUOMLQKJHMFFAL88CA,29,143.34,住家用,加強磚造,77年1月5日,二層,一層 二層 見其他登記事項
RPPNMLRKJHMFFAL38CA,38,146.23,見其他登記事項,加強磚造,67年7月22日,二層,一層 二層 騎樓
RPVNMLRKJHMFFAL98CA,22,98.66,住家用,鋼筋混凝土造,83年12月19日,九層,八層
RPVNMLRKJHMFFAL98CA,22,59.99,共用部份,鋼筋混凝土造,83年12月19日,九層,
RPXNMLRKJHMFFAL56CA,54,161.59,商業用,磚造,52年1月10日,二層,一層 二層 騎樓
RPOOMLRKJHMFFAL38CA,35,89.60,住家用,加強磚造,70年11月18日,二層,一層 二層 電梯樓梯間
RPOOMLTKJHMFFAL58CA,47,94.08,住家用,加強磚造,59年4月10日,二層,一層 二層 騎樓
