編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLNJJHMFFBC57CA,36,76.44,住家用,鋼筋混凝土造,70年1月28日,四層,三層
RPVNMLNJJHMFFBC67CA,61,29.79,住家用,磚造,44年8月1日,一層,一層
RPQNMLMKJHMFFBC17CA,40,57.77,住家用,鋼筋混凝土加強磚造,65年10月20日,四層,四層
RPTNMLMKJHMFFBC47CA,37,78.55,住家用,鋼筋混凝土造,68年8月20日,四層,一層
RPOOMLNLJHMFFBC27CA,1,11.96,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPOOMLNLJHMFFBC27CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,七層
RPOOMLNLJHMFFBC27CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,十三層
RPUNMLQKJHMFFBC97CA,72,70.52,住家用,木造,34年1月1日,一層,一層
RPSNMLTKJHMFFBC18DA,39,53.59,住家用,鋼筋混凝土加強磚造,66年7月30日,四層,三層
RPRNMLQJKHMFFBC77DA,20,89.30,住家用,鋼筋混凝土造,85年11月19日,五層,五層
RPRNMLQJKHMFFBC77DA,20,26.49,共用部份,鋼筋混凝土造,85年11月19日,五層,
RPPNMLTJKHMFFBC97EA,7,87.57,住家用,鋼筋混凝土造,98年6月29日,六層,二層
RPPNMLTJKHMFFBC97EA,7,9.02,共用部份,鋼筋混凝土造,98年6月29日,六層,
RPPNMLTJKHMFFBC97EA,7,20.11,共用部份,鋼筋混凝土造,98年6月29日,六層,
RPPNMLTJKHMFFBC97EA,8,.02,住家用,鋼筋混凝土造,97年12月26日,六層,六層
RPPNMLTJKHMFFBC97EA,8,.76,共用部份,鋼筋混凝土造,97年12月26日,六層,
RPPNMLTJKHMFFBC97EA,8,.01,見其他登記事項,鋼筋混凝土造,98年2月9日,六層,地下一層
RPPNMLTJKHMFFBC97EA,8,.10,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPQOMLRKJHMFFCC08EA,24,123.54,住家用,鋼筋混凝土造,81年12月16日,十八層,七層
RPQOMLRKJHMFFCC08EA,24,20.07,共用部份,鋼筋混凝土造,81年12月16日,十八層,
RPQOMLRKJHMFFCC08EA,24,3.35,共用部份,鋼筋混凝土造,81年12月16日,十八層,
RPQOMLRKJHMFFCC08EA,24,33.62,見其他登記事項,鋼筋混凝土造,81年12月16日,十八層,地下一層
RPQOMLRKJHMFFCC08EA,24,.00,共用部份,鋼筋混凝土造,81年12月16日,十八層,
RPWNMLRKJHMFFBC28CA,41,56.46,住家用,鋼筋混凝土加強磚造,64年10月2日,四層,二層
RPXNMLRKJHMFFBC38CA,22,92.05,住家用,鋼筋混凝土造,83年12月22日,十層,九層
RPXNMLRKJHMFFBC38CA,22,17.30,共用部份,鋼筋混凝土造,83年12月22日,十層,
RPRNMLTKJHMFFBC97CA,33,87.69,住家用,鋼筋混凝土造,72年12月24日,四層,四層
RPRNMLTKJHMFFBC97CA,33,12.33,共用部份,鋼筋混凝土造,72年12月24日,四層,
RPROMLNLJHMFFBC57CA,31,64.38,住家用,鋼筋混凝土造,74年9月12日,四層,三層
RPROMLNLJHMFFBC57CA,31,6.68,共用部份,鋼筋混凝土造,74年9月12日,四層,
RPROMLNLJHMFFBC57CA,31,1.54,共用部份,鋼筋混凝土造,74年9月12日,四層,
RPSOMLPLJHMFFBC87CA,36,78.07,住家用,鋼筋混凝土造,69年12月12日,五層,五層
RPQNMLQJKHMFFBC57CA,22,98.23,住家用,鋼筋混凝土造,84年1月27日,九層,九層
RPQNMLQJKHMFFBC57CA,22,13.71,共用部份,鋼筋混凝土造,84年1月27日,十層,
RPQNMLQJKHMFFBC57CA,22,3.98,共用部份,鋼筋混凝土造,84年1月27日,九層,
RPTNMLTJKHMFFBC18CA,18,65.98,住家用,鋼筋混凝土造,88年1月14日,十四層,二層
RPTNMLTJKHMFFBC18CA,18,.79,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLTJKHMFFBC18CA,18,137.84,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLTJKHMFFBC18CA,18,14.51,共用部份,鋼筋混凝土造,88年1月14日,十四層,
RPTNMLTJKHMFFBC18CA,18,4.85,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLTJKHMFFBC18CA,18,1.62,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLQKJHMFFCC57CA,5,105.55,見其他登記事項,鋼筋混凝土造,101年6月13日,七層,二層
RPOOMLQKJHMFFCC57CA,5,15.51,見其他登記事項,鋼筋混凝土造,101年6月13日,七層,
RPOOMLQKJHMFFCC57CA,5,17.40,見其他登記事項,鋼筋混凝土造,101年6月13日,七層,
RPOOMLQKJHMFFCC57CA,5,3.18,見其他登記事項,鋼筋混凝土造,101年6月13日,七層,
RPROMLSKJHMFFCC08CA,23,122.48,住家用,鋼筋混凝土造,82年9月2日,七層,二層
RPROMLSKJHMFFCC08CA,23,5.43,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPROMLSKJHMFFCC08CA,23,1.50,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPROMLSKJHMFFCC08CA,23,9.83,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPROMLSKJHMFFCC08CA,23,39.47,見其他登記事項,鋼筋混凝土造,82年9月2日,七層,地下一層
RPUOMLSKJHMFFCC38CA,20,72.75,住家用,鋼筋混凝土造,86年5月8日,十一層,七層
RPUOMLSKJHMFFCC38CA,20,1.60,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPUOMLSKJHMFFCC38CA,20,1.05,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPUOMLSKJHMFFCC38CA,20,11.44,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPUOMLSKJHMFFCC38CA,20,.81,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPRNMLKLJHMFFCC27CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPRNMLKLJHMFFCC27CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPRNMLKLJHMFFCC27CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPRNMLKLJHMFFCC27CA,1,49.55,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,十五層
RPRNMLKLJHMFFCC27CA,1,.48,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPRNMLKLJHMFFCC27CA,1,36.12,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPTNMLNJKHMFFCC67CA,21,78.27,住家用,鋼筋混凝土造,84年8月8日,六層,四層
RPTNMLNJKHMFFCC67CA,21,12.68,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPTNMLNJKHMFFCC67CA,21,16.40,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPWNMLNKKHMFFCC08CA,1,68.70,見其他登記事項,鋼筋混凝土造,105年5月17日,九層,七層
RPWNMLNKKHMFFCC08CA,1,16.20,見其他登記事項,鋼筋混凝土造,105年5月17日,九層,
RPWNMLNKKHMFFCC08CA,1,46.80,見其他登記事項,鋼筋混凝土造,105年5月17日,九層,
RPXNMLNKKHMFFCC18CA,1,93.44,見其他登記事項,鋼筋混凝土造,105年5月17日,九層,八層
RPXNMLNKKHMFFCC18CA,1,21.60,見其他登記事項,鋼筋混凝土造,105年5月17日,九層,
RPXNMLNKKHMFFCC18CA,1,51.37,見其他登記事項,鋼筋混凝土造,105年5月17日,九層,
RPOOMLNKKHMFFCC37CA,23,67.06,住家用,鋼筋混凝土造,82年12月22日,十一層,十一層
RPOOMLNKKHMFFCC37CA,23,38.01,共用部份,鋼筋混凝土造,82年12月22日,十一層,
RPVNMLQJKHMFFCC18CA,21,82.30,住家用,鋼筋混凝土造,85年4月6日,十二層,九層
RPVNMLQJKHMFFCC18CA,21,12.67,共用部份,鋼筋混凝土造,85年4月6日,十二層,
RPVNMLQJKHMFFCC18CA,21,10.69,共用部份,鋼筋混凝土造,85年4月6日,十二層,
RPOQMLPLJHMFFCC77CA,35,98.88,住家用,鋼筋混凝土造,70年9月30日,五層,五層
RPPNMLQLJHMFFCC67CA,35,68.31,住商用,鋼筋混凝土造,70年12月28日,四層,一層
RPTOMLQLJHMFFCC18CA,24,123.37,住家用,鋼筋混凝土造,81年12月16日,十八層,八層
RPTOMLQLJHMFFCC18CA,24,.00,共用部份,鋼筋混凝土造,81年12月16日,十八層,
RPTOMLQLJHMFFCC18CA,24,33.62,見其他登記事項,鋼筋混凝土造,81年12月16日,十八層,地下一層
RPTOMLQLJHMFFCC18CA,24,20.07,共用部份,鋼筋混凝土造,81年12月16日,十八層,
RPTOMLQLJHMFFCC18CA,24,3.35,共用部份,鋼筋混凝土造,81年12月16日,十八層,
RPQNMLSKJHMFFCC87CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPQNMLSKJHMFFCC87CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPQNMLSKJHMFFCC87CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPQNMLSKJHMFFCC87CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPQNMLSKJHMFFCC87CA,1,76.14,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,十層
RPQNMLSKJHMFFCC87CA,1,.73,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPQNMLSKJHMFFCC87CA,1,44.57,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPOOMLSKJHMFFCC77CA,1,90.62,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,五層
RPOOMLSKJHMFFCC77CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPOOMLSKJHMFFCC77CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPOOMLSKJHMFFCC77CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPOOMLSKJHMFFCC77CA,1,.87,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPOOMLSKJHMFFCC77CA,1,50.49,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPVNMLPLJHMFFBC08CA,36,79.74,商業用,鋼筋混凝土造,70年6月2日,五層,一層
RPWNMLNLJHMFFBC97CA,1,137.43,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,十三層
RPWNMLNLJHMFFBC97CA,1,58.64,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPWNMLNLJHMFFBC97CA,1,25.22,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPWNMLNLJHMFFBC97CA,1,1.80,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPXNMLNLJHMFFBC08CA,1,64.54,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,六層
RPXNMLNLJHMFFBC08CA,1,12.62,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPXNMLNLJHMFFBC08CA,1,46.66,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPUOMLKLJHMFFBC57CA,20,39.93,住家用,鋼筋混凝土造,86年6月7日,六層,六層
RPUOMLKLJHMFFBC57CA,20,5.66,共用部份,鋼筋混凝土造,86年6月7日,六層,
RPUOMLKLJHMFFBC57CA,20,2.27,共用部份,鋼筋混凝土造,86年6月7日,六層,
RPUOMLKLJHMFFBC57CA,20,5.20,共用部份,鋼筋混凝土造,86年6月7日,六層,
RPOPMLPKKHMFFCC67CA,20,74.19,住家用,鋼筋混凝土造,86年1月17日,二十層,七層
RPOPMLPKKHMFFCC67CA,20,19.33,共用部份,鋼筋混凝土造,86年1月17日,二十層,
RPOPMLPKKHMFFCC67CA,20,1.50,共用部份,鋼筋混凝土造,86年1月17日,二十層,
RPOPMLPKKHMFFCC67CA,20,27.47,見其他登記事項,鋼筋混凝土造,86年1月17日,二十層,地下一層 地下二層
RPOPMLPKKHMFFCC67CA,20,2.81,共用部份,鋼筋混凝土造,86年1月17日,二十層,
RPXNMLTKJHMFFBC68DA,18,57.41,住家用,鋼筋混凝土造,88年1月14日,十五層,十一層
RPXNMLTKJHMFFBC68DA,18,9.54,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPXNMLTKJHMFFBC68DA,18,3.09,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPXNMLTKJHMFFBC68DA,18,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLTKJHMFFBC68DA,18,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLTKJHMFFBC87DA,27,105.27,住家用,鋼筋混凝土造,78年11月8日,五層,一層 停車場
RPVNMLTKJHMFFCC68EA,17,35.67,共用部份,鋼筋混凝土造,88年12月7日,九層,
RPWNMLTKJHMFFCC78EA,35,96.18,住家用,鋼筋混凝土造,70年12月23日,三層,一層
RPTNMLQJKHMFFCC08DA,35,112.20,住家用,鋼筋混凝土造,71年2月20日,二層,一層 二層
RPPOMLTJKHMFFCC08DA,27,94.41,住家用,鋼筋混凝土造,79年5月23日,五層,一層
RPPOMLTJKHMFFCC08DA,27,6.00,共用部份,鋼筋混凝土造,79年5月23日,五層,
RPUNMLKLJHMFFBC47CA,,90.30,見其他登記事項,鋼筋混凝土造,105年10月7日,七層,七層
RPUNMLKLJHMFFBC47CA,,31.07,見其他登記事項,鋼筋混凝土造,105年10月7日,七層,
RPOOMLKLJHMFFBC96CA,18,82.81,住家用,鋼筋混凝土造,88年1月20日,七層,六層
RPOOMLKLJHMFFBC96CA,18,19.32,共用部份,鋼筋混凝土造,88年1月20日,七層,
RPQOMLKLJHMFFBC17CA,45,66.22,住家用,鋼筋混凝土加強磚造,61年1月20日,四層,一層
RPROMLKLJHMFFBC27CA,39,43.09,商業用,鋼筋混凝土加強磚造,66年7月30日,五層,一層 騎樓
RPSOMLKLJHMFFBC37CA,34,82.42,住家用,鋼筋混凝土造,72年4月27日,四層,四層
