編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLQJKHMFFBC77DA,調和段,30.64,都市：住
RPPNMLTJKHMFFBC97EA,調和段,.04,都市：住
RPPNMLTJKHMFFBC97EA,調和段,.66,都市：住
RPPNMLTJKHMFFBC97EA,調和段,22.54,都市：住
RPPNMLTJKHMFFBC97EA,調和段,5.01,都市：住
RPPNMLTJKHMFFBC97EA,調和段,.06,都市：住
RPPNMLTJKHMFFBC97EA,調和段,.04,都市：住
RPPNMLTJKHMFFBC97EA,調和段,5.26,都市：住
RPPNMLTJKHMFFBC97EA,調和段,.20,都市：住
RPPNMLTJKHMFFBC97EA,調和段,2.47,都市：住
RPQOMLRKJHMFFCC08EA,麥金段,21.50,都市：住
RPQOMLRKJHMFFCC08EA,麥金段,.63,都市：住
RPQOMLRKJHMFFCC08EA,麥金段,.68,都市：住
RPWNMLRKJHMFFBC28CA,光明段,21.00,都市：住
RPXNMLRKJHMFFBC38CA,培德段,15.91,都市：住
RPRNMLTKJHMFFBC97CA,長潭段,1.35,都市：住
RPRNMLTKJHMFFBC97CA,長潭段,.02,都市：其他
RPRNMLTKJHMFFBC97CA,長潭段,.17,都市：其他
RPRNMLTKJHMFFBC97CA,長潭段,.04,都市：其他
RPRNMLTKJHMFFBC97CA,長潭段,.04,都市：其他
RPRNMLTKJHMFFBC97CA,長潭段,9.00,都市：住
RPRNMLTKJHMFFBC97CA,長潭段,.02,都市：其他
RPRNMLTKJHMFFBC97CA,長潭段,.81,都市：住
RPRNMLTKJHMFFBC97CA,長潭段,.21,都市：其他
RPRNMLTKJHMFFBC97CA,長潭段,19.14,都市：住
RPRNMLTKJHMFFBC97CA,長潭段,.02,都市：其他
RPROMLNLJHMFFBC57CA,深美段,.24,都市：住
RPROMLNLJHMFFBC57CA,深美段,.20,都市：住
RPROMLNLJHMFFBC57CA,深美段,26.78,都市：住
RPROMLNLJHMFFBC57CA,深美段,4.98,都市：住
RPSOMLPLJHMFFBC87CA,港濱段,.30,都市：其他
RPSOMLPLJHMFFBC87CA,港濱段,20.27,都市：住
RPSOMLPLJHMFFBC87CA,港濱段,2.40,都市：商
RPSOMLPLJHMFFBC87CA,港濱段,1.00,都市：商
RPSOMLPLJHMFFBC87CA,港濱段,.07,都市：其他
RPQNMLQJKHMFFBC57CA,培德段,20.91,都市：住
RPTNMLTJKHMFFBC18CA,長潭段,1.52,都市：住
RPTNMLTJKHMFFBC18CA,長潭段,15.24,都市：住
RPOOMLQKJHMFFCC57CA,大華段,38.76,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,1.51,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.01,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.03,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.01,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.15,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.02,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.04,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.09,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.06,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.01,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.09,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.39,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,6.62,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.07,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.01,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.16,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.18,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,3.04,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.02,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.42,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,7.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.01,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.15,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.06,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.02,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.27,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.11,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.59,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,9.95,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.13,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,2.24,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.02,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.08,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.03,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.20,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,3.42,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.07,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.04,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.02,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.04,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.03,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.01,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.11,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.07,都市：住
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：其他
RPROMLSKJHMFFCC08CA,武嶺段,.00,都市：其他
RPUOMLSKJHMFFCC38CA,代天府段,22.81,都市：其他
RPUOMLSKJHMFFCC38CA,代天府段,.14,都市：其他
RPUOMLSKJHMFFCC38CA,代天府段,.18,都市：住
RPUOMLSKJHMFFCC38CA,代天府段,.04,都市：其他
RPUOMLSKJHMFFCC38CA,代天府段,.00,都市：住
RPUOMLSKJHMFFCC38CA,代天府段,.09,都市：住
RPUOMLSKJHMFFCC38CA,代天府段,.06,都市：住
RPRNMLKLJHMFFCC27CA,麥金段,10.38,都市：住
RPRNMLKLJHMFFCC27CA,麥金段,.01,都市：住
RPRNMLKLJHMFFCC27CA,麥金段,.00,都市：住
RPTNMLNJKHMFFCC67CA,源遠段,22.63,都市：住
RPWNMLNKKHMFFCC08CA,麥金段,21.98,都市：住
RPWNMLNKKHMFFCC08CA,麥金段,2.14,都市：住
RPXNMLNKKHMFFCC18CA,麥金段,29.31,都市：住
RPXNMLNKKHMFFCC18CA,麥金段,2.85,都市：住
RPOOMLNKKHMFFCC37CA,五堵段五堵北小段,22.10,都市：住
RPVNMLQJKHMFFCC18CA,新會段,16.05,都市：住
RPVNMLQJKHMFFCC18CA,新會段,1.67,都市：其他
RPVNMLQJKHMFFCC18CA,新會段,.72,都市：其他
RPVNMLQJKHMFFCC18CA,新會段,.01,都市：其他
RPOQMLPLJHMFFCC77CA,西定段,24.75,都市：住
RPPNMLQLJHMFFCC67CA,保定段,.24,都市：其他
RPPNMLQLJHMFFCC67CA,保定段,.14,都市：其他
RPPNMLQLJHMFFCC67CA,保定段,29.29,都市：住
RPPNMLQLJHMFFCC67CA,保定段,.01,都市：其他
RPPNMLQLJHMFFCC67CA,保定段,.31,都市：其他
RPTOMLQLJHMFFCC18CA,麥金段,21.50,都市：住
RPTOMLQLJHMFFCC18CA,麥金段,.63,都市：住
RPTOMLQLJHMFFCC18CA,麥金段,.68,都市：住
RPUNMLKLJHMFFCC57CA,德育段,12.96,都市：住
RPQNMLSKJHMFFCC87CA,麥金段,14.03,都市：住
RPQNMLSKJHMFFCC87CA,麥金段,.02,都市：住
RPQNMLSKJHMFFCC87CA,麥金段,.01,都市：住
RPOOMLSKJHMFFCC77CA,麥金段,16.03,都市：住
RPOOMLSKJHMFFCC77CA,麥金段,.02,都市：住
RPOOMLSKJHMFFCC77CA,麥金段,.01,都市：住
RPVNMLPLJHMFFBC08CA,光明段,21.40,都市：住
RPVNMLPLJHMFFBC08CA,光明段,3.60,都市：其他
RPWNMLNLJHMFFBC97CA,中濱段,35.26,都市：住
RPXNMLNLJHMFFBC08CA,中濱段,18.14,都市：住
RPUOMLKLJHMFFBC57CA,福祿段,13.85,都市：住
RPUOMLKLJHMFFBC57CA,福祿段,.03,都市：其他
