編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLRLKILFFAD48CA,35,87.13,住家用,鋼筋混凝土構造,70年10月27日,五層,二層
RPWNMLRLKILFFAD48CA,,30.12,共有部分,鋼筋混凝土構造,,五層,
RPXNMLPKKILFFFR57CA,25,431.03,住家用,鋼筋混凝土造,80年8月23日,三層,一層 二層 三層
RPVOMLLLKILFFAD87CA,54,86.19,住家用,見其他登記事項,51年8月28日,一層,一層
RPPPMLKKJHMFFAD07CA,42,174.38,住家用,鋼筋混凝土構造,63年12月2日,三層,一層 二層 三層 地下層
RPQNMLOJJHMFFAD27CA,21,99.29,住家用,鋼筋混凝土構造,84年7月8日,十二層,八層
RPQNMLOJJHMFFAD27CA,21,42.81,共有部分,鋼筋混凝土構造,84年7月8日,十二層,
RPPNMLNJJHMFFAD17DA,40,117.93,住家用,鋼筋混凝土構造,65年10月1日,三層,一層 二層 三層
RPXOMLKMKILFFAD08CA,43,44.45,住家用,加強磚造,62年6月19日,一層,一層
RPQNMLLJLHMFFHR66CA,,46.96,住家用,見其他登記事項,105年10月20日,十四層,十二層
RPQNMLLJLHMFFHR66CA,,11.72,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPQNMLLJLHMFFHR66CA,,10.08,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPSNMLPLJHMFFFR07CA,,154.08,住商用,加強磚造,,三層,一層 二層 三層 騎樓
RPVQMLKLJHMFFAD87CA,43,78.77,住家用,加強磚造,62年12月10日,二層,一層 二層
RPVNMLTJJHMFFAD28CA,,1691.21,見其他登記事項,見其他登記事項,105年10月28日,二層,一層 二層
RPXNMLQJKHMFFAD28CA,40,119.31,住家用,鋼筋混凝土構造,65年10月1日,三層,一層 二層 三層
RPQOMLSKJHMFFAD97DA,51,32.00,商業用,鋼筋混凝土加強磚造,55年1月1日,二層,一層 二層 騎樓
RPOPMLLKJHMFFHR66DA,34,92.96,住家用,加強磚造,71年10月28日,二層,一層 二層
RPPNMLQKJHMFFAD47CA,13,191.51,見其他登記事項,鋼筋混凝土構造,92年7月31日,四層,一層 二層 三層 四層 屋頂突出物 見其他登記事項
RPQNMLTKJHMFFAD87CA,1,263.94,見其他登記事項,見其他登記事項,105年3月31日,四層,一層 二層 三層 四層 屋頂突出物
RPXOMLQKJHMFFAD38CA,,273.58,見其他登記事項,見其他登記事項,105年4月11日,二十三層,二十層
RPXOMLQKJHMFFAD38CA,,175.43,見其他登記事項,見其他登記事項,105年4月11日,二十三層,
RPPPMLQKJHMFFAD67CA,33,74.54,住家用,鋼筋混凝土造,72年12月7日,五層,三層
RPPPMLQKJHMFFAD67CA,33,12.01,共有部分,鋼筋混凝土造,72年12月7日,五層,
RPSOMLRKJHMFFAD97CA,24,41.84,商業用,鋼筋混凝土造,82年6月12日,十二層,五層
RPSOMLRKJHMFFAD97CA,24,10.09,共有部分,鋼筋混凝土造,82年6月12日,十二層,
RPROMLSKJHMFFAD97CA,31,200.47,住商用,鋼筋混凝土造,74年12月23日,三層,一層 二層 三層 屋頂突出物 水塔 地下層
RPSOMLSKJHMFFAD08CA,42,93.13,住家用,鋼筋混凝土造,64年6月8日,四層,四層
RPVOMLOLJHMFFAD08CA,7,82.45,見其他登記事項,鋼筋混凝土造,99年4月6日,十四層,二層
RPVOMLOLJHMFFAD08CA,7,62.97,共有部分,鋼筋混凝土造,99年4月6日,十四層,
RPXNMLSJKHMFFAD48CA,1,167.72,見其他登記事項,見其他登記事項,104年8月25日,十九層,七層
RPXNMLSJKHMFFAD48CA,1,68.58,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPXNMLSJKHMFFAD48CA,1,26.33,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPROMLSJKHMFFAD97CA,46,132.54,住家用,加強磚造,59年12月24日,二層,一層 二層
RPROMLSJKHMFFAD97CA,46,133.48,住家用,加強磚造,59年12月24日,二層,一層 二層
RPXNMLKKKHMFFAD77CA,1,222.99,見其他登記事項,見其他登記事項,105年6月4日,二十七層,二十六層 二十七層
RPXNMLKKKHMFFAD77CA,1,44.85,見其他登記事項,見其他登記事項,105年6月4日,二十七層,
RPXNMLKKKHMFFAD77CA,1,56.92,見其他登記事項,見其他登記事項,105年6月4日,二十七層,
RPUNMLNKKHMFFBD87CA,,175.57,見其他登記事項,鋼筋混凝土造,105年7月27日,三層,一層 二層 三層
RPUNMLNKKHMFFBD87CA,,.32,共有部分,鋼筋混凝土造,105年7月27日,一層,
