編號,車位類別,車位價格,車位面積平方公尺
RPSOMLMJLHMFFAE67CA,坡道平面,0,19.90
RPQOMLQKJHMFFCE08DA,坡道機械,0,
RPROMLTKJHMFFGE78CA,坡道平面,0,
RPWNMLNLJHMFFGE68CA,坡道平面,0,25.37
RPWNMLNLJHMFFGE68CA,坡道平面,0,25.37
RPSPMLOLJHMFFGE58CA,坡道平面,0,
RPTPMLOLJHMFFGE68CA,坡道平面,0,
RPQOMLOKKHMFFGE28CA,坡道平面,0,
RPROMLOKKHMFFGE38CA,坡道平面,0,
RPVNMLRKJHMFFBE38CA,坡道平面,1750000,25.67
RPQNMLNKKHMFFAE47CA,坡道機械,0,
RPVNMLNLJHMFFBE08CA,坡道平面,0,40.59
RPWNMLRKJHMFFAE38CA,坡道平面,0,17.14
RPPNMLNLJHMFFAE37CA,坡道平面,0,33.84
RPPNMLNLJHMFFAE37CA,坡道平面,0,33.84
SPPNMLNLJHMFFAE47CA,坡道平面,0,33.84
RPPPMLQJKHMFFAE77CA,其他,0,5.44
RPUNMLOJKHMFFBE97CA,升降機械,0,17.87
RPWNMLRKJHMFFCE58CA,坡道平面,0,
RPUQMLSKJHMFFCE78CA,坡道平面,0,37.22
RPVQMLSKJHMFFCE88CA,坡道平面,0,37.22
RPTOMLPLJHMFFCE28CA,坡道機械,0,9.83
RPTPMLPLJHMFFCE38CA,坡道平面,0,37.22
RPPNMLMJKHMFFCE37CA,坡道平面,1000000,22.82
RPRNMLMJKHMFFCE57CA,坡道平面,1000000,22.82
RPTNMLMJKHMFFCE77CA,坡道機械,700000,12.97
RPQOMLNJKHMFFCE67CA,坡道平面,0,24.05
RPRNMLRKJHMFFDE18CA,坡道機械,0,6.24
RPVNMLSKJHMFFDE68CA,坡道平面,0,38.20
RPUQMLNLJHMFFDE48CA,坡道平面,0,
RPPRMLNLJHMFFDE08CA,坡道平面,0,19.61
RPWNMLNJKHMFFDE28CA,坡道平面,0,25.40
RPWNMLNJKHMFFDE28CA,坡道平面,0,25.40
RPRNMLKKKHMFFDE57CA,坡道機械,880000,11.45
RPWNMLNKKHMFFDE38CA,坡道機械,0,
RPOOMLNKKHMFFDE67CA,坡道機械,0,
RPPOMLNKKHMFFDE77CA,坡道平面,0,
RPVQMLQKJHMFFEE88CA,坡道平面,0,20.34
RPSNMLKLJHMFFEE77CA,坡道機械,0,8.35
RPXPMLNLJHMFFEE78CA,坡道平面,0,
RPROMLOLJHMFFEE18CA,坡道平面,0,
RPROMLOLJHMFFEE18CA,坡道平面,0,
RPTQMLQLJHMFFEE78CA,坡道平面,0,
RPPOMLRJKHMFFEE18CA,坡道平面,0,22.64
RPRNMLQJKHMFFEE18CA,坡道機械,0,
RPOPMLQLJHMFFEE18CA,坡道平面,0,
RPUNMLQLJHMFFEE58CA,坡道機械,0,
RPVNMLQLJHMFFEE68CA,坡道平面,0,
RPWNMLQLJHMFFEE78CA,坡道機械,0,
RPSNMLOLJHMFFEE18CA,坡道平面,1200000,25.60
RPTNMLOLJHMFFEE28CA,坡道機械,800000,9.89
RPUNMLSKJHMFFEE68CA,坡道平面,1150000,35.47
RPPOMLSKJHMFFEE28CA,坡道平面,0,28.88
RPVOMLSKJHMFFEE88CA,一樓平面,0,22.12
RPVPMLRKJHMFFEE88CA,坡道平面,1250000,47.98
RPPQMLRKJHMFFEE38CA,坡道平面,1250000,47.98
RPUOMLNLJHMFFDE28CA,坡道機械,0,
RPOQMLNLJHMFFCE77CA,坡道平面,0,18.34
RPQQMLNLJHMFFCE97CA,坡道平面,0,18.34
RPRQMLNLJHMFFCE08CA,坡道平面,0,18.34
RPXNMLKLJHMFFCE08CA,坡道平面,0,22.05
RPOOMLKLJHMFFCE27CA,坡道平面,0,22.05
RPSNMLNLJHMFFCE87CA,坡道平面,0,28.05
RPVNMLQJKHMFFAE18CA,坡道平面,0,19.90
RPTNMLQLJHMFFAE08CA,坡道平面,0,
RPVNMLRKJHMFFAE28CA,坡道平面,0,12.91
RPVNMLRKJHMFFAE28CA,坡道平面,0,12.91
RPVNMLRKJHMFFAE28CA,坡道平面,0,12.91
RPVNMLRKJHMFFAE28CA,坡道平面,0,12.91
RPSNMLTKJHMFFAE18CA,坡道平面,0,
RPUNMLTKJHMFFAE38CA,坡道平面,1600000,21.61
RPTOMLTKJHMFFAE38CA,坡道平面,0,18.63
RPPOMLNKKHMFFAE47CA,坡道平面,1900000,27.85
RPPOMLNKKHMFFAE47CA,坡道平面,1900000,27.85
RPRNMLTKJHMFFIE88CA,坡道平面,0,33.08
RPOOMLNLJHMFFGE97CA,坡道平面,1000000,20.37
RPOOMLNLJHMFFGE97CA,坡道平面,800000,20.37
RPOOMLNLJHMFFGE97CA,坡道平面,800000,20.37
RPSOMLOLJHMFFFE38CA,坡道平面,0,34.56
RPVOMLSKJHMFFFE09DA,坡道平面,0,
RPQNMLKLJHMFFGE87DA,坡道平面,0,
RPQOMLRJKHMFFGE58DA,升降機械,0,
RPQOMLNKKHMFFIE38CA,坡道機械,0,15.38
RPSNMLNLJHMFFLE78CA,坡道機械,0,
RPROMLPLJHMFFGE48CA,坡道機械,650000,18.81
RPPNMLTJKHMFFGE48CA,坡道機械,0,
RPQNMLNJKHMFFGE97CA,坡道平面,0,
RPSOMLOKKHMFFGE48CA,坡道平面,0,
RPTOMLOKKHMFFGE58CA,坡道平面,0,
RPVOMLOKKHMFFGE78CA,坡道平面,0,
RPWOMLOKKHMFFGE88CA,坡道平面,0,
RPPOMLRJKHMFFIE58CA,坡道平面,0,27.02
RPWNMLTKJHMFFBE68CA,坡道機械,0,
RPQOMLTKJHMFFBE18CA,坡道平面,0,19.96
RPROMLTKJHMFFBE28CA,坡道平面,2500000,19.96
RPOQMLOLJHMFFBE77CA,坡道平面,2400000,17.57
RPSNMLKLJHMFFAE37CA,坡道平面,0,16.66
RPSNMLKLJHMFFAE37CA,坡道平面,0,16.66
RPWNMLQJKHMFFAE28CA,坡道平面,0,29.45
RPOOMLQJKHMFFAE57CA,坡道平面,0,30.50
RPQOMLQJKHMFFAE77CA,坡道平面,0,19.60
RPXOMLQJKHMFFAE48CA,坡道機械,0,
RPXNMLMJKHMFFBE08CA,坡道機械,0,
RPOOMLOKKHMFFCE67CA,坡道機械,0,
RPVOMLNLJHMFFDE38CA,坡道平面,0,
RPTQMLNLJHMFFDE38CA,坡道平面,0,36.12
RPPNMLRKKHMFFDE08CA,坡道平面,0,
RPQNMLRKKHMFFDE18CA,坡道平面,0,
RPOOMLOKKHMFFDE77CA,坡道平面,0,
RPOPMLTKJHMFFEE38CA,坡道平面,1650000,21.47
RPOPMLTKJHMFFEE38CA,坡道平面,1650000,21.47
RPSNMLLLJHMFFEE87CA,坡道平面,0,
RPPNMLNLJHMFFEE77CA,坡道機械,0,
RPWNMLOLJHMFFEE58CA,塔式車位,0,
RPXNMLNLJHMFFEE58CA,坡道平面,0,
RPOOMLQLJHMFFEE08CA,坡道平面,0,
RPWOMLNKKHMFFEE58CA,坡道機械,710000,21.01
