鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
鼓山區,房地(土地+建物),青海段91~120地號,7.22,住,,,1030624,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.33,2,1,1,有,無,7000000,92924,,0.0,0,,RPXNMLSKJHMFFAE68CB
鼓山區,房地(土地+建物)+車位,青海段91~120地號,9.65,住,,,1031231,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.33,2,1,1,有,無,7450000,98898,坡道平面,0.0,0,,RPOOMLSKJHMFFAE87CB
鼓山區,房地(土地+建物)+車位,青海段91~120地號,9.65,住,,,1040601,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.33,2,1,1,有,無,7500000,99562,坡道平面,0.0,0,,RPPOMLSKJHMFFAE97CB
鼓山區,房地(土地+建物),青海段91~120地號,7.22,住,,,1040417,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.33,2,1,1,有,無,6250000,82968,,0.0,0,,RPQOMLSKJHMFFAE08CB
鼓山區,房地(土地+建物),青海段91~120地號,6.83,住,,,1040309,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.26,2,1,1,有,無,5800000,81392,,0.0,0,,RPROMLSKJHMFFAE18CB
鼓山區,房地(土地+建物),青海段91~120地號,7.3,住,,,1040217,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.56,2,1,1,有,無,6200000,82054,,0.0,0,,RPSOMLSKJHMFFAE28CB
鼓山區,房地(土地+建物),青海段91~120地號,7.3,住,,,1030912,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.56,2,1,1,有,無,6200000,82054,,0.0,0,,RPTOMLSKJHMFFAE38CB
鼓山區,房地(土地+建物)+車位,青海段91~120地號,9.73,住,,,1031030,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.56,2,1,1,有,無,8000000,105876,坡道平面,0.0,0,,RPUOMLSKJHMFFAE48CB
鼓山區,房地(土地+建物),青海段91~120地號,6.51,住,,,1040126,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,67.85,2,1,1,有,無,5250000,77377,,0.0,0,,RPVOMLSKJHMFFAE58CB
鼓山區,房地(土地+建物),青海段91~120地號,6.51,住,,,1031229,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,67.85,2,1,1,有,無,5500000,81061,,0.0,0,,RPWOMLSKJHMFFAE68CB
鼓山區,房地(土地+建物)+車位,青海段91~120地號,8.63,住,,,1030901,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,74.24,2,1,1,有,無,6890000,92807,坡道機械,0.0,0,,RPXOMLSKJHMFFAE78CB
鼓山區,房地(土地+建物),青海段91~120地號,7.14,住,,,1040112,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,74.24,2,1,1,有,無,6000000,80819,,0.0,0,,RPOPMLSKJHMFFAE97CB
鼓山區,房地(土地+建物),青海段91~120地號,7.53,住,,,1041030,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,78.14,2,1,1,有,無,6000000,76785,,0.0,0,,RPPPMLSKJHMFFAE08CB
鼓山區,房地(土地+建物)+車位,青海段91~120地號,13.34,住,,,1030904,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.26,2,1,1,有,無,29000000,235275,坡道機械,0.0,0,,RPQPMLSKJHMFFAE18CB
鼓山區,房地(土地+建物),青海段91~120地號,8.79,住,,,1030603,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.72,2,1,1,有,無,19550000,215498,,0.0,0,,RPRPMLSKJHMFFAE28CB
