鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
苓雅區,建物,高雄市苓雅區海邊路31~60號,0.0,商,,,1060106,土地0建物1車位0,十五層,27,辦公商業大樓,商業用,鋼造,0860212,225.38,0,0,0,無,有,無,29000,129,,0.0,0,,RPXNMLQKJHMFFBE68CC
苓雅區,建物,高雄市苓雅區中正二路181~210號,0.0,商,,,1060112,土地0建物1車位0,四層,18,辦公商業大樓,,鋼筋混凝土造,0770209,174.01,0,0,0,無,有,無,19999,115,,0.0,0,,RPROMLQKJHMFFBE18CC
新興區,建物,高雄市新興區南臺路1~30號,0.0,,,,1060115,土地0建物1車位0,八層,8,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0660708,49.7,2,1,1,有,無,有,9000,181,,0.0,0,,RPUOMLQKJHMFFBE48CC
三民區,房地(土地+建物),高雄市三民區河堤路301~330號,3623.0,住,,,1060111,土地1建物1車位0,見其他登記事項,24,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,0960626,272.92,0,0,0,無,無,無,120000,440,,0.0,0,,RPVNMLQKJHMFFDE68CC
鼓山區,房地(土地+建物),高雄市鼓山區美術東六街211~240號,118.0,商,,,1051226,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0980716,406.42,0,0,0,無,無,有,79464,196,,0.0,0,,RPSNMLQKJHMFFAE08CC
鼓山區,房地(土地+建物),高雄市鼓山區明華路271~300號,2275.44,住,,,1051221,土地1建物1車位0,一層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1020313,124.02,0,0,0,無,無,無,80000,645,,0.0,0,,RPVNMLQKJHMFFAE38CC
楠梓區,房地(土地+建物),高雄市楠梓區惠民路151~180號,645.0,住,,,1060105,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681206,79.02,3,2,2,有,無,有,7000,89,,0.0,0,,RPWOMLQKJHMFFEE98CC
左營區,房地(土地+建物),高雄市左營區明華一路151~180號,124.0,住,,,1060114,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0790720,533.63,7,3,6,有,無,有,70000,131,,0.0,0,,RPXOMLQKJHMFFEE09CC
左營區,建物,高雄市左營區立文路61~90號,0.0,商,,,1060114,土地0建物1車位0,十八層,19,辦公商業大樓,見其它登記事項,鋼筋混凝土造,0790326,74.08,0,0,0,無,有,無,11500,155,,0.0,0,,RPQPMLQKJHMFFEE48CC
鳳山區,房地(土地+建物),高雄市鳳山區頂庄一街31~60號,68.0,住,,,1060114,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1001215,185.86,5,2,4,有,無,無,20000,108,,0.0,0,,RPPNMLQKJHMFFGE38CC
鳳山區,房地(土地+建物),高雄市鳳山區光遠路271~300號,113.0,住,,,1060113,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0781115,170.08,0,0,0,無,無,無,40000,235,,0.0,0,,RPQNMLQKJHMFFGE48CC
鳳山區,建物,高雄市鳳山區南京路181~210號,0.0,住,,,1060104,土地0建物2車位0,二層,13,店面(店鋪),住商用,鋼筋混凝土造,0811110,159.28,0,0,0,無,有,無,25000,157,,0.0,0,,RPWNMLQKJHMFFGE09CC
鳳山區,建物,高雄市鳳山區福誠二街151~180號,10175.65,,,,1060113,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1051101,54.08,2,2,1,有,無,有,16500,305,,0.0,0,,RPUOMLQKJHMFFGE98CC
新興區,房地(土地+建物),高雄市新興區復興二271~300號,25.0,商,,,1051229,土地1建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681114,114.91,0,0,1,有,無,無,15000,131,,0.0,0,,RPTOMLQKJHMFFBE48DC
左營區,房地(土地+建物),高雄市左營區德威街151~180號,28.16,住,,,1060115,土地1建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810518,139.88,4,2,3,有,無,有,25000,179,,0.0,0,,RPRNMLQKJHMFFEE48DC
鳥松區,房地(土地+建物)+車位,高雄市鳥松區明湖路1~30號,50.89,住,,,1051230,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970115,252.08999999999997,4,2,2,有,有,有,42000,167,坡道平面,27.72,0,,RPWOMLRKJHMFFIE86CC
鳳山區,房地(土地+建物),高雄市鳳山區中山西路331~360號,62.92,住,,,1051219,土地1建物1車位0,全,4,透天厝,見使用執照,鋼筋混凝土造,0760107,222.95,0,0,0,無,無,無,28000,126,,0.0,0,,RPVNMLRKJHMFFGE09CC
