編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLRLIIJFFDF97CA,37,75.20,住家用,鋼筋混凝土造,67年1月24日,三層,一層
RPPNMLSKJHMFFCF28EA,2,108.70,住家用,鋼骨鋼筋混凝土造,103年1月21日,二十九層,五層
RPPNMLSKJHMFFCF28EA,2,108.70,住家用,鋼骨鋼筋混凝土造,103年1月21日,二十九層,五層
RPPNMLSKJHMFFCF28EA,2,56.38,見其他登記事項,鋼骨鋼筋混凝土造,103年1月21日,二十九層,
RPPNMLSKJHMFFCF28EA,2,56.38,見其他登記事項,鋼骨鋼筋混凝土造,103年1月21日,二十九層,
RPQOMLLJLHMFFHF38EA,5,.41,見其他登記事項,見其他登記事項,101年3月14日,十五層,一層
RPQOMLLJLHMFFHF38EA,5,38.74,見其他登記事項,見其他登記事項,101年3月14日,十五層,
RPQOMLLJLHMFFHF38EA,5,.00,見其他登記事項,見其他登記事項,101年3月14日,十五層,
RPPNMLTJLHMFFAF28EA,5,131.56,住家用,鋼筋混凝土造,100年6月2日,十四層,十二層
RPPNMLTJLHMFFAF28EA,5,36.97,見其他登記事項,鋼筋混凝土造,100年6月2日,十四層,
RPPNMLTJLHMFFAF28EA,5,20.45,見其他登記事項,鋼筋混凝土造,100年6月2日,十四層,
RPPNMLTJLHMFFAF28EA,5,2.56,見其他登記事項,鋼筋混凝土造,100年6月2日,十四層,
RPPNMLTJLHMFFAF28EA,5,26.06,見其他登記事項,鋼筋混凝土造,100年6月2日,十四層,
RPQNMLQJLHMFFAF08EA,5,10.66,見其他登記事項,鋼筋混凝土造,101年3月6日,十四層,
RPQNMLQJLHMFFAF08EA,5,106.62,住家用,鋼筋混凝土造,101年3月6日,十四層,四層
RPQNMLQJLHMFFAF08EA,5,31.03,見其他登記事項,鋼筋混凝土造,101年3月6日,十四層,
RPQNMLQJLHMFFAF08EA,5,49.88,見其他登記事項,鋼筋混凝土造,101年3月6日,十四層,
RPQNMLTJLHMFFBF28CA,22,44.03,工業用,鋼筋混凝土造,83年5月26日,十層,五層
RPQNMLTJLHMFFBF28CA,22,3.36,共有部份,鋼筋混凝土造,83年5月26日,十層,
RPQNMLTJLHMFFBF28CA,22,2.60,共有部份,鋼筋混凝土造,83年5月26日,十層,
RPQNMLTJLHMFFBF28CA,22,3.64,共有部份,鋼筋混凝土造,83年5月26日,十層,
RPXPMLPKKILFFBF78CA,13,544.17,見其他登記事項,鋼筋混凝土造,92年9月24日,四層,一層 二層 三層 四層 屋頂突出物
RPQOMLOKKILFFCF97CA,25,113.30,住家用,鋼筋混凝土造,81年5月8日,七層,七層
RPQOMLOKKILFFCF97CA,25,22.66,共有部份,鋼筋混凝土造,81年5月8日,七層,
RPROMLOKKILFFCF08CA,18,69.73,住家用,鋼筋混凝土造,87年6月8日,四層,四層
RPROMLOKKILFFCF08CA,18,5.06,共有部份,鋼筋混凝土造,87年6月8日,四層,
RPROMLOKKILFFCF08CA,18,6.47,共有部份,鋼筋混凝土造,87年6月8日,四層,
RPROMLOKKILFFCF08CA,18,69.43,住家用,鋼筋混凝土造,87年6月8日,四層,四層
RPROMLOKKILFFCF08CA,18,5.06,共有部份,鋼筋混凝土造,87年6月8日,四層,
RPROMLOKKILFFCF08CA,18,6.45,共有部份,鋼筋混凝土造,87年6月8日,四層,
RPROMLOKKILFFCF08CA,18,29.10,共有部份,鋼筋混凝土造,87年6月8日,四層,
RPQNMLPKKILFFCF97CA,7,78.86,住家用,鋼筋混凝土造,98年5月13日,七層,六層
RPQNMLPKKILFFCF97CA,7,21.63,共有部份,鋼筋混凝土造,98年5月13日,七層,
RPQNMLPKKILFFCF97CA,7,.42,共有部份,鋼筋混凝土造,98年5月13日,七層,
RPQNMLPKKILFFCF97CA,7,26.50,共有部份,鋼筋混凝土造,98年5月13日,七層,
RPQNMLPKKILFFCF97CA,7,5.71,共有部份,鋼筋混凝土造,98年5月20日,十二層,
RPTNMLTKKILFFCF68CA,1,82.94,見其他登記事項,鋼筋混凝土造,104年7月29日,十一層,六層
RPTNMLTKKILFFCF68CA,1,41.76,見其他登記事項,鋼筋混凝土造,104年7月29日,十一層,
RPTNMLTKKILFFCF68CA,1,12.65,見其他登記事項,鋼筋混凝土造,104年7月29日,十一層,
RPVQMLQLKILFFCF98CA,,131.01,見其他登記事項,見其他登記事項,105年10月18日,十六層,六層
RPVQMLQLKILFFCF98CA,,28.36,共有部份,見其他登記事項,105年10月18日,十六層,
RPVQMLQLKILFFCF98CA,,63.43,共有部份,見其他登記事項,105年10月18日,十八層,
RPWQMLQLKILFFCF09CA,,95.83,見其他登記事項,見其他登記事項,105年10月18日,十六層,二層
RPWQMLQLKILFFCF09CA,,21.83,共有部份,見其他登記事項,105年10月18日,十六層,
RPWQMLQLKILFFCF09CA,,56.93,共有部份,見其他登記事項,105年10月18日,十八層,
RPXQMLQLKILFFCF56CA,,101.12,見其他登記事項,見其他登記事項,105年10月18日,十六層,三層
RPXQMLQLKILFFCF56CA,,21.83,共有部份,見其他登記事項,105年10月18日,十六層,
RPXQMLQLKILFFCF56CA,,56.93,共有部份,見其他登記事項,105年10月18日,十八層,
RPORMLQLKILFFCF38CA,,58.24,見其他登記事項,見其他登記事項,105年10月18日,十六層,四層
RPORMLQLKILFFCF38CA,,12.79,共有部份,見其他登記事項,105年10月18日,十六層,
RPORMLQLKILFFCF38CA,,12.73,共有部份,見其他登記事項,105年10月18日,十八層,
RPPRMLQLKILFFCF48CA,,58.24,見其他登記事項,見其他登記事項,105年10月18日,十六層,十二層
RPPRMLQLKILFFCF48CA,,12.79,共有部份,見其他登記事項,105年10月18日,十六層,
RPPRMLQLKILFFCF48CA,,47.92,共有部份,見其他登記事項,105年10月18日,十八層,
RPQRMLQLKILFFCF58CA,,96.60,見其他登記事項,見其他登記事項,105年10月18日,十六層,十一層
RPQRMLQLKILFFCF58CA,,20.70,共有部份,見其他登記事項,105年10月18日,十六層,
RPQRMLQLKILFFCF58CA,,55.79,共有部份,見其他登記事項,105年10月18日,十八層,
RPRRMLQLKILFFCF68CA,,92.36,見其他登記事項,見其他登記事項,105年10月18日,十八層,六層
RPRRMLQLKILFFCF68CA,,18.67,共有部份,見其他登記事項,105年10月18日,十八層,
RPRRMLQLKILFFCF68CA,,89.73,共有部份,見其他登記事項,105年10月18日,十八層,
RPSRMLQLKILFFCF78CA,,91.05,見其他登記事項,見其他登記事項,105年10月18日,十八層,七層
RPSRMLQLKILFFCF78CA,,18.67,共有部份,見其他登記事項,105年10月18日,十八層,
RPSRMLQLKILFFCF78CA,,54.54,共有部份,見其他登記事項,105年10月18日,十八層,
RPTRMLQLKILFFCF88CA,,135.91,見其他登記事項,見其他登記事項,105年10月18日,十八層,十三層
RPTRMLQLKILFFCF88CA,,28.80,共有部份,見其他登記事項,105年10月18日,十八層,
RPTRMLQLKILFFCF88CA,,65.05,共有部份,見其他登記事項,105年10月18日,十八層,
SPTRMLQLKILFFCF98CA,,91.05,見其他登記事項,見其他登記事項,105年10月18日,十八層,十三層
SPTRMLQLKILFFCF98CA,,18.67,共有部份,見其他登記事項,105年10月18日,十八層,
SPTRMLQLKILFFCF98CA,,54.54,共有部份,見其他登記事項,105年10月18日,十八層,
RPURMLQLKILFFCF98CA,,96.52,見其他登記事項,見其他登記事項,105年10月18日,十八層,四層
RPURMLQLKILFFCF98CA,,57.11,共有部份,見其他登記事項,105年10月18日,十八層,
RPURMLQLKILFFCF98CA,,21.13,共有部份,見其他登記事項,105年10月18日,十八層,
RPVRMLQLKILFFCF09CA,,103.02,見其他登記事項,見其他登記事項,105年10月18日,十八層,十四層
RPVRMLQLKILFFCF09CA,,57.11,共有部份,見其他登記事項,105年10月18日,十八層,
