編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPXNMLRKJHMFFDF98CB,大同段,8.92,都市：住
RPOOMLRKJHMFFDF18CB,大同段,8.97,都市：住
RPSOMLRKJHMFFDF58CB,大同段,18.75,都市：住
RPWOMLRKJHMFFDF98CB,大同段,18.75,都市：住
RPOPMLRKJHMFFDF28CB,大同段,18.75,都市：住
RPQPMLRKJHMFFDF48CB,大同段,18.75,都市：住
RPRPMLRKJHMFFDF58CB,大同段,8.97,都市：住
RPUPMLRKJHMFFDF88CB,大同段,8.97,都市：住
RPWPMLRKJHMFFDF09CB,大同段,8.97,都市：住
RPXPMLRKJHMFFDF56CB,大同段,8.97,都市：住
RPOQMLRKJHMFFDF38CB,大同段,8.97,都市：住
RPPQMLRKJHMFFDF48CB,大同段,8.97,都市：住
RPRQMLRKJHMFFDF68CB,大同段,8.97,都市：住
RPSQMLRKJHMFFDF78CB,大同段,8.97,都市：住
RPQRMLRKJHMFFDF68CB,大同段,16.35,都市：住
RPTRMLRKJHMFFDF98CB,大同段,8.97,都市：住
RPURMLRKJHMFFDF09CB,大同段,8.97,都市：住
RPVRMLRKJHMFFDF56CB,大同段,8.97,都市：住
RPWRMLRKJHMFFDF66CB,大同段,8.97,都市：住
RPOSMLRKJHMFFDF58CB,大同段,8.92,都市：住
RPPSMLRKJHMFFDF68CB,大同段,8.91,都市：住
RPQSMLRKJHMFFDF78CB,大同段,8.92,都市：住
RPRSMLRKJHMFFDF88CB,大同段,8.91,都市：住
RPSSMLRKJHMFFDF98CB,大同段,8.92,都市：住
RPTSMLRKJHMFFDF09CB,大同段,16.39,都市：住
RPQNMLSKJHMFFDF38CB,大同段,8.97,都市：住
RPSNMLSKJHMFFDF58CB,大同段,8.91,都市：住
RPTNMLSKJHMFFDF68CB,大同段,8.91,都市：住
RPUNMLSKJHMFFDF78CB,大同段,8.91,都市：住
RPOPMLSKJHMFFDF38CB,大同段,12.74,都市：住
RPPPMLSKJHMFFDF48CB,大同段,12.85,都市：住
RPQPMLSKJHMFFDF58CB,大同段,18.75,都市：住
RPSPMLSKJHMFFDF78CB,大同段,8.97,都市：住
RPTPMLSKJHMFFDF88CB,大同段,8.97,都市：住
RPVPMLSKJHMFFDF09CB,大同段,17.28,都市：住
RPWPMLSKJHMFFDF56CB,大同段,8.97,都市：住
RPRPMLSKJHMFFIF56CB,中園段,29.30,都市：住
RPSPMLSKJHMFFIF66CB,中園段,23.67,都市：住
