鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
五股區,房地(土地+建物),新北市五股區五工二路91~120號,778.0,,工業區,丁種建築用地,1051206,土地1建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,0811015,510.92,0,0,0,無,無,無,200000,,,0.0,0,租金未稅,RPVUMLOKKILFFBF56CC
樹林區,房地(土地+建物),新北市樹林區佳園路二段61~90號,520.13,,一般農業區,丁種建築用地,1051212,土地1建物2車位0,見其他登記事項,4,工廠,見其他登記事項,鋼筋混凝土造,1030121,1478.1,0,0,0,無,無,無,260000,,,0.0,0,,RPTNMLTKKILFFIF86CC
新莊區,房地(土地+建物)+車位,新北市新莊區思源路192巷31~60號,43.48,住,,,1051205,土地1建物1車位1,見其他登記事項,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,1000915,251.6,0,0,0,無,無,無,50000,199,坡道平面,30.21,0,,RPWNMLKLKILFFBF28CC
三重區,建物,新北市三重區中正北路315巷6弄1~30號,0.0,工,,,1051205,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0730131,219.09,4,1,3,有,無,無,30000,137,,0.0,0,,RPUQMLLLKILFFGF98CC
三峽區,房地(土地+建物)+車位,新北市三峽區介壽路三段91~120號,2064.0,,特定農業區,丁種建築用地,1051101,土地1建物4車位4,見其他登記事項,4,工廠,見其他登記事項,見其他登記事項,1021225,5948.48,0,0,0,無,無,無,1400000,,一樓平面,171.24,0,,RPUNMLRLKILFFIF86CC
林口區,建物,新北市林口區仁愛路二段1~30號,0.0,住,,,1051208,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0840719,313.5,0,0,0,無,有,無,70000,223,,0.0,0,第1-3年租金7萬元第4-5年租金7萬2千1百元,RPRNMLSLKILFFBF68DC
永和區,建物,新北市永和區中正路331~360號,107.0,商,,,1051222,土地0建物4車位0,見其他登記事項,4,店面(店鋪),住家用,加強磚造,0621214,404.16,0,9,7,有,無,無,130000,322,,0.0,0,,RPTNMLLMKILFFHF78CC
五股區,房地(土地+建物),新北市五股區五工三路91~120號,2586.99,,工業區,丁種建築用地,1051221,土地1建物1車位0,見其他登記事項,2,工廠,工業用,見其他登記事項,0960409,1178.38,0,0,0,無,有,無,340000,,,0.0,0,,RPSQMLNJJHMFFBF18CC
新莊區,房地(土地+建物),新北市新莊區建國二路61~90號,1350.0,工,,,1060106,土地1建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,0770504,600.2,0,0,0,無,無,無,180000,,,0.0,0,,RPVRMLTJJHMFFBF56CC
土城區,房地(土地+建物),新北市土城區四川路1~30號,84.53,工,,,1051125,土地4建物1車位0,見其他登記事項,3,店面(店鋪),住家用,加強磚造,0581128,203.91,0,0,0,無,無,無,55000,270,,0.0,0,,RPURMLKKJHMFFAF38EC
