鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
八德區,房地(土地+建物)+車位,桃園市八德區豐田一路31~60號,36.19,住,,,1031001,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021007,225.60000000000002,3,2,2,有,有,11500000,50975,坡道平面,0.0,0,,RPQOMLLJLHMFFFH38EA
桃園區,土地,三聖段121~150地號,3726.02,其他,,,1030101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18500000,4965,,0.0,0,買賣總價款內含路權補貼300萬，便道剔除補貼150萬，原建物拆除補貼15萬,RPPPMLNLKHMFFAH18EA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區龍華路526巷17弄1~30號,24.79,,一般農業區,甲種建築用地,1050501,土地2建物1車位1,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040920,103.03,2,1,1,有,有,5190000,50374,坡道機械,0.0,0,,RPQNMLSKKHMFFCH48CA
大溪區,土地,仁和段301~330地號,32.19,住,,,1050801,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1160073,36038,,0.0,0,包含公共設施用地的買賣建坪每坪14.4萬、道路用地每坪4.5萬,RPWNMLOLKHMFFCH98EA
平鎮區,房地(土地+建物),桃園市平鎮區上海路151~180號,31.45,商,,,1050701,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821007,107.47,3,2,2,有,有,4400000,40942,,0.0,0,,RPQNMLLJLHMFFGH38EA
平鎮區,車位,桃園市平鎮區上海路151~180號,8.19,商,,,1050701,土地0建物0車位1,地下層,七層,其他,見其他登記事項,鋼筋混凝土造,0821007,28.18,0,0,0,有,有,1000000,,坡道平面,0.0,1000000,,RPRNMLLJLHMFFGH48EA
平鎮區,房地(土地+建物),桃園市平鎮區復旦路二段121~150號,30.59,住,,,1050801,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800806,129.3,3,2,2,有,無,6250000,48337,,0.0,0,,RPPNMLLJLHMFFGH28EA
楊梅區,房地(土地+建物),桃園市楊梅區福人路120巷1~30號,142.16,,山坡地保育區,丙種建築用地,1050801,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840626,236.48,5,2,4,有,有,8000000,33829,,0.0,0,,RPXOMLTJLHMFFDH07EA
桃園區,房地(土地+建物),桃園市桃園區大同路209巷1~30號,13.17,住,,,1050913,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0591228,30.14,1,1,1,有,無,2000000,66357,,0.0,0,,RPTNMLKLIILFFAH67CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民富九街61~90號,22.37,住,,,1050902,土地2建物1車位1,二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811117,155.01,4,2,2,有,有,5700000,36772,坡道平面,40.52,0,,RPRNMLLJJILFFAH47CA
