編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLLJLHMFFFH38EA,1,111.20,住家用,鋼筋混凝土造,102年10月7日,十三層,十一層
RPQOMLLJLHMFFFH38EA,1,87.70,見其他登記事項,鋼筋混凝土造,102年10月7日,十三層,
RPQOMLLJLHMFFFH38EA,1,26.69,見其他登記事項,鋼筋混凝土造,102年10月7日,十三層,
RPQNMLSKKHMFFCH48CA,1,64.83,見其他登記事項,鋼筋混凝土造,104年9月20日,七層,五層
RPQNMLSKKHMFFCH48CA,1,38.20,見其他登記事項,鋼筋混凝土造,104年9月20日,七層,
RPQNMLLJLHMFFGH38EA,23,96.32,住家用,鋼筋混凝土造,82年10月7日,七層,七層
RPQNMLLJLHMFFGH38EA,23,11.15,共有部份,鋼筋混凝土造,82年10月7日,七層,
RPRNMLLJLHMFFGH48EA,23,2.57,見其他登記事項,鋼筋混凝土造,82年10月7日,七層,地下層
RPRNMLLJLHMFFGH48EA,23,25.61,共有部份,鋼筋混凝土造,82年10月7日,七層,
RPPNMLLJLHMFFGH28EA,25,119.01,住家用,鋼筋混凝土造,80年8月6日,七層,三層
RPPNMLLJLHMFFGH28EA,25,7.65,共有部份,鋼筋混凝土造,80年8月6日,七層,
RPPNMLLJLHMFFGH28EA,25,2.64,共有部份,鋼筋混凝土造,80年8月6日,七層,
RPXOMLTJLHMFFDH07EA,21,228.15,住家用,鋼筋混凝土造,84年6月26日,四層,一層 二層 三層 四層 屋頂突出物
RPXOMLTJLHMFFDH07EA,21,.31,見其他登記事項,鋼筋混凝土造,84年6月26日,一層,
RPXOMLTJLHMFFDH07EA,21,.47,見其他登記事項,鋼筋混凝土造,84年6月26日,三層,二層
RPXOMLTJLHMFFDH07EA,21,.00,見其他登記事項,鋼筋混凝土造,84年6月26日,一層,
RPXOMLTJLHMFFDH07EA,21,.34,見其他登記事項,鋼筋混凝土造,84年6月26日,三層,一層
RPXOMLTJLHMFFDH07EA,21,.00,見其他登記事項,鋼筋混凝土造,84年6月26日,一層,
RPXOMLTJLHMFFDH07EA,21,1.37,見其他登記事項,鋼筋混凝土造,84年6月26日,三層,一層
RPXOMLTJLHMFFDH07EA,21,.00,見其他登記事項,鋼筋混凝土造,84年6月26日,一層,
RPXOMLTJLHMFFDH07EA,21,.23,商業用,鋼筋混凝土造,84年6月26日,三層,二層
RPXOMLTJLHMFFDH07EA,21,.00,見其他登記事項,鋼筋混凝土造,84年6月26日,一層,
RPXOMLTJLHMFFDH07EA,21,.22,商業用,鋼筋混凝土造,84年6月26日,三層,二層
RPXOMLTJLHMFFDH07EA,21,.00,見其他登記事項,鋼筋混凝土造,84年6月26日,一層,
RPXOMLTJLHMFFDH07EA,21,.23,商業用,鋼筋混凝土造,84年6月26日,三層,二層
