編號,車位類別,車位價格,車位面積平方公尺
RPQOMLLJLHMFFFH38EA,坡道平面,0,
RPQOMLLJLHMFFFH38EA,坡道平面,0,
RPQNMLSKKHMFFCH48CA,坡道機械,0,
RPRNMLLJLHMFFGH48EA,坡道平面,0,
RPRNMLLJJILFFAH47CA,坡道平面,0,40.52
RPQNMLNJLHMFFDH28EA,坡道平面,1050000,29.63
RPPNMLNJLHMFFDH18EA,坡道平面,1100000,29.63
RPSOMLTJLHMFFAH88EA,一樓平面,0,
RPUNMLTJLHMFFDH09CA,坡道平面,1050000,29.75
RPSNMLTJLHMFFDH88CA,坡道平面,1150000,29.75
RPPOMLRJLHMFFEH58CA,坡道平面,1400000,43.55
RPXNMLKKLHMFFAH48EA,坡道平面,1400000,34.57
RPOOMLKKLHMFFAH67EA,坡道平面,1300000,34.57
RPPNMLNJLHMFFGH48EA,坡道平面,1179000,
RPWNMLTJLHMFFDH66CA,坡道平面,1150000,29.75
RPXNMLOKKHMFFAH78EA,坡道平面,800000,29.14
RPQOMLOKKHMFFAH18EA,坡道平面,600000,29.14
RPSOMLOKKHMFFAH38EA,坡道平面,800000,29.14
RPTOMLOKKHMFFAH48EA,坡道平面,800000,29.14
RPROMLSJLHMFFFH56EA,坡道平面,0,
RPXNMLQJLHMFFAH98EA,坡道平面,0,49.43
RPROMLTJLHMFFAH78EA,坡道平面,1800000,
RPVNMLSJKHMFFAH78DA,坡道平面,0,16.15
RPRPMLPKKHMFFAH48EA,坡道平面,0,33.87
RPROMLQJLHMFFAH48EA,坡道平面,0,33.77
RPVNMLNKKHMFFAH28CA,坡道平面,0,
RPVNMLOKKHMFFAH58EA,坡道平面,1300000,29.14
RPWNMLOKKHMFFAH68EA,坡道平面,750000,29.14
RPROMLOKKHMFFAH28EA,坡道平面,700000,29.14
RPOOMLOKKHMFFAH97EA,坡道平面,1100000,29.14
RPOOMLOKKHMFFAH97EA,坡道平面,1300000,33.98
RPPOMLOKKHMFFAH08EA,坡道平面,800000,29.14
RPPOMLOKKHMFFAH08EA,坡道平面,800000,27.93
RPUOMLOKKHMFFAH58EA,坡道平面,0,
RPUOMLOKKHMFFAH58EA,坡道平面,0,
RPWNMLNJLHMFFBH48CA,坡道機械,0,
RPQNMLTKJHMFFCH48CA,坡道平面,0,32.55
RPQNMLTKJHMFFCH48CA,坡道平面,2400000,32.55
RPQNMLKLJHMFFCH67CA,坡道平面,1200000,34.74
RPRNMLKLJHMFFCH77CA,坡道平面,1200000,34.74
RPVOMLTKJHMFFCH09CA,坡道平面,0,
RPQNMLNJKHMFFBH77CA,坡道平面,0,21.05
RPQNMLNJKHMFFBH77CA,坡道平面,0,17.35
RPRNMLNJKHMFFBH87CA,坡道平面,0,21.05
RPRNMLNJKHMFFBH87CA,坡道平面,0,21.05
RPSQMLKKKHMFFBH08CA,坡道平面,0,31.07
RPTQMLKKKHMFFBH18CA,坡道平面,0,31.07
RPVQMLKKKHMFFBH38CA,坡道平面,0,31.07
RPWQMLKKKHMFFBH48CA,坡道平面,0,31.07
RPXQMLKKKHMFFBH58CA,坡道平面,0,31.07
RPORMLKKKHMFFBH77CA,坡道平面,0,31.07
RPWPMLNKKHMFFBH68CA,坡道平面,0,21.05
RPXPMLNKKHMFFBH78CA,坡道平面,0,21.05
RPXPMLNKKHMFFBH78CA,坡道平面,0,21.05
RPRRMLKKKHMFFAH97CA,坡道平面,0,
RPPPMLRJKHMFFAH18CA,坡道平面,0,
RPPPMLSJKHMFFAH28CA,坡道平面,0,
RPWOMLSJKHMFFAH88CA,坡道平面,850000,13.55
RPSPMLKKKHMFFAH87CA,坡道平面,550000,33.68
RPQOMLQLJHMFFAH18CA,坡道平面,0,
RPRPMLRKJHMFFAH38CA,坡道平面,0,
RPRNMLSKJHMFFAH28CA,坡道平面,850000,34.10
RPQNMLTKJHMFFAH28CA,坡道平面,1700000,35.80
RPQNMLTKJHMFFAH28CA,坡道平面,1700000,35.80
RPSNMLTKJHMFFAH48CA,坡道平面,1600000,35.80
RPQRMLKLJHMFFAH87CA,坡道平面,0,
RPPPMLOLJHMFFAH97CA,坡道平面,0,34.36
RPTNMLPLJHMFFAH28CA,坡道平面,0,
RPWNMLPKKHMFFAH58CA,坡道平面,0,31.46
RPVQMLRKJHMFFBH98CA,坡道平面,1100000,37.95
RPVQMLRKJHMFFBH98CA,坡道平面,1100000,37.95
RPTNMLSKJHMFFBH58CA,坡道平面,0,33.53
RPTNMLSKJHMFFBH58CA,坡道平面,0,33.53
RPOOMLNKKHMFFGH28CA,坡道平面,0,31.84
RPVOMLNLJHMFFGH98CA,坡道平面,0,26.01
RPSPMLRKJHMFFDH88DA,坡道機械,0,
RPPNMLPKKHMFFHH58CA,坡道平面,0,
RPROMLRKJHMFFBH48DA,一樓平面,0,
RPPVMLTKJHMFFBH56DA,坡道平面,0,29.84
RPTNMLSKJHMFFEH88CA,坡道平面,0,
RPTNMLSKJHMFFEH88CA,坡道平面,0,
RPSQMLRKJHMFFDH88CA,坡道平面,0,
RPUOMLSKJHMFFFH56CA,坡道機械,0,14.49
RPUOMLSKJHMFFFH56CA,坡道機械,0,14.49
RPROMLTKJHMFFFH98CA,坡道平面,1250000,34.40
RPSOMLTKJHMFFFH09CA,坡道平面,0,34.40
RPSOMLTKJHMFFFH09CA,坡道平面,0,34.40
RPVNMLNLJHMFFEH68CA,坡道平面,0,
RPVOMLNLJHMFFEH78CA,坡道平面,0,33.89
RPVOMLNLJHMFFEH78CA,坡道平面,0,33.89
RPTPMLPLJHMFFEH88CA,坡道平面,0,33.89
RPPPMLQJKHMFFEH48CA,坡道平面,1050000,33.20
RPPPMLQJKHMFFEH48CA,坡道平面,1050000,33.20
RPVNMLRJKHMFFEH98CA,坡道平面,0,
RPQPMLNKKHMFFBH28EA,坡道平面,0,
RPSOMLRKKHMFFFH56EA,坡道平面,0,45.73
RPXNMLNLJHMFFGH66EA,坡道平面,0,
RPSOMLNKKHMFFEH48CA,坡道平面,0,
RPSNMLNKKHMFFEH38CA,坡道平面,1300000,29.65
RPXOMLOKKHMFFEH09CA,坡道平面,0,27.15
RPQQMLOKKHMFFEH58CA,坡道平面,1400000,40.02
RPOPMLKKKHMFFEH87CA,坡道平面,1300000,29.65
RPTNMLQLJHMFFEH78CA,坡道平面,0,
RPWOMLOLJHMFFEH98CA,坡道平面,0,
RPUNMLPLJHMFFEH78CA,坡道平面,1450000,41.49
RPWNMLPLJHMFFEH98CA,坡道平面,1550000,41.49
RPXNMLPLJHMFFEH09CA,坡道平面,1600000,43.55
RPWOMLNLJHMFFEH88CA,坡道平面,0,26.17
