鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段1~30地號,12.38,商,,,1031101,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,5350000,61956,坡道平面,29.63,1150000,,RPUNMLQKJHMFFDH88DB
楊梅區,房地(土地+建物),草湳坡段埔心小段1~30地號,12.38,商,,,1031001,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,4290000,44036,,0.0,0,,RPWNMLQKJHMFFDH09DB
楊梅區,房地(土地+建物),草湳坡段埔心小段1~30地號,12.38,商,,,1031101,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,4550000,46705,,0.0,0,,RPXNMLQKJHMFFDH56DB
楊梅區,房地(土地+建物),草湳坡段埔心小段1~30地號,12.38,商,,,1031101,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,4510000,46294,,0.0,0,,RPOOMLQKJHMFFDH38DB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段1~30地號,12.38,商,,,1040201,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,5400000,64169,坡道平面,29.63,1050000,,RPPOMLQKJHMFFDH48DB
楊梅區,房地(土地+建物),草湳坡段埔心小段1~30地號,12.38,商,,,1040201,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,4500000,46192,,0.0,0,,RPROMLQKJHMFFDH68DB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段1~30地號,12.38,商,,,1040401,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,5380000,63136,坡道平面,29.63,1100000,,RPUOMLQKJHMFFDH98DB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段1~30地號,12.38,商,,,1040301,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,5180000,60923,坡道平面,29.63,1050000,,RPVOMLQKJHMFFDH09DB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段1~30地號,12.38,商,,,1040401,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,5330000,62399,坡道平面,29.63,1100000,,RPWOMLQKJHMFFDH56DB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段1~30地號,12.38,商,,,1040401,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,5320000,62989,坡道平面,29.63,1050000,,RPXOMLQKJHMFFDH66DB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段1~30地號,12.38,商,,,1031101,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,5270000,61017,坡道平面,27.44,1000000,,RPOPMLQKJHMFFDH48DB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段1~30地號,12.38,商,,,1031001,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,5180000,59731,坡道平面,27.44,1000000,,RPPPMLQKJHMFFDH58DB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段1~30地號,12.38,商,,,1040401,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.42,2,1,1,有,無,5330000,62399,坡道平面,29.63,1100000,,RPQPMLQKJHMFFDH68DB
楊梅區,房地(土地+建物),草湳坡段埔心小段1~30地號,16.39,商,,,1031101,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.07,3,2,2,有,無,5550000,43336,,0.0,0,,RPSPMLQKJHMFFDH88DB
