編號,車位類別,車位價格,車位面積平方公尺
RPUNMLQKJHMFFDH88DB,坡道平面,1150000,29.63
RPPOMLQKJHMFFDH48DB,坡道平面,1050000,29.63
RPUOMLQKJHMFFDH98DB,坡道平面,1100000,29.63
RPVOMLQKJHMFFDH09DB,坡道平面,1050000,29.63
RPWOMLQKJHMFFDH56DB,坡道平面,1100000,29.63
RPXOMLQKJHMFFDH66DB,坡道平面,1050000,29.63
RPOPMLQKJHMFFDH48DB,坡道平面,1000000,27.44
RPPPMLQKJHMFFDH58DB,坡道平面,1000000,27.44
RPQPMLQKJHMFFDH68DB,坡道平面,1100000,29.63
RPTPMLQKJHMFFDH98DB,坡道平面,1150000,29.63
RPUPMLQKJHMFFDH09DB,坡道平面,1100000,29.63
RPWPMLQKJHMFFDH66DB,坡道平面,1150000,29.63
RPOQMLQKJHMFFDH58DB,坡道平面,1050000,29.63
RPPQMLQKJHMFFDH68DB,坡道平面,1050000,29.63
RPQQMLQKJHMFFDH78DB,坡道平面,1100000,29.63
RPRQMLQKJHMFFDH88DB,坡道平面,1100000,29.63
RPSQMLQKJHMFFDH98DB,坡道平面,1100000,27.44
RPTQMLQKJHMFFDH09DB,坡道平面,1100000,29.63
RPUQMLQKJHMFFDH56DB,坡道平面,1050000,29.63
RPXQMLQKJHMFFDH86DB,坡道平面,1000000,27.44
RPQRMLQKJHMFFDH88DB,坡道平面,1150000,29.63
RPROMLQKJHMFFBH38CB,坡道平面,1350000,37.52
RPSOMLQKJHMFFBH48CB,坡道平面,1400000,37.52
RPOPMLQKJHMFFBH18CB,坡道平面,1300000,37.52
RPPPMLQKJHMFFBH28CB,坡道平面,1300000,35.49
RPQPMLQKJHMFFBH38CB,坡道平面,1350000,35.49
RPRPMLQKJHMFFBH48CB,坡道平面,1350000,37.52
RPTPMLQKJHMFFBH68CB,坡道平面,1400000,37.52
RPWPMLQKJHMFFBH98CB,坡道平面,1400000,37.52
RPQNMLRKJHMFFDH58DB,坡道平面,1050000,29.63
RPSNMLRKJHMFFDH78DB,坡道平面,1050000,29.63
RPVNMLRKJHMFFDH09DB,坡道平面,1050000,29.63
RPQOMLRKJHMFFDH68DB,坡道平面,1050000,29.63
RPVOMLRKJHMFFDH56DB,坡道平面,1050000,29.63
RPUPMLRKJHMFFDH56DB,坡道平面,1050000,29.63
RPVPMLRKJHMFFDH66DB,坡道平面,1150000,29.63
RPWPMLRKJHMFFDH76DB,坡道平面,1050000,29.63
RPOQMLRKJHMFFDH68DB,坡道平面,1050000,29.63
RPPQMLRKJHMFFDH78DB,坡道平面,1100000,29.63
RPQQMLRKJHMFFDH88DB,坡道平面,1050000,29.63
RPRQMLRKJHMFFDH98DB,坡道平面,1050000,27.44
RPTQMLRKJHMFFDH56DB,坡道平面,1050000,29.63
RPUQMLRKJHMFFDH66DB,坡道平面,1100000,29.63
RPXQMLRKJHMFFDH96DB,坡道平面,1100000,29.63
RPORMLRKJHMFFDH78DB,坡道平面,1100000,29.63
RPPRMLRKJHMFFDH88DB,坡道平面,1100000,29.63
RPQRMLRKJHMFFDH98DB,坡道平面,1150000,29.63
RPRRMLRKJHMFFDH09DB,坡道平面,1150000,29.63
RPSRMLRKJHMFFDH56DB,坡道平面,1100000,27.44
RPTRMLRKJHMFFDH66DB,坡道平面,1000000,27.44
RPVRMLRKJHMFFDH86DB,坡道平面,1150000,29.63
RPWRMLRKJHMFFDH96DB,坡道平面,1150000,29.63
RPOSMLRKJHMFFDH88DB,坡道平面,1000000,27.44
RPPSMLRKJHMFFDH98DB,坡道平面,1050000,29.63
RPQSMLRKJHMFFDH09DB,坡道平面,1150000,29.63
RPRSMLRKJHMFFDH56DB,坡道平面,1150000,29.63
RPSSMLRKJHMFFDH66DB,坡道平面,1050000,29.63
RPTSMLRKJHMFFDH76DB,坡道平面,1150000,29.63
RPUSMLRKJHMFFDH86DB,坡道平面,1150000,29.63
RPVSMLRKJHMFFDH96DB,坡道平面,1050000,27.44
RPRSMLSKJHMFFBH98CB,坡道平面,0,35.15
RPRSMLSKJHMFFBH98CB,坡道平面,0,35.15
RPRSMLSKJHMFFBH98CB,坡道平面,0,35.15
RPRSMLSKJHMFFBH98CB,坡道平面,0,35.15
RPTSMLSKJHMFFBH56CB,坡道平面,0,35.15
RPTSMLSKJHMFFBH56CB,坡道平面,0,35.15
RPTSMLSKJHMFFBH56CB,坡道平面,0,35.15
RPTSMLSKJHMFFBH56CB,坡道平面,0,35.15
RPTSMLSKJHMFFBH56CB,坡道平面,0,35.15
RPUSMLSKJHMFFBH66CB,坡道平面,0,35.15
RPUSMLSKJHMFFBH66CB,坡道平面,0,35.15
RPVSMLSKJHMFFBH76CB,坡道平面,0,35.15
RPVSMLSKJHMFFBH76CB,坡道平面,0,35.15
RPVSMLSKJHMFFBH76CB,坡道平面,0,35.15
RPVSMLSKJHMFFBH76CB,坡道平面,0,35.15
RPXSMLSKJHMFFBH96CB,坡道平面,0,35.15
RPOTMLSKJHMFFBH78CB,坡道平面,1200000,35.15
RPOTMLSKJHMFFBH78CB,坡道平面,1200000,35.15
RPQTMLSKJHMFFBH98CB,坡道平面,0,35.15
RPQTMLSKJHMFFBH98CB,坡道平面,0,35.15
RPQTMLSKJHMFFBH98CB,坡道平面,0,35.15
RPRTMLSKJHMFFBH09CB,坡道平面,0,35.15
RPRTMLSKJHMFFBH09CB,坡道平面,0,35.15
RPRTMLSKJHMFFBH09CB,坡道平面,0,35.15
RPSTMLSKJHMFFBH56CB,坡道平面,0,35.15
RPSTMLSKJHMFFBH56CB,坡道平面,0,35.15
RPUTMLSKJHMFFBH76CB,坡道平面,0,35.15
RPUTMLSKJHMFFBH76CB,坡道平面,0,35.15
RPVTMLSKJHMFFBH86CB,坡道平面,0,35.15
RPVTMLSKJHMFFBH86CB,坡道平面,0,35.15
RPXTMLSKJHMFFBH07CB,坡道平面,0,35.15
RPXTMLSKJHMFFBH07CB,坡道平面,0,35.15
RPPUMLSKJHMFFBH98CB,坡道平面,0,35.15
RPPUMLSKJHMFFBH98CB,坡道平面,0,35.15
RPQUMLSKJHMFFBH09CB,坡道平面,0,35.15
RPQUMLSKJHMFFBH09CB,坡道平面,0,35.15
RPRUMLSKJHMFFBH56CB,坡道平面,0,35.15
RPRUMLSKJHMFFBH56CB,坡道平面,0,35.15
RPSUMLSKJHMFFBH66CB,坡道平面,0,35.15
RPSUMLSKJHMFFBH66CB,坡道平面,0,35.15
RPUUMLSKJHMFFBH86CB,坡道平面,0,35.15
RPUUMLSKJHMFFBH86CB,坡道平面,0,35.15
RPWUMLSKJHMFFBH07CB,坡道平面,0,35.15
RPWUMLSKJHMFFBH07CB,坡道平面,0,35.15
RPXUMLSKJHMFFBH17CB,坡道平面,0,35.15
RPXUMLSKJHMFFBH17CB,坡道平面,0,35.15
RPXUMLSKJHMFFBH17CB,坡道平面,0,35.15
RPXUMLSKJHMFFBH17CB,坡道平面,0,35.15
RPOVMLSKJHMFFBH98CB,坡道平面,0,35.15
RPOVMLSKJHMFFBH98CB,坡道平面,0,35.15
RPOVMLSKJHMFFBH98CB,坡道平面,0,35.15
RPOVMLSKJHMFFBH98CB,坡道平面,0,35.15
RPPVMLSKJHMFFBH09CB,坡道平面,0,35.15
RPPVMLSKJHMFFBH09CB,坡道平面,0,35.15
RPPVMLSKJHMFFBH09CB,坡道平面,0,35.15
RPQVMLSKJHMFFBH56CB,坡道平面,0,35.15
RPQVMLSKJHMFFBH56CB,坡道平面,0,35.15
RPQVMLSKJHMFFBH56CB,坡道平面,0,35.15
RPRVMLSKJHMFFBH66CB,坡道平面,0,35.15
RPRVMLSKJHMFFBH66CB,坡道平面,0,35.15
RPSVMLSKJHMFFBH76CB,坡道平面,0,35.15
RPSVMLSKJHMFFBH76CB,坡道平面,0,35.15
RPSVMLSKJHMFFBH76CB,坡道平面,0,35.15
RPSVMLSKJHMFFBH76CB,坡道平面,0,35.15
RPWRMLTKJHMFFBH86CB,坡道平面,1350000,37.52
RPPSMLTKJHMFFBH88CB,坡道平面,1350000,37.52
RPQSMLTKJHMFFBH98CB,坡道平面,1350000,37.52
RPRSMLTKJHMFFBH09CB,坡道平面,1300000,37.52
RPTSMLTKJHMFFBH66CB,坡道平面,1350000,37.52
RPTOMLTKJHMFFFH86EB,坡道平面,1200000,29.85
RPUOMLTKJHMFFFH96EB,坡道平面,1100000,29.85
RPUOMLTKJHMFFFH96EB,坡道平面,1100000,29.85
RPRNMLTKJHMFFDH88DB,坡道平面,1050000,29.63
RPSNMLTKJHMFFDH98DB,坡道平面,1100000,27.44
RPWNMLTKJHMFFDH76DB,坡道平面,1100000,27.44
RPOOMLTKJHMFFDH68DB,坡道平面,1000000,27.44
RPTOMLTKJHMFFDH56DB,坡道平面,1100000,27.44
RPQPMLTKJHMFFDH98DB,坡道平面,1150000,29.63
RPSPMLTKJHMFFDH56DB,坡道平面,1150000,29.63
RPTPMLTKJHMFFDH66DB,坡道平面,1050000,27.44
RPRQMLTKJHMFFDH56DB,坡道平面,1100000,29.63
RPSQMLTKJHMFFDH66DB,坡道平面,1000000,27.44
RPTQMLTKJHMFFDH76DB,坡道平面,1050000,27.44
RPUQMLTKJHMFFDH86DB,坡道平面,1050000,29.63
RPVQMLTKJHMFFDH96DB,坡道平面,1050000,29.63
RPWQMLTKJHMFFDH07DB,坡道平面,1000000,27.44
RPORMLTKJHMFFDH98DB,坡道平面,1050000,29.63
RPQRMLTKJHMFFDH56DB,坡道平面,1050000,29.63
RPRRMLTKJHMFFDH66DB,坡道平面,1100000,29.63
RPSRMLTKJHMFFDH76DB,坡道平面,1050000,29.63
RPTRMLTKJHMFFDH86DB,坡道平面,1150000,29.63
RPVRMLTKJHMFFDH07DB,坡道平面,1100000,29.63
RPXRMLTKJHMFFDH27DB,坡道平面,1100000,27.44
RPOSMLTKJHMFFDH09DB,坡道平面,1050000,29.63
RPQSMLTKJHMFFDH66DB,坡道平面,1100000,29.63
