編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUPMLRJKILFFBH98CC,20,79.14,住家用,鋼筋混凝土造,85年9月4日,十二層,
RPUPMLRJKILFFBH98CC,20,1.14,共有部份,鋼筋混凝土造,85年9月4日,十三層,
RPUPMLRJKILFFBH98CC,20,9.05,共有部份,鋼筋混凝土造,85年9月4日,十三層,
RPWPMLSJKILFFBH66CC,41,162.00,住家用,加強磚造,64年8月22日,二層,
RPROMLTJKILFFDH98CC,21,337.06,工業用,鋼造,84年11月28日,二層,
RPSPMLOKKILFFBH58CC,10,297.63,見其他登記事項,鋼筋混凝土造,95年11月1日,五層,
RPOQMLOKKILFFBH28CC,39,47.08,住家用,加強磚造,66年10月1日,二層,
RPTNMLOKKILFFFH88CC,21,189.64,見其他登記事項,鋼筋混凝土造,84年10月6日,五層,
RPUNMLQKKILFFDH09DC,2,222.40,見其他登記事項,鋼筋混凝土造,103年8月18日,四層,
RPQNMLTKKILFFFH09CC,22,249.04,見其他登記事項,鋼筋混凝土造,83年8月25日,五層,
RPTPMLNLKILFFGH56CC,36,101.00,住家用,加強磚造,69年9月6日,三層,
RPUPMLNLKILFFGH66CC,39,245.90,住家用,鋼筋混凝土造,67年2月13日,三層,
RPPQMLNLKILFFBH38CC,39,81.50,住家用,加強磚造,66年10月1日,二層,
RPTQMLNLKILFFBH78CC,47,1335.54,工業用,加強磚造,59年2月16日,二層,
RPUNMLOLKILFFGH66DC,8,310.11,見其他登記事項,鋼筋混凝土造,97年10月28日,四層,
RPVNMLOLKILFFGH76DC,3,188.12,見其他登記事項,鋼筋混凝土造,103年4月23日,四層,
RPQPMLSLKILFFAH88DC,30,128.37,住家用,鋼筋混凝土造,76年2月18日,二層,
RPTOMLPJJHMFFBH48CC,39,492.30,商業用,鋼筋混凝土造,66年11月8日,四層,
RPRQMLKKJHMFFFH58DC,11,236.28,住商用,鋼筋混凝土造,94年8月2日,五層,
RPTOMLLKJHMFFGH68CC,5,221.53,住家用,鋼筋混凝土造,100年11月18日,四層,
RPTOMLLKJHMFFGH68CC,5,.12,共有部份,鋼筋混凝土造,100年11月18日,一層,
RPSQMLLKJHMFFBH28CC,39,74.34,住家用,加強磚造,66年12月15日,二層,
RPUOMLNKJHMFFEH88DC,28,24.80,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,39.60,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,36.00,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,14.80,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,15.00,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPRNMLQKJHMFFFH88DC,17,87.98,住家用,鋼筋混凝土造,88年11月25日,十三層,
RPRNMLQKJHMFFFH88DC,17,11.93,住家用,鋼筋混凝土造,88年11月25日,十三層,
RPRNMLQKJHMFFFH88DC,17,19.33,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPRNMLQKJHMFFFH88DC,17,24.86,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPRNMLQKJHMFFAH38DC,25,237.36,見其他登記事項,鋼筋混凝土造,80年12月31日,十四層,
RPRNMLQKJHMFFAH38DC,25,107.45,見其他登記事項,鋼筋混凝土造,80年12月31日,十四層,
RPOQMLQKJHMFFBH38CC,19,80.85,商業用,鋼筋混凝土造,87年7月1日,七層,
RPOQMLQKJHMFFBH38CC,19,9.05,共有部分,鋼筋混凝土造,87年7月1日,七層,
RPOQMLQKJHMFFBH38CC,19,10.70,共有部分,鋼筋混凝土造,87年7月1日,七層,
RPPQMLQKJHMFFBH48CC,6,132.32,住家用,鋼筋混凝土造,99年12月30日,十四層,
RPPQMLQKJHMFFBH48CC,6,17.07,見其他登記事項,鋼筋混凝土造,99年12月30日,十四層,
RPPQMLQKJHMFFBH48CC,6,87.58,見其他登記事項,鋼筋混凝土造,99年12月30日,十四層,
RPPQMLQKJHMFFBH48CC,6,34.59,見其他登記事項,鋼筋混凝土造,99年12月30日,十四層,
RPQOMLQKJHMFFAH28CC,3,130.73,住家用,鋼筋混凝土造,102年12月31日,十六層,
RPQOMLQKJHMFFAH28CC,3,114.15,見其他登記事項,鋼筋混凝土造,102年12月31日,二十一層,
RPROMLQKJHMFFAH38CC,6,162.97,見其他登記事項,鋼筋混凝土造,99年9月24日,十四層,
RPSOMLQKJHMFFAH68EC,22,94.24,住家用,鋼筋混凝土造,83年10月29日,十二層,
RPRPMLRKJHMFFDH88CC,30,126.86,住家用,加強磚造,76年7月5日,二層,
RPRNMLRKJHMFFEH88DC,22,97.47,住家用,鋼筋混凝土造,84年2月11日,七層,
RPOOMLSKJHMFFFH88DC,2,67.20,住家用,鋼筋混凝土造,104年6月17日,二十四層,
RPOOMLSKJHMFFFH88DC,2,31.12,見其他登記事項,鋼筋混凝土造,104年6月17日,二十四層,
RPOOMLSKJHMFFFH88DC,2,37.11,見其他登記事項,鋼筋混凝土造,104年6月17日,二十四層,
RPQOMLSKJHMFFFH09DC,4,254.95,見其他登記事項,鋼筋混凝土造,101年11月6日,五層,
RPROMLSKJHMFFFH56DC,36,93.48,住商用,鋼筋混凝土造,70年6月15日,二層,
RPSOMLSKJHMFFFH66DC,45,15.61,住家用,加強磚造,61年3月10日,二層,
RPPOMLSKJHMFFEH78CC,4,236.47,見其他登記事項,見其他登記事項,101年8月20日,二層,
RPPOMLSKJHMFFEH78CC,4,236.47,見其他登記事項,見其他登記事項,101年8月20日,二層,
RPPOMLSKJHMFFEH78CC,4,77.04,共有部份,見其他登記事項,101年8月20日,二層,
RPWOMLSKJHMFFEH86CC,22,66.85,住家用,鋼筋混凝土造,84年2月11日,八層,
RPWOMLSKJHMFFEH86CC,22,41.60,共有部份,鋼筋混凝土造,84年2月11日,八層,
RPWOMLSKJHMFFEH86CC,22,10.32,共有部份,鋼筋混凝土造,84年2月11日,八層,
RPROMLSKJHMFFAH58CC,22,100.82,住家用,鋼筋混凝土造,83年7月14日,七層,
RPROMLSKJHMFFAH58CC,22,15.27,見其他登記事項,鋼筋混凝土造,83年7月14日,七層,
RPWOMLSKJHMFFAH09CC,36,63.13,住家用,鋼筋混凝土造,69年7月12日,四層,
RPVNMLSKJHMFFBH98CC,14,54.15,住家用,鋼筋混凝土造,91年12月30日,十一層,
RPVNMLSKJHMFFBH98CC,14,11.36,共有部分,鋼筋混凝土造,91年12月30日,十一層,
RPVNMLSKJHMFFBH98CC,14,5.76,共有部分,鋼筋混凝土造,91年12月30日,十一層,
RPVNMLSKJHMFFBH98CC,14,3.67,共有部分,鋼筋混凝土造,91年12月30日,十一層,
RPSQMLSKJHMFFBH98CC,9,197.31,見其他登記事項,鋼筋混凝土造,97年1月21日,四層,
RPPPMLSKJHMFFEH09EC,14,40.96,住家用,鋼筋混凝土造,91年5月23日,十七層,
RPPPMLSKJHMFFEH09EC,14,2.31,共有部份,鋼筋混凝土造,91年5月23日,十七層,
RPPPMLSKJHMFFEH09EC,14,13.28,共有部份,鋼筋混凝土造,91年5月23日,十七層,
RPPOMLSKJHMFFGH56EC,11,82.43,住家用,鋼筋混凝土造,94年5月5日,十層,
RPPOMLSKJHMFFGH56EC,11,11.16,共有部份,鋼筋混凝土造,94年5月5日,十層,
RPPOMLSKJHMFFGH56EC,11,15.55,共有部份,鋼筋混凝土造,94年5月5日,十層,
RPTNMLTKJHMFFBH88CC,4,88.28,見其他登記事項,鋼筋混凝土造,102年5月25日,十五層,
RPTNMLTKJHMFFBH88CC,4,40.15,見其他登記事項,鋼筋混凝土造,102年5月25日,十五層,
RPPRMLTKJHMFFBH88CC,23,41.27,住家用,鋼筋混凝土造,82年9月8日,十六層,
RPPRMLTKJHMFFBH88CC,23,8.19,共有部分,鋼筋混凝土造,82年9月8日,十六層,
RPPRMLTKJHMFFBH88CC,23,3.59,共有部分,鋼筋混凝土造,82年9月8日,十六層,
RPSUMLTKJHMFFBH86CC,7,100.61,住家用,鋼筋混凝土造,98年6月29日,二十二層,
RPSUMLTKJHMFFBH86CC,7,4.44,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPSUMLTKJHMFFBH86CC,7,5.47,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPSUMLTKJHMFFBH86CC,7,13.89,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPSUMLTKJHMFFBH86CC,7,30.55,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPUUMLTKJHMFFBH07CC,7,109.48,住家用,鋼筋混凝土造,98年6月29日,二十一層,
RPUUMLTKJHMFFBH07CC,7,4.76,住家用,鋼筋混凝土造,98年6月29日,二十二層,
RPUUMLTKJHMFFBH07CC,7,5.49,住家用,鋼筋混凝土造,98年6月29日,二十一層,
RPUUMLTKJHMFFBH07CC,7,11.87,共有部份,鋼筋混凝土造,98年6月29日,二十一層,
RPUUMLTKJHMFFBH07CC,7,2.04,共有部份,鋼筋混凝土造,98年6月29日,二十二層,
RPSOMLTKJHMFFAH78CC,23,98.20,住家用,鋼筋混凝土造,83年7月13日,十七層,
RPPRMLTKJHMFFDH09CC,2,84.54,住家用,鋼筋混凝土造,104年5月25日,十四層,
RPPRMLTKJHMFFDH09CC,2,74.09,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPWRMLTKJHMFFDH17CC,6,196.87,見其他登記事項,鋼筋混凝土造,100年4月15日,四層,
RPWRMLTKJHMFFDH17CC,6,5.13,見其他登記事項,鋼筋混凝土造,100年4月15日,四層,
RPPPMLTKJHMFFEH09DC,2,73.56,共有部份,鋼筋混凝土造,104年7月6日,十四層,
RPPPMLTKJHMFFEH09DC,2,96.26,住家用,鋼筋混凝土造,104年7月6日,十四層,
RPXPMLTKJHMFFFH27CC,23,119.18,住家用,鋼筋混凝土造,83年5月11日,六層,
RPUNMLKLJHMFFFH58CC,2,70.54,住家用,鋼筋混凝土造,103年10月6日,十八層,
RPUNMLKLJHMFFFH58CC,2,14.39,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPUNMLKLJHMFFFH58CC,2,21.05,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPUNMLKLJHMFFFH58CC,2,4.93,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPUNMLKLJHMFFFH58CC,2,33.07,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPVNMLKLJHMFFFH68CC,38,13.12,住家用,鋼筋混凝土造,68年4月20日,四層,
RPWNMLKLJHMFFFH78CC,2,94.82,住家用,鋼筋混凝土造,103年8月19日,十五層,
RPWNMLKLJHMFFFH78CC,2,17.41,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPWNMLKLJHMFFFH78CC,2,41.32,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPQNMLKLJHMFFBH87DC,10,86.73,住家用,鋼筋混凝土造,96年4月30日,十四層,
RPQNMLKLJHMFFBH87DC,10,14.50,共有部份,鋼筋混凝土造,96年4月30日,十四層,
RPQNMLKLJHMFFBH87DC,10,4.45,共有部份,鋼筋混凝土造,96年4月30日,十四層,
RPQNMLKLJHMFFBH87DC,10,20.45,共有部份,鋼筋混凝土造,96年4月30日,十四層,
RPTNMLKLJHMFFBH18DC,10,42.97,見其他登記事項,鋼筋混凝土造,95年8月6日,四層,
RPQOMLKLJHMFFAH77CC,38,71.36,住家用,鋼筋混凝土造,67年8月14日,四層,
RPROMLKLJHMFFBH97CC,8,100.61,住家用,鋼筋混凝土造,98年6月29日,二十二層,
RPROMLKLJHMFFBH97CC,8,4.44,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPROMLKLJHMFFBH97CC,8,5.47,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPROMLKLJHMFFBH97CC,8,13.89,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPROMLKLJHMFFBH97CC,8,32.58,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPSOMLKLJHMFFBH08CC,8,108.77,住家用,鋼筋混凝土造,97年4月6日,二十二層,
RPSOMLKLJHMFFBH08CC,8,5.90,共有部份,鋼筋混凝土造,97年4月6日,二十二層,
RPSOMLKLJHMFFBH08CC,8,7.08,共有部份,鋼筋混凝土造,97年4月6日,二十二層,
RPSOMLKLJHMFFBH08CC,8,17.41,共有部份,鋼筋混凝土造,97年4月6日,二十二層,
RPSOMLKLJHMFFBH08CC,8,1.06,共有部份,鋼筋混凝土造,97年4月6日,二十二層,
RPSOMLKLJHMFFBH08CC,8,.17,共有部份,鋼筋混凝土造,97年4月6日,二十二層,
RPSOMLKLJHMFFBH08CC,8,.71,共有部份,鋼筋混凝土造,97年4月6日,二十二層,
RPTOMLKLJHMFFBH18CC,8,100.61,住家用,鋼筋混凝土造,98年6月29日,二十二層,
RPTOMLKLJHMFFBH18CC,8,4.44,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPTOMLKLJHMFFBH18CC,8,5.47,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPTOMLKLJHMFFBH18CC,8,13.89,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPTOMLKLJHMFFBH18CC,8,30.55,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPUOMLKLJHMFFBH28CC,8,121.09,見其他登記事項,鋼筋混凝土造,97年9月25日,十五層,
RPUOMLKLJHMFFBH28CC,8,21.00,共有部分,鋼筋混凝土造,97年9月25日,十五層,
RPUOMLKLJHMFFBH28CC,8,62.23,共有部分,鋼筋混凝土造,97年9月25日,十五層,
RPVOMLKLJHMFFBH38CC,8,96.67,住家用,鋼筋混凝土造,98年6月29日,二十一層,
RPVOMLKLJHMFFBH38CC,8,4.44,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPVOMLKLJHMFFBH38CC,8,5.19,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPVOMLKLJHMFFBH38CC,8,13.32,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPVOMLKLJHMFFBH38CC,8,34.62,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPOPMLKLJHMFFBH77CC,23,91.00,住家用,鋼筋混凝土造,83年6月23日,八層,
RPOPMLKLJHMFFBH77CC,23,7.07,共有部分,鋼筋混凝土造,83年6月23日,八層,
RPOPMLKLJHMFFBH77CC,23,15.32,共有部分,鋼筋混凝土造,83年6月23日,八層,
RPOPMLKLJHMFFBH77CC,23,13.97,共有部分,鋼筋混凝土造,83年6月23日,八層,
RPPPMLKLJHMFFBH87CC,3,170.80,見其他登記事項,鋼筋混凝土造,102年11月7日,四層,
RPUOMLKLJHMFFDH58DC,16,160.12,住家用,鋼筋混凝土造,90年5月7日,四層,
RPUOMLNLJHMFFGH66EC,23,168.48,住家用,鋼筋混凝土造,82年10月26日,三層,
RPXOMLNLJHMFFBH88CC,10,54.72,見其他登記事項,鋼筋混凝土造,96年6月6日,四層,
RPPPMLNLJHMFFBH18CC,33,22.34,住家用,鋼筋混凝土造,73年5月29日,四層,
RPQQMLNLJHMFFBH38CC,35,76.64,住家用,鋼筋混凝土造,70年12月23日,五層,
RPUOMLNLJHMFFAH48CC,19,94.79,住家用,鋼筋混凝土造,86年11月28日,二十五層,
RPUOMLNLJHMFFAH48CC,19,10.94,共有部份,鋼筋混凝土造,86年11月28日,二十五層,
RPWOMLNLJHMFFAH68CC,22,129.78,見其他登記事項,鋼筋混凝土造,84年4月14日,十七層,
RPWOMLNLJHMFFAH68CC,22,6.68,共有部份,鋼筋混凝土造,84年4月14日,十七層,
RPWOMLNLJHMFFAH68CC,22,6.36,共有部份,鋼筋混凝土造,84年4月14日,十七層,
RPQPMLNLJHMFFAH18CC,24,81.91,住家用,鋼筋混凝土造,82年7月5日,六層,
RPQPMLNLJHMFFAH18CC,24,45.82,共有部份,鋼筋混凝土造,82年7月5日,六層,
RPROMLNLJHMFFEH58CC,37,116.47,見其他登記事項,鋼筋混凝土造,69年6月16日,二層,
RPXSMLNLJHMFFBH76DC,1,170.04,見其他登記事項,鋼筋混凝土造,104年12月20日,十八層,
RPROMLNLJHMFFGH88DC,2,68.13,住家用,鋼筋混凝土造,104年4月16日,十四層,
RPSOMLNLJHMFFGH98DC,2,68.13,住家用,鋼筋混凝土造,104年4月16日,十四層,
RPPPMLNLJHMFFAH18DC,57,113.51,住家用,加強磚造,48年8月1日,一層,
RPTQMLOLJHMFFAH78DC,4,195.86,住家用,鋼筋混凝土造,102年6月10日,十四層,
RPROMLOLJHMFFFH78CC,36,52.29,住家用,加強磚造,70年5月5日,三層,
RPTOMLOLJHMFFFH98CC,2,65.51,住家用,鋼筋混凝土造,103年10月6日,十八層,
RPTOMLOLJHMFFFH98CC,2,13.39,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPTOMLOLJHMFFFH98CC,2,18.09,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPTOMLOLJHMFFFH98CC,2,4.90,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPTOMLOLJHMFFFH98CC,2,33.07,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPUOMLOLJHMFFFH09CC,2,134.96,住家用,鋼筋混凝土造,103年10月6日,十八層,
RPUOMLOLJHMFFFH09CC,2,27.55,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPUOMLOLJHMFFFH09CC,2,32.50,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPUOMLOLJHMFFFH09CC,2,.84,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPUOMLOLJHMFFFH09CC,2,.01,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPXOMLOLJHMFFFH76CC,3,70.57,住家用,鋼筋混凝土造,102年11月15日,十四層,
RPXOMLOLJHMFFFH76CC,3,9.51,見其他登記事項,鋼筋混凝土造,102年11月15日,十四層,
RPXOMLOLJHMFFFH76CC,3,14.14,見其他登記事項,鋼筋混凝土造,102年11月15日,十四層,
RPXPMLOLJHMFFBH56DC,1,233.55,見其他登記事項,鋼筋混凝土造,104年12月20日,十八層,
RPVOMLOLJHMFFEH09CC,12,126.44,住家用,鋼筋混凝土造,94年3月4日,十一層,
RPOSMLOLJHMFFBH48CC,42,104.98,住家用,加強磚造,64年7月9日,三層,
RPQSMLOLJHMFFBH68CC,19,28.46,住家用,鋼筋混凝土造,86年10月13日,十八層,
RPQSMLOLJHMFFBH68CC,19,8.62,共有部分,鋼筋混凝土造,86年10月13日,十八層,
RPQSMLOLJHMFFBH68CC,19,5.11,共有部分,鋼筋混凝土造,86年10月13日,十八層,
RPSSMLOLJHMFFBH88CC,25,145.99,見其他登記事項,鋼筋混凝土造,81年5月27日,二十二層,
RPSSMLOLJHMFFBH88CC,25,45.59,共有部分,鋼筋混凝土造,81年5月27日,二十二層,
RPSSMLOLJHMFFBH88CC,25,8.39,共有部分,鋼筋混凝土造,81年5月27日,二十二層,
RPOTMLOLJHMFFBH58CC,8,100.61,住家用,鋼筋混凝土造,98年6月29日,二十二層,
RPOTMLOLJHMFFBH58CC,8,4.44,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPOTMLOLJHMFFBH58CC,8,5.47,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPOTMLOLJHMFFBH58CC,8,13.89,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPOTMLOLJHMFFBH58CC,8,30.55,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPPTMLOLJHMFFBH68CC,8,100.61,住家用,鋼筋混凝土造,98年6月29日,二十二層,
RPPTMLOLJHMFFBH68CC,8,4.44,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPPTMLOLJHMFFBH68CC,8,5.46,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPPTMLOLJHMFFBH68CC,8,13.89,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPPTMLOLJHMFFBH68CC,8,59.06,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPSNMLPLJHMFFEH78CC,28,152.35,見其他登記事項,鋼筋混凝土造,78年4月3日,四層,
RPWOMLPLJHMFFGH86CC,35,24.77,住家用,鋼筋混凝土造,71年2月27日,五層,
RPROMLQLJHMFFFH98CC,2,61.63,住家用,鋼筋混凝土造,104年1月23日,十五層,
RPROMLQLJHMFFFH98CC,2,40.61,見其他登記事項,鋼筋混凝土造,104年1月23日,十五層,
RPROMLQLJHMFFFH98CC,2,9.77,見其他登記事項,鋼筋混凝土造,104年1月23日,十五層,
RPSOMLQLJHMFFFH09CC,43,63.71,住家用,見其他登記事項,62年10月1日,二層,
