編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXQMLKLKILFFBJ09CC,10,463.38,工業用,鋼筋混凝土造,96年3月2日,三層,
RPTOMLNKJHMFFBJ58CC,19,185.66,住商用,鋼筋混凝土造,86年10月8日,三層,
RPQOMLTKJHMFFBJ88CC,8,159.70,住商用,鋼筋混凝土造,98年1月6日,十四層,
RPQOMLTKJHMFFBJ88CC,8,18.65,共用部分,鋼筋混凝土造,98年1月6日,十四層,
RPQOMLTKJHMFFBJ88CC,8,22.76,共用部分,鋼筋混凝土造,98年1月6日,十四層,
RPUOMLTKJHMFFBJ76DC,,366.53,見其他登記事項,鋼筋混凝土造,105年12月8日,四層,
RPUOMLTKJHMFFBJ76DC,,93.86,見其他登記事項,鋼筋混凝土造,105年12月8日,四層,
RPUOMLTKJHMFFBJ76DC,,368.61,見其他登記事項,鋼筋混凝土造,105年12月8日,四層,
RPUOMLTKJHMFFBJ76DC,,93.86,見其他登記事項,鋼筋混凝土造,105年12月8日,四層,
RPQPMLKLJHMFFCJ28CC,11,27.61,住家用,鋼筋混凝土造,94年11月30日,十一層,
RPWOMLKLJHMFFBJ68CC,8,101.16,住家用,鋼筋混凝土造,98年5月4日,十五層,
RPWOMLKLJHMFFBJ68CC,8,8.94,共用部分,鋼筋混凝土造,98年5月4日,十五層,
RPXOMLKLJHMFFBJ78CC,15,122.54,住家用,鋼筋混凝土造,90年8月7日,十層,
RPXOMLKLJHMFFBJ78CC,15,12.21,共用部分,鋼筋混凝土造,90年8月7日,十層,
RPOPMLKLJHMFFBJ97CC,11,75.28,住家用,鋼筋混凝土造,95年5月19日,十五層,
RPOPMLKLJHMFFBJ97CC,11,9.90,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPOPMLKLJHMFFBJ97CC,11,20.28,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPPPMLKLJHMFFBJ08CC,3,120.80,住家用,鋼筋混凝土造,103年5月16日,五層,
RPPPMLKLJHMFFBJ08CC,3,11.52,見其他登記事項,鋼筋混凝土造,103年5月16日,五層,
RPQPMLKLJHMFFBJ18CC,8,112.13,住家用,鋼筋混凝土造,98年1月6日,十四層,
RPQPMLKLJHMFFBJ18CC,8,33.02,共用部分,鋼筋混凝土造,98年1月6日,十四層,
RPRPMLKLJHMFFBJ28CC,10,134.03,住家用,鋼筋混凝土造,95年9月7日,十二層,
RPRPMLKLJHMFFBJ28CC,10,19.27,共用部分,鋼筋混凝土造,95年9月7日,十二層,
RPSPMLKLJHMFFBJ38CC,5,117.97,住家用,鋼筋混凝土造,100年11月28日,十九層,
RPSPMLKLJHMFFBJ38CC,5,28.46,見其他登記事項,鋼筋混凝土造,100年11月28日,十九層,
RPPNMLLLJHMFFBJ97CC,5,147.28,商業用,鋼筋混凝土造,100年11月3日,十五層,
RPVNMLPLJHMFFBJ98CC,10,235.79,住家用,鋼筋混凝土造,95年12月18日,五層,
RPVNMLPLJHMFFBJ98CC,10,64.20,共用部分,鋼筋混凝土造,95年12月18日,五層,
