編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLQKKILFFEM88CA,18,271.75,住家用,鋼筋混凝土造,88年1月15日,三層,一層 二層 三層
RPSNMLOLJHMFFDM88CA,22,100.49,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,五層
RPSNMLOLJHMFFDM88CA,22,.30,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPSNMLOLJHMFFDM88CA,22,.30,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPSNMLOLJHMFFDM88CA,22,17.72,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPQNMLNKJHMFFAM18CA,32,107.10,住家用,加強磚造,74年4月26日,二層,一層 二層
RPQOMLRKJHMFFAM68CA,,147.96,見其他登記事項,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPVNMLSJKHMFFAM56CA,23,97.24,住家用,鋼筋混凝土造,83年6月17日,八層,三層
RPVNMLSJKHMFFAM56CA,23,35.06,見其他登記事項,鋼筋混凝土造,83年6月17日,八層,
RPVNMLSKJHMFFBM66CA,,208.21,住家用,鋼筋混凝土造,105年8月22日,四層,一層 二層 三層 四層
RPUNMLTKJHMFFBM66CA,36,87.29,住家用,加強磚造,69年12月30日,二層,一層 二層
RPPNMLQJKHMFFBM48CA,2,209.86,見其他登記事項,鋼筋混凝土造,103年9月2日,四層,一層 二層 三層 四層
RPQNMLMJKHMFFBM18CA,25,44.82,住家用,鋼筋混凝土造,81年1月30日,六層,六層
RPQNMLMJKHMFFBM18CA,25,16.88,見其他登記事項,鋼筋混凝土造,81年1月30日,六層,
RPSNMLTKJHMFFDM66CA,20,36.13,見其他登記事項,鋼筋混凝土造,86年1月10日,一層,
RPSNMLTKJHMFFDM66CA,20,198.90,住家用,鋼筋混凝土造,86年1月10日,四層,一層 二層 三層 四層
RPUNMLRKJHMFFDM66CA,33,89.70,住商用,鋼筋混凝土加強磚造,72年12月30日,二層,一層 二層 騎樓
RPWNMLRKJHMFFDM86CA,11,189.75,住家用,鋼筋混凝土造,95年1月26日,三層,一層 二層 三層 屋頂突出物
RPPNMLNKKHMFFDM48CA,36,93.32,住商用,鋼筋混凝土加強磚造,69年12月27日,二層,一層 二層 騎樓
RPTNMLQLJHMFFDM56CA,26,261.90,住家用,鋼筋混凝土造,79年12月5日,四層,一層 二層 三層 四層
RPTNMLQLJHMFFDM56CA,17,273.75,住商用,鋼筋混凝土造,88年7月31日,四層,一層 二層 三層 四層 騎樓
RPUNMLMJKHMFFDM78CA,,190.73,見其他登記事項,鋼筋混凝土造,105年10月27日,三層,一層 二層 三層 見其他登記事項
RPVNMLMJKHMFFDM88CA,,181.54,見其他登記事項,鋼筋混凝土造,105年10月27日,三層,一層 二層 三層 見其他登記事項
RPPNMLNJKHMFFDM38CA,39,116.86,住商用,鋼筋混凝土加強磚造,66年7月29日,二層,一層 二層 騎樓
RPUNMLNKKHMFFAM78DA,18,150.57,住商用,鋼筋混凝土造,87年6月9日,三層,一層 二層 三層 屋頂突出物
RPUNMLSKJHMFFBM66DA,18,191.90,住家用,鋼筋混凝土造,88年6月5日,三層,一層 二層 三層 屋頂突出物
RPUNMLRKJHMFFBM56DA,2,296.31,住家用,鋼筋混凝土造,103年8月12日,四層,一層 二層 三層 四層
RPXNMLTKJHMFFAM96DA,23,133.53,住家用,鋼筋混凝土造,82年1月13日,三層,一層 二層 三層
RPRNMLSKJHMFFCM98CA,4,208.67,見其他登記事項,鋼筋混凝土造,102年4月19日,三層,一層 二層 三層 見其他登記事項
RPWNMLRKJHMFFCM76CA,42,186.35,住商用,鋼筋混凝土加強磚造,64年2月7日,二層,一層 二層 騎樓
RPRNMLPLJHMFFCM78CA,17,99.90,農舍,鋼筋混凝土造,89年5月1日,一層,一層
