編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLRKJHMFFGN86CA,41,140.60,住家用,鋼筋混凝土加強磚造,65年5月20日,三層,一層 二層 三層
RPSNMLRKJHMFFFN76CA,34,92.40,住家用,鋼筋混凝土造,72年2月4日,二層,一層 二層
RPPNMLLLJHMFFFN58CA,1,175.05,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 騎樓 見其他登記事項
RPQNMLLLJHMFFFN68CA,1,174.87,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPROMLKLJHMFFAN38DA,36,181.32,住商用,鋼筋混凝土造,70年1月19日,四層,一層 二層 三層 四層 騎樓
RPRNMLKLJHMFFFN78DA,,178.85,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層
RPSNMLKLJHMFFFN88DA,,170.74,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層
RPVNMLNLJHMFFFN86DA,,178.85,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層
RPOPMLTKJHMFFAN88CA,36,196.65,住商用,鋼筋混凝土造,69年11月8日,四層,一層 二層 三層 四層 騎樓
RPOPMLKLJHMFFAN08CA,,354.93,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,一層 二層 三層 四層
RPPQMLNLJHMFFAN58CA,20,109.92,住家用,鋼筋混凝土造,85年10月12日,七層,二層
RPPQMLNLJHMFFAN58CA,20,26.31,見其他登記事項,鋼筋混凝土造,85年10月12日,五層,
RPPQMLNLJHMFFAN58CA,20,16.91,見其他登記事項,鋼筋混凝土造,85年10月12日,五層,
RPWNMLNJKHMFFAN88CA,37,93.06,住家用,加強磚造,69年6月18日,二層,一層 二層
RPVOMLKKKHMFFAN68CA,20,81.08,住家用,鋼筋混凝土造,85年7月29日,十四層,三層
RPVOMLKKKHMFFAN68CA,20,16.52,見其他登記事項,鋼筋混凝土造,85年7月29日,十四層,
RPVOMLKKKHMFFAN68CA,20,15.22,見其他登記事項,鋼筋混凝土造,85年7月29日,十四層,
RPQNMLQKJHMFFBN68CA,24,199.60,住家用,鋼筋混凝土造,81年9月3日,四層,一層 二層 三層 四層 騎樓
RPRNMLQKJHMFFBN78CA,24,198.65,住家用,鋼筋混凝土造,81年9月3日,四層,一層 二層 三層 四層 騎樓
RPRNMLTKJHMFFBN09CA,36,130.40,住家用,加強磚造,69年12月25日,二層,一層 二層 騎樓
RPPNMLTKJHMFFBN88CA,37,152.40,住家用,加強磚造,69年1月29日,三層,一層 二層 三層 騎樓
RPQPMLNJKHMFFDN78CA,1,156.65,見其他登記事項,鋼筋混凝土造,104年11月26日,四層,一層 二層 三層 四層
RPQNMLRKKHMFFBN88CA,11,80.85,見其他登記事項,鋼筋混凝土造,95年2月13日,三層,一層
RPQNMLRKKHMFFBN88CA,11,232.45,見使用執照,鋼筋混凝土造,95年2月13日,三層,
RPQNMLRKKHMFFBN88CA,11,200.68,見其他登記事項,鋼筋混凝土造,95年2月13日,三層,二層
RPQNMLRKKHMFFBN88CA,11,149.57,見其他登記事項,鋼筋混凝土造,95年2月13日,三層,三層
RPQNMLRKKHMFFBN88CA,11,34.13,見其他登記事項,鋼筋混凝土造,95年2月13日,三層,三層
RPPNMLOLJHMFFCN58CA,8,157.84,見其他登記事項,鋼筋混凝土造,98年1月19日,三層,一層 二層 三層 見其他登記事項
RPQNMLOLJHMFFCN68CA,,189.04,住家用,鋼筋混凝土造,105年11月9日,四層,一層 二層 三層 四層
RPRNMLOLJHMFFCN78CA,,198.79,住家用,鋼筋混凝土造,105年11月9日,四層,一層 二層 三層 四層
RPSNMLOLJHMFFCN88CA,,190.88,住家用,鋼筋混凝土造,105年11月9日,四層,一層 二層 三層 四層
RPTNMLOLJHMFFCN98CA,,191.24,住家用,鋼筋混凝土造,105年11月9日,四層,一層 二層 三層 四層
RPRNMLSKJHMFFBN98CA,,204.05,見其他登記事項,鋼筋混凝土造,105年8月3日,四層,一層 二層 三層 四層
RPSNMLSKJHMFFBN09CA,,196.15,見其他登記事項,鋼筋混凝土造,105年8月3日,四層,一層 二層 三層 四層
RPTNMLSKJHMFFBN56CA,,193.65,見其他登記事項,鋼筋混凝土造,105年8月3日,四層,一層 二層 三層 四層
RPUNMLNJKHMFFAN68CA,2,.35,見其他登記事項,鋼筋混凝土造,103年10月1日,一層,一層
RPUNMLNJKHMFFAN68CA,2,276.08,見其他登記事項,鋼筋混凝土造,103年10月1日,五層,一層 二層 三層 四層 五層
RPTPMLTKJHMFFAN76CA,43,120.28,住家用,鋼筋混凝土加強磚造,63年4月1日,二層,一層 二層
RPTPMLTKJHMFFAN76CA,43,112.36,住家用,鋼筋混凝土加強磚造,63年4月1日,二層,一層 二層
RPTPMLTKJHMFFAN76CA,43,108.80,住家用,鋼筋混凝土加強磚造,63年4月1日,二層,一層 二層
RPQNMLSKJHMFFAN78CA,,164.30,見其他登記事項,鋼筋混凝土造,105年6月30日,三層,一層 二層 三層 屋頂突出物
RPUOMLTKJHMFFAN76CA,23,85.07,住家用,鋼筋混凝土造,82年9月27日,十層,八層
RPUOMLTKJHMFFAN76CA,23,13.34,見其他登記事項,鋼筋混凝土造,82年9月27日,十層,
RPUOMLTKJHMFFAN76CA,23,28.49,見其他登記事項,鋼筋混凝土造,82年9月27日,十層,
RPOQMLNLJHMFFAN48CA,12,153.61,住家用,鋼筋混凝土造,94年5月23日,三層,一層 二層 三層
RPXNMLPLJHMFFAN66CA,11,255.49,住家用,鋼筋混凝土造,94年11月16日,四層,一層 二層 三層 四層
RPXNMLPLJHMFFAN66CA,11,.34,見其他登記事項,鋼筋混凝土造,94年11月16日,一層,
RPXNMLPLJHMFFAN66CA,11,3.83,見其他登記事項,鋼筋混凝土造,94年11月16日,三層,
RPSNMLQLJHMFFAN88CA,25,32.01,住家用,鋼筋混凝土造,81年3月17日,七層,六層
RPSNMLQLJHMFFAN88CA,25,15.93,見其他登記事項,鋼筋混凝土造,81年3月17日,七層,
RPUOMLQLJHMFFAN56CA,20,80.85,住家用,鋼筋混凝土造,86年6月20日,九層,四層
RPUOMLQLJHMFFAN56CA,20,64.51,見其他登記事項,鋼筋混凝土造,86年6月20日,九層,
RPRNMLNLJHMFFFN09DA,,158.38,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層
RPSNMLNLJHMFFFN56DA,,282.61,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層
RPUNMLNLJHMFFFN76DA,,178.85,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層
RPTNMLKLJHMFFFN98DA,,194.20,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層
RPUNMLKLJHMFFFN09DA,,158.34,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層
RPROMLRKJHMFFAN98DA,35,84.40,住家用,加強磚造,70年11月24日,二層,一層 二層
RPRNMLSKJHMFFAN98DA,41,46.80,見其他登記事項,加強磚造,64年11月7日,二層,一層 二層 騎樓
RPPOMLSKJHMFFAN88DA,40,207.65,住家用,加強磚造,65年12月1日,三層,一層 二層 三層
RPUNMLKLJHMFFHN56CA,2,170.50,見其他登記事項,鋼筋混凝土造,104年3月13日,三層,一層 二層 三層 屋頂突出物 騎樓
RPQNMLSKJHMFFHN86CA,13,143.68,住家用,鋼筋混凝土造,93年3月2日,三層,一層 二層 三層
RPRNMLLLJHMFFFN78CA,1,174.87,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPSNMLLLJHMFFFN88CA,1,174.87,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPTNMLLLJHMFFFN98CA,1,174.87,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPUNMLLLJHMFFFN09CA,1,201.33,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPVNMLLLJHMFFFN56CA,1,174.87,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPUNMLOKKHMFFDN56CA,33,90.52,住家用,鋼筋混凝土造,72年11月24日,五層,四層
RPPNMLSKJHMFFGN66CA,23,128.64,住家用,鋼筋混凝土造,82年7月10日,三層,一層 二層 三層
RPPNMLNJKHMFFFN68CA,,198.59,見其他登記事項,鋼筋混凝土造,105年11月21日,三層,一層 二層 三層 見其他登記事項
