編號,車位類別,車位價格,車位面積平方公尺
RPOPMLKLJHMFFAN08CA,一樓平面,0,
RPPQMLNLJHMFFAN58CA,升降機械,0,
RPQNMLSKJHMFFAN78CA,一樓平面,0,
RPVOMLKLJHMFFAN78DA,坡道機械,0,
RPXOMLKLJHMFFAN88CA,一樓平面,0,
RPRPMLTKJHMFFAN56CA,一樓平面,0,
RPPNMLSJKHMFFHN76CA,一樓平面,0,
RPPOMLNLJHMFFAN38CA,一樓平面,0,
RPXOMLPLJHMFFDN07CA,坡道平面,0,
RPQNMLRJKHMFFAN68CA,坡道平面,0,19.71
RPUNMLOLJHMFFAN88CA,一樓平面,0,
RPTOMLPLJHMFFAN98CA,升降機械,0,
RPOPMLOLJHMFFAN48CA,升降機械,550000,3.61
RPWOMLOLJHMFFAN66DA,坡道機械,0,
RPUOMLPLJHMFFAN09CA,坡道平面,0,
RPUOMLPLJHMFFAN09CA,坡道機械,0,
RPUNMLQKKHMFFAN09CA,坡道平面,350000,22.52
RPOOMLRJKHMFFAN58CA,一樓平面,0,39.09
RPUOMLRJKHMFFAN56CA,一樓平面,0,39.09
RPWNMLQLJHMFFAN66CA,一樓平面,0,
