鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物)+車位,新竹市新竹市北門街31~60號,51.0,商,,,1050801,土地1建物1車位1,一層，二層，三層，騎樓，地下一層,二十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041030,514.78,5,2,4,有,有,34000000,66048,坡道平面,15.0,0,1.原地主戶購回 2.店鋪含一個室內地下一層停車位，不單獨計價。,RPOPMLSJLHMFFAO56EA
新竹市,房地(土地+建物)+車位,新竹市新竹市北門街31~60號,48.73,商,,,1050901,土地1建物1車位3,一層，二層，三層，騎樓，地下一層,二十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041030,527.5699999999999,0,0,0,無,有,67380000,143017,坡道平面,73.08,2380000,1.原地主戶購回 2.店鋪含一個室內地下一層停車位，不單獨計價。,RPVVOLRJLHMFFAO97EA
新竹市,房地(土地+建物)+車位,新竹市新竹市北門街31~60號,46.91,商,,,1050901,土地1建物1車位1,一層，二層，三層，騎樓，地下一層,二十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041030,468.26,0,0,0,無,有,39000000,83287,坡道平面,15.0,0,1.店鋪含一個室內地下一層停車位，不單獨計價。,RPSPMLSJLHMFFAO96EA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,25.05,商,,,1051001,土地1建物1車位3,十七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,332.11,4,2,3,有,有,24190000,81615,坡道平面,87.18,4200000,1.車位總價中無法拆分個別車位價格。,RPRPMLSJLHMFFAO86EA
新竹市,房地(土地+建物)+車位,新竹市新竹市北門街31~60號,78.33,商,,,1051001,土地1建物1車位6,一層，二層，三層，騎樓，地下一層,二十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041030,849.1200000000001,0,0,0,無,有,67100000,88291,坡道平面,132.18,3800000,1.店鋪含3個室內地下一層停車位，不單獨計價。2.車位總價中無法拆分個別車位價格。,SPRPMLSJLHMFFAO96EA
新竹市,房地(土地+建物)+車位,新竹市新竹市北門街31~60號,50.09,商,,,1050901,土地1建物1車位1,一層，二層，三層，騎樓，地下一層,二十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041030,501.36,0,0,0,無,有,30000000,59837,坡道平面,15.0,0,1.店鋪含一個室內地下一層停車位，不單獨計價。,RPQNMLTJLHMFFAO66EA
新竹市,房地(土地+建物),新竹市新竹市關東路211~240號,22.0,其他,,,1051201,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830504,135.82,4,2,2,有,有,8800000,64792,,0.0,0,,RPROMLSKJHMFFAO56DA
新竹市,房地(土地+建物),新竹市新竹市浸水北街48巷1~30號,65.27,,特定農業區,甲種建築用地,1051201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,79.61,4,2,3,有,無,4600000,57782,,0.0,0,,RPVOMLQKJHMFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市光復路二段721~750號,6.17,商,,,1051201,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0811118,36.15,1,1,1,有,有,2050000,56708,,0.0,0,,RPTNMLRKJHMFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市忠孝路72巷1~30號,33.69,住,,,1051101,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050104,167.57,3,2,2,有,有,11900000,71015,坡道平面,0.0,0,,RPVNMLTKJHMFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市東南街239巷1~30號,7.47,住,,,1051201,土地2建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800716,38.8,1,1,1,有,有,1800000,46392,,0.0,0,,RPOOMLTKJHMFFAO88CA
新竹市,房地(土地+建物),新竹市新竹市延平路一段477巷1弄1~30號,85.0,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0650901,127.8,4,2,2,有,無,6700000,52426,,0.0,0,,RPTOMLTKJHMFFAO76CA
新竹市,土地,東橋段181~210地號,3.58,住,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,55866,,0.0,0,親屬間交易買賣,RPUNMLKLJHMFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹市忠孝路27巷1~30號,33.4,商,,,1051201,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1050718,222.02,4,1,2,有,有,14680000,73253,坡道平面,35.27,1000000,車位無單獨立契約，其價格及面積與房屋買賣合併同一契約內。,RPUPMLLLJHMFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市忠孝路27巷1~30號,31.27,商,,,1051201,土地1建物1車位2,二層,十三層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1050718,249.84,4,1,2,有,有,15510000,72667,坡道平面,72.18,2600000,,RPSPMLNLJHMFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市忠孝路27巷1~30號,31.25,商,,,1051201,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050718,213.5,4,1,2,有,有,15900000,83423,坡道平面,36.09,1100000,車位無單獨立契約，其價格及面積與房屋買賣合併同一契約內。,RPWPMLNLJHMFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市南大路550巷1~30號,104.0,住,,,1051201,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030710,276.38,4,3,4,有,無,25800000,93350,,0.0,0,,RPUSMLNLJHMFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市明湖路1050巷61~90號,13.15,,鄉村區,乙種建築用地,1051201,土地6建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830323,39.129999999999995,1,1,1,有,有,1150000,29389,,0.0,0,,RPRRMLPLJHMFFAO56CA
