編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOPMLSJLHMFFAO56EA,1,373.07,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,一層 二層 三層 騎樓 地下一層
RPOPMLSJLHMFFAO56EA,1,21.21,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPOPMLSJLHMFFAO56EA,1,116.87,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPOPMLSJLHMFFAO56EA,1,.00,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPOPMLSJLHMFFAO56EA,1,3.63,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPVVOLRJLHMFFAO97EA,1,340.03,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,一層 二層 三層 騎樓 地下一層
RPVVOLRJLHMFFAO97EA,1,20.02,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPVVOLRJLHMFFAO97EA,1,105.77,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPVVOLRJLHMFFAO97EA,1,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPVVOLRJLHMFFAO97EA,1,61.71,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPSPMLSJLHMFFAO96EA,1,339.17,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,一層 二層 三層 騎樓 地下一層
RPSPMLSJLHMFFAO96EA,1,21.57,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPSPMLSJLHMFFAO96EA,1,103.89,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPSPMLSJLHMFFAO96EA,1,.00,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPSPMLSJLHMFFAO96EA,1,3.63,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPRPMLSJLHMFFAO86EA,1,165.37,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,十七層
RPRPMLSJLHMFFAO86EA,1,29.92,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPRPMLSJLHMFFAO86EA,1,49.64,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPRPMLSJLHMFFAO86EA,1,.06,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPRPMLSJLHMFFAO86EA,1,87.12,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
SPRPMLSJLHMFFAO96EA,1,553.52,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,一層 二層 三層 騎樓 地下一層
SPRPMLSJLHMFFAO96EA,1,21.11,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
SPRPMLSJLHMFFAO96EA,1,183.69,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
SPRPMLSJLHMFFAO96EA,1,.06,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
SPRPMLSJLHMFFAO96EA,1,90.75,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPQNMLTJLHMFFAO66EA,1,363.29,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,一層 二層 三層 騎樓 地下一層
RPQNMLTJLHMFFAO66EA,1,24.27,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPQNMLTJLHMFFAO66EA,1,110.17,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPQNMLTJLHMFFAO66EA,1,.00,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPQNMLTJLHMFFAO66EA,1,3.63,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPROMLSKJHMFFAO56DA,23,113.53,住家用,鋼筋混凝土造,83年5月4日,七層,二層
RPROMLSKJHMFFAO56DA,23,8.84,共有部分,鋼筋混凝土造,83年5月4日,七層,
RPROMLSKJHMFFAO56DA,23,13.45,共有部分,鋼筋混凝土造,83年5月4日,七層,
