編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPOPMLSJLHMFFAO56EA,中山段三小段,51.00,都市：商
RPVVOLRJLHMFFAO97EA,中山段三小段,48.73,都市：商
RPSPMLSJLHMFFAO96EA,中山段三小段,46.91,都市：商
RPRPMLSJLHMFFAO86EA,中山段三小段,25.05,都市：商
SPRPMLSJLHMFFAO96EA,中山段三小段,78.33,都市：商
RPQNMLTJLHMFFAO66EA,中山段三小段,50.09,都市：商
RPROMLSKJHMFFAO56DA,長春段,22.00,都市：其他
RPVOMLQKJHMFFAO66CA,樹下段,65.27,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLRKJHMFFAO09CA,東明段,6.17,都市：商
RPVNMLTKJHMFFAO86CA,東明段,33.69,都市：住
RPOOMLTKJHMFFAO88CA,竹蓮段,4.52,都市：住
RPOOMLTKJHMFFAO88CA,竹蓮段,2.95,都市：住
RPTOMLTKJHMFFAO76CA,崙子段,85.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLKLJHMFFAO58CA,東橋段,3.58,都市：住
RPUPMLLLJHMFFAO88CA,東明段,33.40,都市：商
RPSPMLNLJHMFFAO88CA,東明段,31.27,都市：商
RPWPMLNLJHMFFAO66CA,東明段,31.25,都市：商
RPUSMLNLJHMFFAO76CA,新興段,4.00,都市：其他
RPUSMLNLJHMFFAO76CA,新興段,100.00,都市：住
RPRRMLPLJHMFFAO56CA,南湖段,.83,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRRMLPLJHMFFAO56CA,南湖段,1.92,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRRMLPLJHMFFAO56CA,南湖段,.97,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRRMLPLJHMFFAO56CA,南湖段,5.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRRMLPLJHMFFAO56CA,南湖段,3.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRRMLPLJHMFFAO56CA,南湖段,.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTRMLPLJHMFFAO76CA,舊社段,146.06,都市：住
RPTRMLPLJHMFFAO76CA,舊社段,.26,都市：住
RPQPMLQLJHMFFAO98CA,福林段,330.60,非都市：特定農業區 ; 非都市編定：農牧用地
RPSOMLQLJHMFFAO09CA,南湖段,50.44,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLQLJHMFFAO09CA,南湖段,1.37,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRQMLMJKHMFFAO68CA,康樂段,70.04,都市：住
RPRQMLMJKHMFFAO68CA,康樂段,3.67,都市：住
RPPPMLMJKHMFFAO38CA,新興段一小段,9.10,都市：住
RPPNMLNJKHMFFAO28CA,光武段,34.88,都市：住
RPQNMLQLJHMFFAO78CA,南門段四小段,8.52,都市：商
RPQNMLQLJHMFFAO78CA,南門段四小段,17.01,都市：住
RPRNMLOJKHMFFAO58CA,民主段一小段,16.70,都市：商
RPQOMLRJKHMFFAO88CA,信義段,9.00,都市：商
RPROMLRJKHMFFAO98CA,信義段,9.00,都市：商
RPSOMLRJKHMFFAO09CA,信義段,11.00,都市：商
RPTOMLRJKHMFFAO56CA,信義段,22.00,都市：商
RPWSMLNLJHMFFAO96CA,民富段,26.92,都市：住
RPOPMLOLJHMFFAO58CA,柑林段,24.03,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTRMLNLJHMFFAO56CA,國道段,17.76,都市：住
RPRTMLNLJHMFFAO56CA,南湖段,42.97,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRTMLNLJHMFFAO56CA,南湖段,1.16,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSTMLNLJHMFFAO66CA,光武段,11.02,都市：住
RPSTMLNLJHMFFAO66CA,光武段,.02,都市：其他
RPSTMLNLJHMFFAO66CA,光武段,.01,都市：其他
RPSTMLNLJHMFFAO66CA,光武段,.00,都市：其他
RPTTMLNLJHMFFAO76CA,東山段一小段,16.75,都市：住
RPTTMLNLJHMFFAO76CA,東山段一小段,20.42,都市：住
RPQRMLOLJHMFFAO98CA,中雅段,19.03,都市：商
RPQRMLOLJHMFFAO98CA,崙子段,.41,都市：商
RPXOMLPLJHMFFAO86CA,長春段,20.00,都市：住
RPQRMLNLJHMFFAO88CA,民主段一小段,9.36,都市：商
RPOOMLKLJHMFFAO08CA,自由段,128.00,都市：其他
RPQNMLSKJHMFFAO88CA,師院段,83.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLSKJHMFFAO66CA,虎山段,363.31,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLSKJHMFFAO88CA,光復段,110.74,都市：工
RPXOMLSKJHMFFAO07CA,新興段,40.00,都市：住
RPPPMLSKJHMFFAO98CA,康朗段,6.79,都市：農
RPPPMLSKJHMFFAO98CA,康朗段,28.79,都市：住
RPPNMLTKJHMFFAO88CA,柑林段,874.12,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLTKJHMFFAO66CA,光鎮段,73.77,都市：住
RPUNMLTKJHMFFAO76CA,民主段,30.97,都市：住
RPTOMLSJKHMFFAO66CA,香濱段,24.95,都市：住
RPPOMLKLJHMFFAO18CA,和平段,10.76,都市：住
RPSOMLTKJHMFFAO66CA,國道段,16.65,都市：商
RPXNMLTKJHMFFAO07CA,南勢段,27.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRRMLNLJHMFFAO98CA,東明段,36.07,都市：商
RPVPMLNLJHMFFAO56CA,東明段,36.07,都市：商
RPPNMLNLJHMFFAO38CA,民富段,37.12,都市：住
RPPNMLNLJHMFFAO38CA,民富段,2.43,都市：其他
