編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLSJLHMFFAP09CA,20,113.34,住家用,鋼筋混凝土造,85年7月20日,九層,二層
RPPOMLSJLHMFFAP09CA,20,.00,共同部份,鋼筋混凝土造,85年7月20日,九層,
RPPOMLSJLHMFFAP09CA,20,22.98,共同部份,鋼筋混凝土造,85年7月20日,九層,
RPPOMLSJLHMFFAP09CA,20,94.85,商業用,鋼筋混凝土造,85年7月20日,九層,一層 騎樓
RPPOMLSJLHMFFAP09CA,20,.00,共同部份,鋼筋混凝土造,85年7月20日,九層,
RPPOMLSJLHMFFAP09CA,20,22.70,共同部份,鋼筋混凝土造,85年7月20日,九層,
RPPOMLSJLHMFFAP09CA,20,39.90,停車空間,鋼筋混凝土造,85年7月20日,九層,地下一層
RPQOMLMLKILFFEP56DA,15,3555.43,見其他登記事項,見其他登記事項,91年3月12日,一層,見其他登記事項
RPQNMLMKJHMFFDP68CA,1,202.70,見其他登記事項,鋼筋混凝土造,105年3月8日,三層,一層 二層 三層 見其他登記事項
RPRNMLMKJHMFFDP78CA,1,202.25,見其他登記事項,鋼筋混凝土造,105年3月8日,三層,一層 二層 三層 見其他登記事項
RPQNMLTLKILFFEP07CA,23,2221.14,見其他登記事項,見其他登記事項,82年8月10日,一層,見其他登記事項
RPRNMLNJJHMFFFP09DA,1,172.57,見其他登記事項,鋼筋混凝土造,104年12月4日,三層,騎樓 見其他登記事項
RPXOMLTJJHMFFAP27DA,2,63.00,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,四層
RPXOMLTJJHMFFAP27DA,2,6.15,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPXOMLTJJHMFFAP27DA,2,10.65,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPOPMLTJJHMFFAP09DA,2,63.14,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,二層
RPOPMLTJJHMFFAP09DA,2,6.15,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPOPMLTJJHMFFAP09DA,2,10.65,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPRNMLNKJHMFFEP09DA,15,5193.06,見其他登記事項,見其他登記事項,91年2月21日,一層,見其他登記事項
RPPNMLNKKHMFFDP88DA,1,161.94,見其他登記事項,鋼筋混凝土造,105年4月8日,三層,一層 二層 三層 見其他登記事項
RPWNMLRKJHMFFDP27DA,1,193.38,見其他登記事項,鋼筋混凝土造,105年4月7日,三層,一層 二層 三層 見其他登記事項
RPXNMLRKJHMFFDP37DA,1,161.93,見其他登記事項,鋼筋混凝土造,105年4月7日,三層,一層 二層 三層 見其他登記事項
RPOOMLRKJHMFFDP56DA,1,161.94,見其他登記事項,鋼筋混凝土造,105年4月8日,三層,一層 二層 三層 見其他登記事項
RPPNMLQLJHMFFBP98DA,37,136.50,住商用,加強磚造,69年3月20日,二層,一層 二層 騎樓 電梯樓梯間
RPRNMLNLJHMFFDP09DA,19,312.44,住商用,鋼筋混凝土造,86年12月18日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPWNMLRKJHMFFEP27CA,13,184.29,住家用,鋼筋混凝土造,92年11月17日,三層,一層 二層 三層
RPRNMLOLJHMFFEP56CA,,198.17,住家用,鋼筋混凝土造,105年10月21日,三層,一層 二層 三層 見其他登記事項
RPUOMLQJKHMFFEP07CA,,198.17,住家用,鋼筋混凝土造,105年10月21日,三層,一層 二層 三層 見其他登記事項
RPRNMLRJKHMFFEP76CA,,198.17,住家用,鋼筋混凝土造,105年10月21日,三層,一層 二層 三層 見其他登記事項
RPUOMLRKJHMFFDP07CA,22,174.94,住家用,鋼筋混凝土造,84年3月31日,三層,一層 二層 三層 電梯樓梯間
RPVOMLRKJHMFFDP17CA,24,164.89,住家用,鋼筋混凝土造,82年2月24日,三層,一層 二層 三層 電梯樓梯間
