編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLNLKILFFCQ86CA,,193.86,住家用,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPVNMLSLKILFFCQ37CA,,180.87,住家用,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPOOMLPLJHMFFCQ09DA,1,207.61,見其他登記事項,鋼筋混凝土造,105年5月19日,四層,一層 二層 三層 四層
RPSNMLSKJHMFFDQ07DA,1,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPVNMLSKJHMFFDQ37DA,1,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPXNMLNLJHMFFCQ96CA,9,814.00,見其他登記事項,鋼筋混凝土造,96年6月11日,五層,一層 二層 三層 四層 五層
SPXNMLNLJHMFFCQ07CA,9,814.00,見其他登記事項,鋼筋混凝土造,96年6月11日,五層,一層 二層 三層 四層 五層
TPXNMLNLJHMFFCQ17CA,9,814.00,見其他登記事項,鋼筋混凝土造,96年6月11日,五層,一層 二層 三層 四層 五層
UPXNMLNLJHMFFCQ27CA,9,819.40,見其他登記事項,鋼筋混凝土造,96年6月11日,五層,一層 二層 三層 四層 五層
RPOOMLNLJHMFFCQ78CA,9,1553.28,見其他登記事項,鋼筋混凝土造,96年6月11日,五層,一層 二層 三層 四層 五層
SPOOMLNLJHMFFCQ88CA,9,814.00,見其他登記事項,鋼筋混凝土造,96年6月11日,五層,一層 二層 三層 四層 五層
TPOOMLNLJHMFFCQ98CA,9,814.00,見其他登記事項,鋼筋混凝土造,96年6月11日,五層,一層 二層 三層 四層 五層
UPOOMLNLJHMFFCQ09CA,9,814.00,見其他登記事項,鋼筋混凝土造,96年6月11日,五層,一層 二層 三層 四層 五層
VPOOMLNLJHMFFCQ56CA,9,814.00,見其他登記事項,鋼筋混凝土造,96年6月11日,五層,一層 二層 三層 四層 五層
RPPOMLNLJHMFFCQ88CA,9,655.99,見其他登記事項,鋼筋混凝土造,96年6月11日,四層,一層 二層 三層 四層
SPPOMLNLJHMFFCQ98CA,9,651.08,見其他登記事項,鋼筋混凝土造,96年6月11日,四層,一層 二層 三層 四層
TPPOMLNLJHMFFCQ09CA,9,651.08,見其他登記事項,鋼筋混凝土造,96年6月11日,四層,一層 二層 三層 四層
UPPOMLNLJHMFFCQ56CA,9,651.08,見其他登記事項,鋼筋混凝土造,96年6月11日,四層,一層 二層 三層 四層
VPPOMLNLJHMFFCQ66CA,9,655.40,見其他登記事項,鋼筋混凝土造,96年6月11日,四層,一層 二層 三層 四層
RPPNMLPLJHMFFCQ98CA,35,129.20,住家用,鋼筋混凝土加強磚造,70年11月27日,二層,一層 二層 電梯樓梯間
RPROMLQKJHMFFDQ76CA,13,16.26,見其他登記事項,鋼筋混凝土造,93年6月9日,五層,三層
RPRNMLSKJHMFFCQ76CA,35,101.71,住家用,鋼筋混凝土加強磚造,70年10月15日,二層,一層 二層
RPPNMLKLJHMFFCQ48CA,,214.10,住家用,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPPNMLOKKHMFFBQ78CA,1,176.43,見其他登記事項,鋼筋混凝土造,105年6月24日,三層,一層 二層 三層 見其他登記事項
RPRNMLKLJHMFFBQ58CA,12,209.44,住家用,鋼筋混凝土造,93年9月6日,四層,一層 二層 三層 四層
RPXNMLSKJHMFFDQ47CA,,141.80,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPOOMLSKJHMFFDQ66CA,,135.23,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPQNMLSKJHMFFDQ86DA,23,150.39,住家用,鋼筋混凝土造,82年7月12日,三層,一層 二層 三層
RPPNMLTKJHMFFCQ76DA,18,144.85,見其他登記事項,鋼筋混凝土造,88年4月28日,五層,三層
RPPNMLNJKHMFFDQ78CA,30,119.54,住家用,鋼筋混凝土加強磚造,75年12月29日,三層,一層 二層 三層
RPRNMLMJKHMFFDQ88CA,14,18.87,見其他登記事項,鋼筋混凝土造,92年5月5日,五層,二層
RPRNMLMJKHMFFDQ88CA,14,3.32,見其他登記事項,鋼筋混凝土造,92年5月5日,五層,
RPRNMLTKJHMFFCQ96DA,3,168.64,見其他登記事項,鋼筋混凝土造,102年11月4日,三層,一層 二層 三層 見其他登記事項
RPUNMLNJKHMFFDQ76DA,25,161.18,住家用,鋼筋混凝土造,80年6月20日,四層,一層 二層 三層 四層
RPRNMLQLJHMFFCQ66CA,4,144.07,住家用,鋼筋混凝土造,101年9月12日,三層,一層 二層 三層
RPTNMLNJKHMFFBQ98CA,,271.05,住家用,鋼筋混凝土造,105年11月14日,四層,一層 二層 三層 四層
RPUNMLNJKHMFFBQ09CA,,279.77,住家用,鋼筋混凝土造,105年11月14日,四層,一層 二層 三層 四層
RPVNMLNJKHMFFBQ56CA,,279.72,住家用,鋼筋混凝土造,105年11月14日,四層,一層 二層 三層 四層
RPPNMLTJKHMFFBQ56CA,33,155.88,住商用,鋼筋混凝土造,73年3月19日,三層,一層 二層 三層 騎樓
RPOOMLMJKHMFFBQ48CA,3,231.78,見其他登記事項,鋼筋混凝土造,103年6月25日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLRLJHMFFBQ09CA,10,213.36,住商用,鋼筋混凝土造,95年10月28日,四層,一層 二層 三層 四層
