編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLTJLHMFFAT96CA,5,.37,商業用,鋼筋混凝土造,99年2月26日,一層,一層
RPQNMLTJLHMFFAT96CA,3,293.47,見其他登記事項,鋼筋混凝土造,100年11月11日,三層,一層 二層 三層
RPTOMLSJLHMFFAT27CA,22,165.33,住家用,鋼筋混凝土造,83年4月28日,四層,一層 二層 三層 四層
RPQNMLNKKILFFBT56DA,24,166.35,住家用,鋼筋混凝土造,81年10月13日,三層,一層 二層 三層
RPSNMLMKKILFFFT96CA,,198.25,住家用,鋼筋混凝土造,105年6月6日,三層,一層 二層 三層
RPQNMLOJJHMFFBT98CA,1,197.66,住家用,鋼筋混凝土造,105年3月3日,三層,一層 二層 三層
RPOOMLTJKHMFFAT76CA,34,87.80,見其他登記事項,鋼筋混凝土造,72年3月15日,五層,一層 二層 騎樓
RPOOMLTJKHMFFAT76CA,34,.00,見其他登記事項,鋼筋混凝土造,72年5月16日,,
RPOOMLTJKHMFFAT76CA,34,.00,見其他登記事項,鋼筋混凝土造,72年3月15日,,
RPROMLTJJHMFFAT96CA,1,174.88,住家用,鋼筋混凝土造,104年11月18日,二層,一層 二層 屋頂突出物
RPVOMLNKJHMFFAT86CA,2,201.91,住家用,鋼筋混凝土造,103年10月9日,三層,一層 二層 三層
RPQNMLMKJHMFFBT88CA,12,3045.24,見其他登記事項,見其他登記事項,93年7月13日,一層,見其他登記事項
RPQNMLNKJHMFFFT76CA,21,109.10,住家用,加強磚造,85年2月12日,二層,一層 二層
RPTOMLRKKHMFFAT27DA,34,74.28,國民住宅,鋼筋混凝土造,71年10月30日,五層,二層
RPTOMLRKKHMFFAT27DA,34,11.98,國民住宅,鋼筋混凝土造,71年10月30日,五層,
RPPNMLMJKHMFFBT78CA,9,193.60,見其他登記事項,見其他登記事項,97年3月18日,二層,一層 二層
RPWNMLSJKHMFFAT37CA,24,98.86,住家用,鋼筋混凝土造,81年11月11日,十二層,九層
RPWNMLSJKHMFFAT37CA,24,27.94,共有部份,鋼筋混凝土造,81年11月11日,十二層,
RPTPMLQKJHMFFAT07CA,10,13.24,見其他登記事項,鋼筋混凝土造,96年5月30日,八層,四層
RPTPMLQKJHMFFAT07CA,10,10.43,見其他登記事項,鋼筋混凝土造,96年5月30日,八層,
RPRNMLRKJHMFFAT76CA,26,214.78,住家用,鋼筋混凝土造,80年1月4日,四層,一層 二層 三層 四層
RPXNMLRKJHMFFAT37CA,21,90.58,住家用,鋼筋混凝土造,84年6月28日,七層,一層 二層 夾層
RPXNMLRKJHMFFAT37CA,21,28.50,見其他登記事項,鋼筋混凝土造,84年6月28日,七層,
RPOOMLRKJHMFFAT56CA,36,101.60,住商用,加強磚造,69年7月19日,二層,一層 二層 騎樓
RPQOMLRKJHMFFAT76CA,25,98.29,住家用,鋼筋混凝土造,80年9月1日,十二層,十二層
RPQOMLRKJHMFFAT76CA,25,26.61,共有部份,鋼筋混凝土造,80年9月1日,十二層,
RPXOMLRKJHMFFAT47CA,30,40.29,住家用,鋼筋混凝土造,75年12月22日,二層,一層 二層
RPWNMLSKJHMFFAT37CA,23,139.59,住家用,鋼筋混凝土造,82年8月2日,三層,一層 二層 三層
RPRNMLKLJHMFFAT78CA,13,130.48,住家用,鋼筋混凝土造,92年12月23日,三層,一層 二層 三層
RPXNMLOLJHMFFAT17CA,22,86.47,住家用,鋼筋混凝土造,84年6月28日,十三層,十一層
RPXNMLOLJHMFFAT17CA,22,29.03,共有部份,鋼筋混凝土造,84年6月28日,十三層,
RPQOMLOLJHMFFAT56CA,23,101.79,住家用,鋼筋混凝土造,83年2月7日,十五層,十層
RPQOMLOLJHMFFAT56CA,23,38.56,見其他登記事項,鋼筋混凝土造,83年2月7日,十五層,
RPXNMLQLJHMFFAT37CA,22,23.10,住家用,鋼筋混凝土造,84年4月28日,六層,三層
RPXNMLQLJHMFFAT37CA,22,9.61,共有部份,鋼筋混凝土造,84年4月28日,六層,
RPPNMLRJKHMFFBT66CA,22,146.55,住家用,鋼筋混凝土造,84年2月11日,四層,一層 二層 三層 四層
RPTNMLRKJHMFFCT17CA,23,84.89,住家用,鋼筋混凝土造,82年12月8日,七層,五層
RPTNMLRKJHMFFCT17CA,23,27.27,見其他登記事項,鋼筋混凝土造,82年12月8日,七層,
RPXNMLNLJHMFFCT27CA,32,94.44,住家用,加強磚造,73年10月6日,二層,一層 二層
RPTOMLNLJHMFFCT96CA,47,87.00,住家用,見其他登記事項,59年6月20日,二層,一層 二層 騎樓
RPWNMLMJKHMFFCT96CA,38,21.30,住商用,加強磚造,68年2月28日,二層,一層 二層 騎樓
RPQNMLOLJHMFFDT76CA,7,248.50,見其他登記事項,鋼筋混凝土構造,99年6月11日,二層,一層 二層
RPSNMLQJKHMFFCT96CA,22,87.97,住家用,鋼筋混凝土造,83年11月8日,七層,一層
RPSNMLQJKHMFFCT96CA,22,20.63,見其他登記事項,鋼筋混凝土造,83年11月8日,七層,
RPTNMLQLJHMFFCT17CA,22,212.92,住商用,鋼筋混凝土造,84年4月27日,四層,一層 二層 三層 四層 騎樓
RPOOMLRKJHMFFCT76CA,37,51.81,住商用,加強磚造,69年5月31日,二層,一層 二層 騎樓
RPOOMLRKJHMFFCT76CA,37,51.81,住商用,加強磚造,69年5月31日,二層,一層 二層 騎樓
RPQOMLRKJHMFFCT96CA,23,191.65,住家用,鋼筋混凝土造,83年1月5日,四層,一層 二層 三層 四層
RPQNMLSKJHMFFCT96CA,42,138.54,住商用,加強磚造,64年1月13日,二層,一層 二層 騎樓
RPPOMLSKJHMFFCT96CA,24,79.21,住家用,鋼筋混凝土造,81年10月24日,六層,五層
RPPOMLSKJHMFFCT96CA,24,29.61,見其他登記事項,鋼筋混凝土造,81年10月24日,六層,
RPTNMLQLJHMFFAT96CA,2,231.58,住家用,鋼筋混凝土造,103年11月14日,四層,一層 二層 三層 四層
RPTOMLOLJHMFFAT86CA,8,251.87,見其他登記事項,鋼筋混凝土造,97年8月29日,四層,一層 二層 三層 四層 見其他登記事項
RPVOMLOLJHMFFAT07CA,12,165.31,住家用,鋼筋混凝土造,93年10月12日,三層,一層 二層 三層
RPQOMLSKJHMFFAT86CA,23,110.46,住家用,加強磚造,83年4月29日,二層,一層 二層
RPOPMLRKJHMFFAT66CA,22,204.02,住家用,鋼筋混凝土造,83年12月30日,五層,一層 二層 三層 四層
RPOPMLRKJHMFFAT66CA,22,6.73,見其他登記事項,鋼筋混凝土造,83年12月30日,五層,
RPTNMLSKJHMFFAT07CA,22,101.15,住家用,鋼筋混凝土造,83年12月19日,五層,四層
RPTNMLSKJHMFFAT07CA,22,14.54,見其他登記事項,鋼筋混凝土造,83年12月19日,五層,
RPXNMLOKKHMFFAT17CA,36,168.30,住商用,鋼筋混凝土造,70年4月28日,五層,一層 二層 三層 騎樓 地下層
RPPNMLLLJHMFFFT56CA,35,498.03,農舍,加強磚造,71年4月9日,二層,一層 二層
RPUNMLOKKHMFFAT96DA,,4433.33,見其他登記事項,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓
RPUNMLOKKHMFFAT96DA,24,1260.29,見其他登記事項,鋼筋混凝土造,82年2月11日,三層,一層 二層 三層
RPQOMLSKJHMFFCT17DA,13,170.08,住家用,加強磚造,93年1月8日,二層,一層 二層
RPPOMLOLJHMFFCT76DA,21,17.09,住家用,鋼筋混凝土造,84年7月10日,六層,四層
RPPOMLOLJHMFFCT76DA,21,11.17,住家用,鋼筋混凝土造,84年7月10日,六層,
RPQNMLKLJHMFFET56DA,21,20.14,住家用,鋼筋混凝土造,84年7月10日,四層,二層
RPQNMLKLJHMFFET56DA,21,15.97,共用部份,鋼筋混凝土造,84年7月10日,四層,
RPPNMLQJKHMFFDT76CA,24,99.93,住宅,鋼筋混凝土造,82年6月15日,六層,三層
RPPNMLQJKHMFFDT76CA,24,34.19,見其他登記事項,鋼筋混凝土造,82年6月15日,,
RPPNMLOKKHMFFDT66CA,33,129.78,住宅,鋼筋混凝土造,73年2月25日,三層,一層 二層 三層
RPPNMLPLJHMFFDT76CA,24,133.16,住宅,鋼筋混凝土造,82年6月15日,六層,二層
RPPNMLPLJHMFFDT76CA,24,34.19,見其他登記事項,鋼筋混凝土造,82年6月15日,,
RPPNMLQKKHMFFAT56CA,34,5.44,見其他登記事項,鋼筋混凝土造,71年8月10日,五層,
RPPNMLQKKHMFFAT56CA,34,31.08,住家用,鋼筋混凝土造,71年8月10日,五層,三層
RPPNMLQKKHMFFAT56CA,34,5.44,見其他登記事項,鋼筋混凝土造,71年8月10日,五層,
RPPNMLQKKHMFFAT56CA,34,31.08,住家用,鋼筋混凝土造,71年8月10日,五層,三層
RPROMLKKKHMFFAT88CA,23,108.09,見其他登記事項,鋼筋混凝土造,82年7月7日,七層,六層
RPROMLKKKHMFFAT88CA,23,42.31,見其他登記事項,鋼筋混凝土造,82年7月7日,七層,
RPXNMLSJKHMFFAT47CA,17,62.91,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,五層
RPXNMLSJKHMFFAT47CA,17,43.21,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPVNMLTJKHMFFAT37CA,23,86.16,住商用,鋼筋混凝土造,83年3月18日,七層,一層 二層 騎樓
RPVNMLTJKHMFFAT37CA,23,70.27,見其他登記事項,鋼筋混凝土造,83年3月18日,七層,
RPXNMLKKKHMFFAT76CA,41,90.40,住家用,鋼筋混凝土加強磚造,65年5月13日,二層,一層 二層
RPOOMLTKJHMFFAT76CA,22,63.59,住家用,鋼筋混凝土造,83年12月15日,七層,三層
RPOOMLTKJHMFFAT76CA,22,28.12,見其他登記事項,鋼筋混凝土造,83年12月15日,七層,
RPUOMLTKJHMFFAT37CA,17,67.06,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十四層
RPUOMLTKJHMFFAT37CA,17,44.17,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPVNMLKLJHMFFAT56CA,17,92.34,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十四層
RPVNMLKLJHMFFAT56CA,17,53.77,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPTPMLKLJHMFFAT56CA,17,120.94,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,三層
RPTPMLKLJHMFFAT56CA,17,82.58,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPOPMLNLJHMFFAT98CA,23,85.54,住家用,鋼筋混凝土造,83年3月2日,七層,六層
RPOPMLNLJHMFFAT98CA,23,13.70,見其他登記事項,鋼筋混凝土造,83年3月2日,七層,
RPUOMLOLJHMFFAT96CA,33,98.60,住家用,加強磚造,73年1月23日,二層,一層 二層
RPWNMLOLJHMFFAT07CA,22,95.98,住家用,鋼筋混凝土造,84年5月25日,十二層,七層
RPWNMLOLJHMFFAT07CA,22,43.31,見其他登記事項,鋼筋混凝土造,84年5月25日,,
RPUNMLOKKHMFFBT96CA,35,67.01,農舍,加強磚造,71年3月15日,一層,一層
RPPNMLTJKHMFFCT96CA,36,101.18,住商用,加強磚造,70年2月2日,二層,一層 二層 屋頂突出物 騎樓
RPROMLKLJHMFFDT56CA,1,173.70,住宅,鋼筋混凝土構造,105年3月25日,三層,一層 二層 三層
RPSOMLKLJHMFFDT66CA,11,255.39,住宅,鋼筋混凝土造,94年7月25日,四層,一層 二層 三層 四層 騎樓
RPXNMLKLJHMFFDT07CA,23,164.97,住宅,鋼筋混凝土造,82年9月9日,四層,一層 二層 三層 四層
RPOOMLKLJHMFFDT88CA,36,113.58,店舖、住宅,鋼筋混凝土造,69年12月18日,二層,一層 二層 騎樓
RPXNMLQKKHMFFCT57CA,12,11.79,見使用執照,鋼筋混凝土造,93年7月12日,六層,三層
RPXNMLQKKHMFFCT57CA,12,5.97,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPXNMLQKKHMFFCT57CA,12,1.12,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPUNMLQJKHMFFCT17CA,11,218.69,見使用執照,鋼筋混凝土造,94年7月27日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPQNMLLLJHMFFCT98CA,40,106.20,住家用,加強磚造,65年10月15日,二層,一層 二層 騎樓
RPPNMLQLJHMFFCT76CA,5,182.74,住家用,見其他登記事項,101年3月15日,三層,一層 二層 三層
RPQNMLKLJHMFFCT88CA,38,86.52,住商用,加強磚造,68年6月21日,二層,一層 二層 騎樓
RPWOMLOLJHMFFAT17CA,34,62.58,國民住宅,鋼筋混凝土造,71年10月15日,五層,五層
RPWOMLOLJHMFFAT17CA,,.00,見其他登記事項,鋼筋混凝土造,,六層,
RPPPMLKLJHMFFAT78CA,21,53.39,住家用,鋼筋混凝土造,84年11月9日,十二層,十二層
RPPPMLKLJHMFFAT78CA,21,20.92,見其他登記事項,鋼筋混凝土造,84年11月9日,十二層,
RPRPMLKLJHMFFAT98CA,24,169.15,住家用,鋼筋混凝土造,82年1月12日,三層,一層 二層 三層
RPSPMLKLJHMFFAT09CA,23,89.02,見其他登記事項,鋼筋混凝土造,82年7月7日,七層,四層
RPSPMLKLJHMFFAT09CA,23,30.65,見其他登記事項,鋼筋混凝土造,82年7月7日,七層,
RPXNMLKLJHMFFAT76CA,23,90.78,見其他登記事項,鋼筋混凝土造,82年10月5日,十一層,六層
RPXNMLKLJHMFFAT76CA,23,29.39,見其他登記事項,鋼筋混凝土造,82年10月5日,十一層,
RPROMLKLJHMFFAT88CA,17,90.84,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,五層
RPROMLKLJHMFFAT88CA,17,28.81,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPVOMLKLJHMFFAT66CA,,198.80,住家用,鋼筋混凝土造,105年7月18日,三層,一層 二層 三層 屋頂突出物
RPWOMLKLJHMFFAT76CA,25,152.40,商業用,加強磚造,81年3月18日,一層,一層 騎樓
RPUNMLKLJHMFFAT09CA,17,94.08,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十二層
RPUNMLKLJHMFFAT09CA,17,54.74,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPOOMLKKKHMFFAT58CA,25,174.24,住家用,鋼筋混凝土造,81年2月24日,三層,一層 二層 三層
RPRNMLTJKHMFFAT96CA,1,210.02,住家用,鋼筋混凝土造,104年9月25日,三層,一層 二層 三層
RPQNMLNJKHMFFAT88CA,23,94.06,住家用,鋼筋混凝土造,82年12月4日,十五層,五層
RPQNMLNJKHMFFAT88CA,23,30.84,見其他登記事項,鋼筋混凝土造,82年12月4日,十五層,
RPUNMLQLJHMFFDT37CA,41,101.62,店舖、住宅,加強磚造,65年6月10日,二層,一層 二層 騎樓
RPQNMLTJKHMFFET27CA,21,86.34,住家用,鋼筋混凝土造,84年11月17日,十二層,六層
RPQNMLTJKHMFFET27CA,21,31.58,共用部份,鋼筋混凝土造,84年11月17日,十二層,
RPRNMLQJKHMFFDT07DA,31,112.58,店舖、住宅,鋼筋混凝土造,74年9月20日,三層,一層 二層 三層 騎樓
RPPNMLOLJHMFFFT86CA,35,107.20,住商用,加強磚造,70年12月4日,二層,一層 二層 騎樓
RPPNMLQLJHMFFFT07CA,19,87.54,住家用,鋼筋混凝土造,87年6月19日,五層,二層
RPPNMLQLJHMFFFT07CA,19,19.01,見其他登記事項,鋼筋混凝土造,87年6月19日,五層,
RPQOMLNLJHMFFAT56DA,29,151.56,住家用,加強磚造,77年5月25日,二層,一層 二層
RPSNMLPLJHMFFDT07CA,38,78.13,住宅,加強磚造,68年2月6日,三層,一層 二層 三層
RPPOMLKKKHMFFAT68CA,23,157.99,住家用,鋼筋混凝土造,83年3月31日,三層,一層 二層 三層 地下層
RPSOMLKKKHMFFAT98CA,23,142.29,住家用,鋼筋混凝土造,83年5月19日,七層,二層
RPSOMLKKKHMFFAT98CA,23,70.62,見其他登記事項,鋼筋混凝土造,83年5月19日,七層,
RPUNMLKKKHMFFAT09CA,1,215.74,住家用,鋼筋混凝土造,105年5月4日,三層,一層 二層 三層 屋頂突出物
RPQPMLKLJHMFFAT88CA,22,150.16,住家用,鋼筋混凝土造,84年4月27日,四層,一層 二層 三層 四層
RPPNMLNLJHMFFAT88CA,4,193.68,住家用,鋼筋混凝土造,101年11月15日,四層,一層 二層 三層 四層
RPWPMLNLJHMFFAT17CA,24,74.59,住家用,鋼筋混凝土造,81年11月9日,六層,一層
RPWPMLNLJHMFFAT17CA,24,28.21,共有部份,鋼筋混凝土造,81年11月9日,六層,
RPXPMLNLJHMFFAT27CA,16,50.46,住家用,見其他登記事項,89年6月29日,一層,一層
