編號,車位類別,車位價格,車位面積平方公尺
RPXNMLRKJHMFFAT37CA,坡道平面,0,
RPXNMLOLJHMFFAT17CA,升降機械,0,
RPQOMLOLJHMFFAT56CA,坡道機械,0,
RPPOMLSKJHMFFCT96CA,坡道平面,0,
RPXNMLSJKHMFFAT47CA,坡道平面,0,
RPOOMLTKJHMFFAT76CA,坡道機械,0,
RPUOMLTKJHMFFAT37CA,坡道平面,0,24.01
RPVNMLKLJHMFFAT56CA,坡道平面,0,24.00
RPTPMLKLJHMFFAT56CA,坡道平面,0,24.00
RPTPMLKLJHMFFAT56CA,坡道平面,0,24.00
RPWNMLOLJHMFFAT07CA,升降機械,0,
RPTNMLQJKHMFFCT07CA,坡道平面,0,
RPPPMLKLJHMFFAT78CA,坡道機械,0,
RPUNMLKLJHMFFAT09CA,坡道平面,0,24.00
RPPOMLSJKHMFFAT76CA,坡道平面,0,
RPVNMLOKKHMFFAT96CA,坡道平面,0,4.34
RPVNMLOKKHMFFAT96CA,坡道平面,0,4.34
