編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLMJLHMFFAU56CA,5,190.48,住家用,鋼筋混凝土造,101年3月23日,三層,一層 二層 三層 見其他登記事項
RPQOMLKKKHMFFAU88CA,4,245.60,住家用,鋼筋混凝土造,102年1月16日,三層,一層 二層 三層
RPSNMLSKJHMFFAU07CA,37,72.90,住家用,鋼筋混凝土加強磚造,69年5月2日,二層,一層 二層
RPVOMLSKJHMFFAU47CA,1,248.60,住家用,鋼筋混凝土造,105年4月1日,四層,一層 二層 三層 四層
RPOPMLSKJHMFFAU86CA,28,91.20,住家用,鋼筋混凝土造,77年11月25日,五層,二層
RPOPMLSKJHMFFAU86CA,28,6.14,共有部份,鋼筋混凝土造,77年11月25日,五層,
RPUNMLTKJHMFFAU37CA,21,28.18,住家用,鋼筋混凝土造,85年2月2日,十層,八層
RPUNMLTKJHMFFAU37CA,21,2.80,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPUNMLTKJHMFFAU37CA,21,5.79,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPROMLKLJHMFFAU98CA,24,.28,商業用,鋼筋混凝土造,82年1月9日,七層,地下層
RPROMLKLJHMFFAU98CA,24,15.02,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPROMLKLJHMFFAU98CA,24,10.18,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPROMLKLJHMFFAU98CA,24,159.38,住商用,鋼筋混凝土造,82年1月9日,七層,一層 二層 三層 騎樓
RPROMLKLJHMFFAU98CA,24,18.24,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPPOMLQLJHMFFAU76CA,23,47.79,住家用,鋼筋混凝土造,83年5月18日,六層,五層
RPPOMLQLJHMFFAU76CA,23,22.04,共有部份,鋼筋混凝土造,83年5月18日,六層,
RPQNMLRKJHMFFAU86DA,18,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,四層 五層 見其他登記事項
RPQNMLRKJHMFFAU86DA,18,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPQNMLRKJHMFFAU86DA,18,25.67,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPOOMLRKJHMFFCU96DA,38,79.92,住家用,鋼筋混凝土造,68年2月1日,二層,一層 二層
RPRNMLSKJHMFFAU07DA,,25.90,商業用,木造,,一層,一層
RPTPMLQLJHMFFAU27CA,21,19.68,住家用,鋼筋混凝土造,85年2月2日,十層,七層
RPTPMLQLJHMFFAU27CA,21,2.99,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPTPMLQLJHMFFAU27CA,21,8.96,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPTPMLQLJHMFFAU27CA,21,.56,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPQOMLNLJHMFFAU56CA,6,171.97,住家用,鋼筋混凝土造,99年9月20日,三層,一層 二層 三層 屋頂突出物
RPPPMLSKJHMFFAU96CA,,113.24,住家用,鋼筋混凝土造,,二層,一層 二層 騎樓
RPTOMLSKJHMFFAU27CA,20,82.70,住家用,鋼筋混凝土造,85年10月29日,十六層,二層
RPTOMLSKJHMFFAU27CA,20,14.81,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPTOMLSKJHMFFAU27CA,20,23.03,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPUNMLOLJHMFFAU96CA,23,59.71,住家用,鋼筋混凝土造,83年1月22日,十二層,九層
RPUNMLOLJHMFFAU96CA,23,17.66,共有部份,鋼筋混凝土造,83年1月22日,十二層,
RPVOMLKKKHMFFAU76CA,39,53.38,住家用,鋼筋混凝土加強磚造,66年7月11日,一層,一層
RPWOMLKKKHMFFAU86CA,23,93.19,商業用,鋼筋混凝土造,83年5月18日,七層,一層
RPWOMLKKKHMFFAU86CA,23,25.91,共有部份,鋼筋混凝土造,83年5月18日,七層,
RPXOMLKKKHMFFAU96CA,10,321.61,住家用,鋼筋混凝土造,96年3月15日,三層,一層 二層 三層
RPOOMLPKKHMFFAU56CA,24,85.36,住家用,鋼筋混凝土造,82年1月9日,七層,四層
RPOOMLPKKHMFFAU56CA,24,8.17,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPOOMLPKKHMFFAU56CA,24,9.57,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPPOMLKKKHMFFAU78CA,45,121.13,住家用,鋼筋混凝土造,60年12月9日,二層,一層 二層
RPWNMLTKJHMFFAU57CA,27,52.63,住家用,鋼筋混凝土造,78年11月4日,六層,三層
RPWNMLTKJHMFFAU57CA,27,14.18,共有部份,鋼筋混凝土造,78年11月4日,六層,
RPQNMLKLJHMFFAU78CA,14,100.43,住家用,鋼筋混凝土造,91年11月21日,十一層,二層
RPQNMLKLJHMFFAU78CA,14,66.82,共有部份,鋼筋混凝土造,91年11月21日,十一層,
RPVPMLQLJHMFFAU47CA,23,75.26,住家用,鋼筋混凝土造,82年12月8日,七層,七層
RPVPMLQLJHMFFAU47CA,23,32.15,共有部份,鋼筋混凝土造,82年12月8日,七層,
RPRNMLPLJHMFFAU76CA,20,172.93,見其他登記事項,鋼筋混凝土造,85年8月17日,三層,一層 二層 三層 屋頂突出物 停車場 見其他登記事項
RPROMLPLJHMFFAU86CA,23,27.24,住家用,鋼筋混凝土造,83年4月14日,六層,四層
RPROMLPLJHMFFAU86CA,23,8.20,共有部份,鋼筋混凝土造,83年4月14日,六層,
RPSOMLPLJHMFFAU96CA,1,281.74,住家用,鋼筋混凝土造,105年2月19日,四層,一層 二層 三層 四層
RPUNMLNJKHMFFAU76CA,14,.27,住家用,見其他登記事項,92年2月21日,十二層,一層 二層
RPUNMLNJKHMFFAU76CA,14,.27,住家用,見其他登記事項,92年2月21日,十二層,一層 二層
RPUNMLNJKHMFFAU76CA,14,65.97,住家用,見其他登記事項,92年2月21日,十二層,六層
RPUNMLNJKHMFFAU76CA,14,9.33,共有部份,見其他登記事項,92年2月21日,十二層,
RPUNMLNJKHMFFAU76CA,14,12.28,共有部份,見其他登記事項,92年2月21日,十二層,
RPTNMLOLJHMFFAU86CA,,47.16,住家用,木造,,一層,一層
RPUNMLTJKHMFFAU37CA,34,96.96,住商用,鋼筋混凝土加強磚造,72年3月15日,二層,一層 二層 騎樓
RPPOMLKLJHMFFAU78CA,24,149.09,住家用,鋼筋混凝土造,81年12月8日,二層,一層 二層 屋頂突出物
RPSNMLTKJHMFFAU17CA,44,50.81,住家用,見其他登記事項,62年5月29日,一層,一層 騎樓
RPTOMLKLJHMFFAU56CA,21,95.90,住家用,鋼筋混凝土造,85年4月20日,五層,一層
RPTOMLKLJHMFFAU56CA,21,16.50,共有部份,鋼筋混凝土造,85年4月20日,五層,
RPTNMLLLJHMFFAU56CA,30,23.02,商業用,鋼筋混凝土造,75年7月12日,五層,三層
RPTNMLLLJHMFFAU56CA,30,5.30,共有部份,鋼筋混凝土造,75年7月12日,五層,
RPPNMLNLJHMFFAU98CA,31,83.70,住家用,鋼筋混凝土造,74年8月3日,五層,五層
RPPNMLNLJHMFFAU98CA,31,7.29,共有部份,鋼筋混凝土造,74年8月3日,五層,
RPPNMLNLJHMFFAU98CA,31,8.87,共有部份,鋼筋混凝土造,74年8月3日,五層,
RPSNMLNLJHMFFAU66CA,14,106.23,住家用,鋼筋混凝土造,91年11月21日,十一層,三層
RPSNMLNLJHMFFAU66CA,14,70.69,共有部份,鋼筋混凝土造,91年11月21日,十一層,
RPOOMLOLJHMFFAU09CA,,438.74,農舍,鋼筋混凝土造,105年12月12日,三層,一層 二層 三層 屋頂突出物
RPTOMLOLJHMFFAU96CA,23,21.49,住家用,鋼筋混凝土造,82年10月14日,六層,五層
RPTOMLOLJHMFFAU96CA,23,7.31,共有部份,鋼筋混凝土造,82年10月14日,六層,
RPOOMLQKKHMFFAU66CA,1,276.91,住家用,鋼筋混凝土造,104年7月28日,四層,一層 二層 三層 四層
RPQNMLRKKHMFFAU86CA,23,138.15,住家用,鋼筋混凝土造,82年10月29日,三層,一層 二層 三層
RPRNMLRKKHMFFAU96CA,,52.01,見其他登記事項,鋼筋混凝土造,105年10月11日,九層,
RPRNMLRKKHMFFAU96CA,,254.75,住商用,鋼筋混凝土造,105年10月11日,九層,一層 二層 騎樓
RPRNMLRKKHMFFAU96CA,,14.01,共有部份,鋼筋混凝土造,105年10月11日,九層,
SPRNMLRKKHMFFAU07CA,,270.67,住商用,鋼筋混凝土造,105年10月11日,九層,一層 二層 騎樓
SPRNMLRKKHMFFAU07CA,,14.01,共有部份,鋼筋混凝土造,105年10月11日,九層,
SPRNMLRKKHMFFAU07CA,,53.01,見其他登記事項,鋼筋混凝土造,105年10月11日,九層,
TPRNMLRKKHMFFAU17CA,,254.75,住商用,鋼筋混凝土造,105年10月11日,九層,一層 二層 騎樓
TPRNMLRKKHMFFAU17CA,,52.01,見其他登記事項,鋼筋混凝土造,105年10月11日,九層,
TPRNMLRKKHMFFAU17CA,,14.01,共有部份,鋼筋混凝土造,105年10月11日,九層,
UPRNMLRKKHMFFAU27CA,,155.12,住家用,鋼筋混凝土造,105年10月11日,九層,六層
UPRNMLRKKHMFFAU27CA,,14.01,共有部份,鋼筋混凝土造,105年10月11日,九層,
UPRNMLRKKHMFFAU27CA,,49.01,見其他登記事項,鋼筋混凝土造,105年10月11日,九層,
RPOPMLKKKHMFFAU78CA,1,196.83,住家用,鋼筋混凝土造,105年2月4日,四層,三層 四層 一層 二層
RPROMLNKKHMFFAU66CA,18,90.67,住家用,鋼筋混凝土造,87年10月9日,五層,二層
RPROMLNKKHMFFAU66CA,18,14.34,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPROMLNKKHMFFAU66CA,18,29.48,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPROMLNKKHMFFAU66CA,18,.46,住家用,鋼筋混凝土造,87年10月9日,五層,一層
RPROMLNKKHMFFAU66CA,18,.07,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPROMLNKKHMFFAU66CA,18,.14,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPQNMLNKKHMFFAU09CA,23,106.01,住家用,鋼筋混凝土造,83年6月11日,九層,一層
RPQNMLNKKHMFFAU09CA,23,10.19,共有部份,鋼筋混凝土造,83年6月11日,九層,
RPQNMLNKKHMFFAU09CA,23,11.66,共有部份,鋼筋混凝土造,83年6月11日,九層,
RPQNMLNKKHMFFAU09CA,23,10.98,見其他登記事項,鋼筋混凝土造,83年6月11日,九層,地下二層
RPQNMLNLJHMFFBU56CA,33,91.21,住商用,鋼筋混凝土造,73年1月14日,四層,一層 二層 騎樓
RPRNMLTKJHMFFCU27CA,22,161.55,住家用,鋼筋混凝土造,84年3月25日,三層,一層 二層 三層
RPWOMLPKKHMFFAU37CA,,211.10,住家用,鋼筋混凝土造,105年6月2日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLOKKHMFFAU76CA,2,263.15,住家用,鋼筋混凝土造,103年10月23日,四層,一層 二層 三層 四層
RPPNMLLKKHMFFAU78CA,,249.84,農舍,鋼筋混凝土造,105年8月15日,三層,一層 二層 三層 屋頂突出物
RPSOMLTJKHMFFAU27CA,43,100.80,住家用,鋼筋混凝土造,62年11月30日,二層,一層 二層 騎樓
RPVOMLNLJHMFFAU07CA,44,66.15,住家用,木造,62年3月7日,一層,一層
RPVOMLNLJHMFFAU07CA,41,175.48,住商用,鋼筋混凝土加強磚造,65年2月17日,二層,一層 騎樓 二層
RPWOMLNLJHMFFAU17CA,,66.63,住商用,木造,,一層,一層
RPPPMLNLJHMFFAU56CA,39,153.02,見其他登記事項,鋼筋混凝土加強磚造,67年5月9日,二層,一層 二層 地下層
RPPOMLNLJHMFFAU09CA,22,18.26,共有部份,鋼筋混凝土造,84年2月22日,八層,
RPPOMLNLJHMFFAU09CA,22,79.39,住家用,鋼筋混凝土造,84年2月22日,八層,一層
RPXOMLMJKHMFFAU07CA,29,129.54,住商用,鋼筋混凝土造,76年6月25日,二層,騎樓 一層 二層 屋頂突出物
RPQNMLPLJHMFFAU86EA,3,198.83,農舍,鋼筋混凝土造,102年7月23日,三層,一層 二層 三層
RPPOMLPLJHMFFAU86EA,19,92.46,住家用,鋼筋混凝土造,86年8月27日,九層,二層 三層
RPPOMLPLJHMFFAU86EA,19,16.63,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPPOMLPLJHMFFAU86EA,19,12.32,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPPOMLPLJHMFFAU86EA,19,54.18,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPVNMLNJKHMFFAU86CA,47,61.86,住家用,鋼筋混凝土加強磚造,59年2月12日,二層,一層 二層 騎樓
RPQPMLNLJHMFFAU66CA,21,168.51,住家用,鋼筋混凝土造,84年8月2日,三層,三層 一層 二層
RPSPMLOLJHMFFAU96CA,,412.32,住家用,鋼筋混凝土造,105年11月16日,四層,一層 二層 三層 四層 屋頂突出物
RPTPMLOLJHMFFAU07CA,,82.96,住家用,鋼筋混凝土造,105年11月16日,一層,一層
RPQOMLOLJHMFFAU66CA,30,98.08,住家用,鋼筋混凝土造,75年7月30日,二層,一層 二層
RPROMLOLJHMFFAU76CA,30,85.19,住家用,鋼筋混凝土造,76年1月13日,五層,五層
RPROMLOLJHMFFAU76CA,30,4.87,共有部份,鋼筋混凝土造,76年1月13日,五層,
RPROMLOLJHMFFAU76CA,30,8.96,共有部份,鋼筋混凝土造,76年1月13日,五層,
RPSOMLOLJHMFFAU86CA,41,80.48,住家用,鋼筋混凝土加強磚造,65年6月17日,四層,一層
RPTOMLTJKHMFFAU37CA,21,65.10,住家用,鋼筋混凝土造,84年6月22日,五層,三層
RPTOMLTJKHMFFAU37CA,21,11.58,共有部份,鋼筋混凝土造,84年6月22日,五層,
RPOPMLPKKHMFFAU66CA,,313.68,農舍,鋼筋混凝土造,105年9月30日,三層,一層 二層 三層
RPUOMLTJKHMFFAU47CA,7,685.21,見其他登記事項,見其他登記事項,99年4月20日,一層,一層
RPVNMLOKKHMFFAU07CA,12,251.68,住家用,鋼筋混凝土造,93年8月26日,四層,一層 二層 三層 四層
RPROMLKKKHMFFAU98CA,2,287.66,住家用,鋼筋混凝土造,104年6月8日,四層,一層 二層 三層 四層
RPUNMLQJKHMFFAU07CA,46,107.40,住家用,鋼筋混凝土加強磚造,59年12月1日,二層,一層 二層 騎樓
