鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
台東市,建物,臺東縣臺東市豐興路61~90號,0.0,,,,1050201,土地0建物1車位0,一層，二層，三層，四層，五層，六層，七層，見其他登記事項,七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050831,3262.83,84,3,84,有,無,20934300,6416,,0.0,0,,RPSNMLNLKILFFAV86CA
台東市,建物,臺東縣臺東市西康路一段72巷60弄1~30號,0.0,,,,1051001,土地0建物1車位0,全,一層,透天厝,見其他登記事項,見其他登記事項,0881106,97.52,0,0,0,有,無,1600000,16407,,0.0,0,,RPVNMLQLKILFFAV47CA
台東市,房地(土地+建物),臺東縣臺東市永安街197巷1~30號,143.35,住,,,1051201,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880122,208.31,4,2,3,有,無,8200000,39364,,0.0,0,,RPWNMLQKJHMFFAV37CA
卑南鄉,土地,泰安段631~660地號,101.97,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,10297,,0.0,0,未登記建物。,RPQNMLRKJHMFFAV86CA
台東市,土地,東海段541~570地號,155.11,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,24499,,0.0,0,含未辦保存登記之建物。,RPWNMLRKJHMFFAV47CA
台東市,房地(土地+建物),臺東縣臺東市文心街31~60號,15.89,住,,,1051201,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840217,99.32,2,1,1,有,無,2750000,27688,,0.0,0,,RPTOMLSKJHMFFAV37CA
卑南鄉,房地(土地+建物),臺東縣卑南鄉鎮樂路1~30號,9.98,住,,,1051201,土地2建物1車位0,二層,六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0821026,39.62,1,0,1,有,無,440000,11106,,0.0,0,,RPPOMLKLJHMFFAV88CA
台東市,土地,豐谷段781~810地號,1840.0,其他,,,1051101,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,6522,,0.0,0,,RPQNMLRJKHMFFAV86CA
成功鎮,土地,高台段841~870地號,3950.16,,風景區,農牧用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3555000,900,,0.0,0,,RPPNMLRKJHMFFBV86CA
成功鎮,土地,忠勇段361~390地號,323.63,住,,,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,27810,,0.0,0,,RPQNMLRKJHMFFBV96CA
長濱鄉,土地,寧埔段石寧埔小段271~300地號,4586.0,,風景區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,164,,0.0,0,親戚關係間之交易。,RPRNMLRKJHMFFBV07CA
東河鄉,土地,南八里段121~150地號,224.82,,鄉村區,乙種建築用地,1050201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,8896,,0.0,0,本案為賣清.所有稅費及相關費用由買方負擔.金額為20萬元.包含土增稅.老屋拆除費用.合併分割.建築師及代書代辦費.交際費等等.,RPPNMLSKJHMFFBV96CA
關山鎮,房地(土地+建物),臺東縣關山鎮溪埔61~90號,82.53,,特定農業區,甲種建築用地,1051201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0850809,111.14,3,2,2,有,無,400000,3599,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLKLJHMFFCV09CA
大武鄉,土地,復興段451~480地號,180.22,住,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,981000,5443,,0.0,0,,RPPNMLSKJHMFFDV17CA
太麻里鄉,土地,蘭里段481~510地號,437.98,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,2968,,0.0,0,,RPQNMLTKJHMFFDV37CA
