編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLNLKILFFAV86CA,,3262.83,見其他登記事項,鋼筋混凝土造,105年8月31日,七層,一層 二層 三層 四層 五層 六層 七層 見其他登記事項
RPVNMLQLKILFFAV47CA,17,97.52,見其他登記事項,見其他登記事項,88年11月6日,一層,一層
RPWNMLQKJHMFFAV37CA,18,104.16,住家用,鋼筋混凝土造,88年1月22日,三層,一層 二層 三層
RPWNMLQKJHMFFAV37CA,18,104.16,住家用,鋼筋混凝土造,88年1月22日,三層,一層 二層 三層
RPTOMLSKJHMFFAV37CA,22,61.21,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,八層
RPTOMLSKJHMFFAV37CA,22,8.38,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPTOMLSKJHMFFAV37CA,22,25.62,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPTOMLSKJHMFFAV37CA,22,4.11,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPPOMLKLJHMFFAV88CA,23,11.62,見其他登記事項,鋼筋混凝土造,82年10月26日,六層,
RPPOMLKLJHMFFAV88CA,23,28.00,見其他登記事項,鋼筋混凝土造,82年10月26日,六層,二層
RPQNMLKLJHMFFCV09CA,20,111.14,住家用,加強磚造,85年8月9日,二層,一層 二層 屋頂突出物
RPTNMLRKJHMFFAV27DA,2,316.12,住家用,見其他登記事項,103年9月25日,三層,一層 二層 三層
RPROMLKLJHMFFAV09CA,29,176.91,住家用,加強磚造,77年3月10日,二層,一層 二層 騎樓
RPRNMLPLJHMFFAV86CA,38,76.94,住家用,加強磚造,67年11月8日,二層,一層 二層
RPTNMLPLJHMFFAV07CA,17,56.29,商業用,見其他登記事項,88年8月20日,一層,一層
RPPNMLTKJHMFFAV96CA,,269.61,住家用,見其他登記事項,105年8月10日,四層,一層 二層 三層 四層
RPWNMLKLJHMFFAV86CA,36,228.48,住家用,鋼筋混凝土加強磚造,70年5月5日,三層,一層 二層 三層 騎樓 地下層
RPQNMLKLJHMFFAV88CA,,204.24,見其他登記事項,見其他登記事項,105年7月13日,三層,一層 二層 三層 見其他登記事項
