編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLSJKHMFFBA57CA,21,73.91,見使用執照,鋼筋混凝土造,83年9月26日,九層,地下一層
RPPOMLSJKHMFFBA57CA,21,.56,共有部分,鋼筋混凝土造,83年9月26日,九層,
RPUQMLRJKHMFFCA28CA,4,133.51,見其他登記事項,鋼筋混凝土造,101年4月26日,五層,
RPUQMLRJKHMFFCA28CA,4,136.80,住家用,鋼筋混凝土造,101年4月26日,五層,二層
RPUQMLRJKHMFFCA28CA,4,6.66,見其他登記事項,鋼筋混凝土造,101年4月26日,五層,
RPRNMLNJKHMFFBA17CA,17,1081.25,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,一層 騎樓
RPRNMLNJKHMFFBA17CA,17,1886.26,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,地下一層
RPRNMLNJKHMFFBA17CA,17,235.05,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,616.99,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,2365.18,停車空間,鋼筋混凝土造,88年4月3日,二十一層,地下四層
RPRNMLNJKHMFFBA17CA,17,235.05,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,884.05,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,二層
RPRNMLNJKHMFFBA17CA,17,817.46,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,1170.67,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,三層
RPRNMLNJKHMFFBA17CA,17,41.79,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,1185.27,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,四層
RPRNMLNJKHMFFBA17CA,17,235.05,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,1237.25,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,五層
RPRNMLNJKHMFFBA17CA,17,352.06,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,1354.57,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,六層
RPRNMLNJKHMFFBA17CA,17,235.05,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,1357.37,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,七層
RPRNMLNJKHMFFBA17CA,17,288.31,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,1357.37,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,八層
RPRNMLNJKHMFFBA17CA,17,235.05,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,1322.33,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,九層
RPRNMLNJKHMFFBA17CA,17,377.56,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,1302.01,見使用執照,鋼筋混凝土造,88年4月3日,二十一層,九層 十層
RPRNMLNJKHMFFBA17CA,17,235.05,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,369.06,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,235.05,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,381.10,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
RPRNMLNJKHMFFBA17CA,17,235.05,共有部分,鋼筋混凝土造,88年4月3日,二十一層,
