鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
大同區,建物,臺北市大同區太原路31~60號,0.0,商,,,1051116,土地0建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住商用,磚造,,250.36,0,0,0,無,無,無,135337,541,,0.0,0,,RPOOMLNKKILFFBA27CC
大同區,建物,臺北市大同區華陰街181~210號,0.0,商,,,1051116,土地0建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住家用,磚造,,218.19,0,0,0,無,無,無,178022,816,,0.0,0,,RPPOMLNKKILFFBA37CC
大同區,建物,臺北市大同區安西街1~30號,0.0,商,,,1051126,土地0建物1車位0,全,3,透天厝,,加強磚造,,128.85,2,3,2,有,無,無,30000,233,,0.0,0,,RPSOMLNKKILFFBA67CC
大安區,建物,臺北市大安區忠孝東路四段91~120號,0.0,商,,,1051114,土地0建物1車位0,見其他登記事項,12,店面(店鋪),住家用,鋼筋混凝土造,0581022,104.76,0,0,0,無,有,無,460000,4391,,0.0,0,租賃範圍:一樓西區部分,RPOOMLNKKILFFFA67CC
中山區,建物,臺北市中山區北安路781~810號,0.0,住,,,1051228,土地0建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020904,75.89,2,1,1,有,有,有,43000,567,升降機械,0.0,0,租金包含車位及管理費,RPPNMLMJJHMFFCA07CC
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路151~180號,38.2,工,,,1060101,土地1建物1車位3,六層,7,廠辦,見其他登記事項,鋼筋混凝土造,0980623,350.59,0,0,0,無,有,無,102000,359,坡道平面,91.44,9000,,RPRNMLMJJHMFFCA27CC
中山區,建物,臺北市中山區明水路397巷1~30號,0.0,住,,,1051214,土地0建物1車位3,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961204,406.75,4,2,2,有,有,有,175000,430,坡道平面,103.44,0,,RPUOMLNJJHMFFCA77CC
中山區,建物,臺北市中山區松江路123巷1~30號,0.0,住,,,1051208,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),,加強磚造,,78.49,0,0,0,無,無,有,12500,159,,0.0,0,租金內含水費?瓦斯費?管理費。,RPVOMLNJJHMFFCA87CC
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,1051223,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,144.51999999999998,2,2,2,有,有,有,68000,471,,0.0,0,租金內含管理費。,RPQPMLNJJHMFFCA47CC
中山區,建物,臺北市中山區松江路421~450號,0.0,住,,,1051223,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951221,186.51999999999998,3,2,2,有,有,有,68000,365,,0.0,0,租金內含管理費。,RPTPMLNJJHMFFCA77CC
內湖區,建物,臺北市內湖區新湖二路151~180號,0.0,,,,1060103,土地0建物1車位0,四層,6,廠辦,工業用,鋼筋混凝土造,0910411,359.34,0,0,0,無,無,無,78000,217,,0.0,0,,RPWPMLNJJHMFFCA08CC
內湖區,建物,臺北市內湖區民權東路六段123巷1~30號,0.0,商,,,1051209,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0880717,94.00999999999999,1,1,1,有,有,有,34000,362,,0.0,0,,RPUQMLNJJHMFFCA97CC
內湖區,建物,臺北市內湖區民權東路六段180巷1~30號,0.0,商,,,1051209,土地0建物1車位0,八層,12,辦公商業大樓,商業用,鋼筋混凝土造,0881102,65.88,0,0,1,有,有,無,22000,334,,0.0,0,,RPVQMLNJJHMFFCA08CC
內湖區,建物,臺北市內湖區民權東路六段123巷1~30號,0.0,商,,,1051227,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0880717,44.8,0,1,1,有,有,無,16000,357,,0.0,0,,RPWQMLNJJHMFFCA18CC
松山區,建物,臺北市松山區南京東路五段211~240號,0.0,其他,,,1051231,土地0建物1車位0,十四層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980331,51.7,1,1,1,有,有,有,26000,503,,0.0,0,,RPOOMLNJJHMFFDA27CC
松山區,建物,臺北市松山區松山區慶成街31~60號,0.0,其他,,,1051206,土地0建物1車位7,五層,15,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1010903,1127.02,4,4,4,有,有,無,520000,461,坡道平面,0.0,0,,RPQOMLNJJHMFFDA47CC
信義區,建物,臺北市信義區信義路五段91~120號,0.0,其他,,,1051215,土地0建物1車位0,十二層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0961228,499.12,5,3,4,有,有,有,350000,701,,0.0,0,,RPVOMLNJJHMFFDA97CC
信義區,建物,臺北市信義區松德路91~120號,0.0,住,,,1051212,土地0建物1車位0,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831006,139.92,3,2,2,有,有,有,30000,214,,0.0,0,,RPWOMLNJJHMFFDA08CC
松山區,建物,臺北市松山區光復北路1~30號,0.0,住,,,1051211,土地0建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0771123,251.3,0,0,1,有,有,有,130000,517,,0.0,0,續租。,RPXOMLNJJHMFFDA18CC
信義區,建物,臺北市信義區松隆路271~300號,0.0,商,,,1051230,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030926,222.47,3,2,2,有,有,有,133559,600,坡道平面,0.0,0,,RPOPMLNJJHMFFDA37CC
信義區,房地(土地+建物),臺北市信義區基隆路一段151~180號,38.83,商,,,1051220,土地1建物1車位0,八層,14,辦公商業大樓,商業用,鋼筋混凝土造,0730810,62.8,0,0,0,無,有,無,20000,318,,0.0,0,,RPSPMLNJJHMFFDA77CC
松山區,房地(土地+建物),臺北市松山區八德路四段241~270號,17.0,住,,,1051226,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680227,77.0,3,2,2,有,無,無,25000,325,,0.0,0,,RPOQMLNJJHMFFDA47CC
大安區,建物,臺北市大安區永康街23巷1~30號,0.0,,,,1051231,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651111,50.03,2,1,1,有,無,有,18000,360,,0.0,0,,RPTNMLNJJHMFFFA87CC
大安區,房地(土地+建物),臺北市大安區臥龍街271~300號,55.06,住,,,1051221,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0810224,166.29,1,1,1,有,無,無,46000,277,,0.0,0,,RPWNMLNJJHMFFFA18CC
大安區,建物,臺北市大安區四維路181~210號,0.0,其他,,,1060103,土地0建物1車位0,一層,26,店面(店鋪),商業用,鋼筋混凝土造,0741204,164.67000000000002,0,0,0,無,有,有,130000,789,,0.0,0,,RPOOMLNJJHMFFFA47CC
大安區,房地(土地+建物),臺北市大安區忠孝東路四段31~60號,10.61,商,,,1051229,土地2建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,191.87,0,0,0,無,無,無,83000,433,,0.0,0,,RPQOMLNJJHMFFFA67CC
文山區,建物,臺北市文山區仙岩路22巷1~30號,0.0,住,,,1051213,土地0建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840411,76.6,1,1,1,有,有,有,16000,209,,0.0,0,,RPWNMLNJJHMFFAA67CC
中正區,建物,臺北市中正區金華街32巷2弄1~30號,0.0,住,,,1051227,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730426,118.11000000000001,3,1,1,有,有,無,27720,235,,0.0,0,,RPOOMLNJJHMFFAA96CC
中山區,建物,臺北市中山區民權東路二段31~60號,0.0,商,,,1051205,土地0建物1車位0,六層,12,辦公商業大樓,住家用,鋼筋混凝土造,0740326,200.35000000000002,0,0,0,無,有,有,34560,172,,0.0,0,,RPXNMLNJJHMFFCA08DC
信義區,建物,臺北市信義區忠孝東路五段481~510號,0.0,商,,,1051217,土地0建物1車位0,三層,27,辦公商業大樓,商業用,鋼骨混凝土造,0820813,150.95,1,1,0,有,有,有,86843,575,,0.0,0,,RPPOMLNJJHMFFDA47DC
大同區,建物,臺北市大同區華陰街91~120號,0.0,商,,,1051209,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001205,130.05,0,0,0,無,有,有,51084,393,,0.0,0,,RPVNMLNJJHMFFBA77DC
萬華區,建物,臺北市萬華區萬大路424巷3弄1~30號,0.0,住,,,1051213,土地0建物1車位0,全,2,透天厝,,加強磚造,,58.76,0,0,0,無,無,無,10000,170,,0.0,0,,RPPNMLNJJHMFFBA07CC
萬華區,建物,臺北市萬華區萬大路486巷46弄1~30號,0.0,住,,,1051230,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,71.99,3,1,1,有,無,無,21000,292,,0.0,0,,RPQNMLNJJHMFFBA17CC
萬華區,建物,臺北市萬華區萬大路237巷61~90號,0.0,住,,,1051230,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650930,42.4,1,1,1,有,無,無,10000,236,,0.0,0,,RPSNMLNJJHMFFBA37CC
萬華區,建物,臺北市萬華區康定路91~120號,0.0,商,,,1051230,土地0建物1車位0,十二層,26,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,87.45,3,1,1,有,有,有,30000,343,,0.0,0,,RPTNMLNJJHMFFBA47CC
中正區,建物,臺北市中正區博愛路61~90號,0.0,商,,,1051207,土地0建物1車位0,一層,4,店面(店鋪),,磚造,,86.88,0,0,0,無,無,無,100000,1151,,0.0,0,,RPUOMLNJJHMFFBA67CC
