編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLNKKILFFBA27CC,,250.36,住商用,磚造,,三層,
RPPOMLNKKILFFBA37CC,,72.73,住家用,磚造,,三層,
RPPOMLNKKILFFBA37CC,,72.73,,磚造,,三層,
RPPOMLNKKILFFBA37CC,,72.73,,磚造,,三層,
RPSOMLNKKILFFBA67CC,,85.90,,加強磚造,,三層,
RPSOMLNKKILFFBA67CC,,42.95,,加強磚造,,三層,
RPOOMLNKKILFFFA67CC,47,104.76,住家用,鋼筋混凝土造,58年10月22日,十二層,
RPPNMLMJJHMFFCA07CC,3,47.93,住家用,鋼筋混凝土造,102年9月4日,十四層,
RPPNMLMJJHMFFCA07CC,3,27.96,見其他登記事項,鋼筋混凝土造,102年9月4日,十四層,
RPRNMLMJJHMFFCA27CC,8,350.59,見其他登記事項,鋼筋混凝土造,98年6月23日,七層,
RPUOMLNJJHMFFCA77CC,9,220.32,住家用,鋼筋混凝土造,96年12月4日,十五層,
RPUOMLNJJHMFFCA77CC,9,82.99,共有部分,鋼筋混凝土造,96年12月4日,十五層,
RPUOMLNJJHMFFCA77CC,9,103.44,住家用,鋼筋混凝土造,96年12月4日,十五層,
RPVOMLNJJHMFFCA87CC,,78.49,,加強磚造,,三層,
RPQPMLNJJHMFFCA47CC,5,68.89,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPQPMLNJJHMFFCA47CC,5,16.72,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPQPMLNJJHMFFCA47CC,5,39.18,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPQPMLNJJHMFFCA47CC,5,19.73,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPTPMLNJJHMFFCA77CC,10,105.03,住家用,鋼筋混凝土造,95年12月21日,十五層,
RPTPMLNJJHMFFCA77CC,10,35.19,共有部分,鋼筋混凝土造,95年12月21日,十五層,
RPTPMLNJJHMFFCA77CC,10,6.80,共有部分,鋼筋混凝土造,95年12月21日,十五層,
RPTPMLNJJHMFFCA77CC,10,39.50,共有部分,鋼筋混凝土造,95年12月21日,十五層,
RPWPMLNJJHMFFCA08CC,15,359.34,工業用,鋼筋混凝土造,91年4月11日,六層,
RPUQMLNJJHMFFCA97CC,17,73.57,商業用,鋼筋混凝土造,88年7月17日,十層,
RPUQMLNJJHMFFCA97CC,17,10.58,共有部分,鋼筋混凝土造,88年7月17日,十層,
