編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPOOMLNKKILFFBA27CC,市府段三小段,.00,都市：商
RPOOMLNKKILFFBA27CC,市府段三小段,.00,都市：商
RPPOMLNKKILFFBA37CC,市府段三小段,.00,都市：商
RPSOMLNKKILFFBA67CC,延平段二小段,.00,都市：商
RPOOMLNKKILFFFA67CC,復興段二小段,.00,都市：商
RPOOMLNKKILFFFA67CC,復興段二小段,.00,都市：商
RPPNMLMJJHMFFCA07CC,北安段一小段,.00,都市：住
RPRNMLMJJHMFFCA27CC,舊宗段,38.20,都市：工
RPUOMLNJJHMFFCA77CC,北安段三小段,.00,都市：住
RPVOMLNJJHMFFCA87CC,長春段三小段,.00,都市：住
RPQPMLNJJHMFFCA47CC,德惠段四小段,.00,都市：商
RPTPMLNJJHMFFCA77CC,德惠段二小段,.00,都市：住
RPWPMLNJJHMFFCA08CC,舊宗段,.00,非都市： ; 非都市編定：
RPUQMLNJJHMFFCA97CC,石潭段四小段,.00,都市：商
RPVQMLNJJHMFFCA08CC,石潭段四小段,.00,都市：商
RPWQMLNJJHMFFCA18CC,石潭段四小段,.00,都市：商
RPOOMLNJJHMFFDA27CC,寶清段四小段,.00,都市：其他
RPQOMLNJJHMFFDA47CC,敦化段一小段,.00,都市：其他
RPVOMLNJJHMFFDA97CC,信義段三小段,.00,都市：其他
RPWOMLNJJHMFFDA08CC,信義段一小段,.00,都市：住
RPXOMLNJJHMFFDA18CC,西松段二小段,.00,都市：住
RPOPMLNJJHMFFDA37CC,虎林段四小段,.00,都市：商
RPSPMLNJJHMFFDA77CC,雅祥段四小段,27.36,都市：商
RPSPMLNJJHMFFDA77CC,雅祥段四小段,11.47,都市：商
RPOQMLNJJHMFFDA47CC,西松段三小段,17.00,都市：住
RPTNMLNJJHMFFFA87CC,金華段一小段,.00,非都市： ; 非都市編定：
RPWNMLNJJHMFFFA18CC,辛亥段四小段,55.06,都市：住
RPOOMLNJJHMFFFA47CC,大安段三小段,.00,都市：其他
RPQOMLNJJHMFFFA67CC,復興段二小段,9.35,都市：商
RPQOMLNJJHMFFFA67CC,復興段二小段,1.26,都市：商
RPWNMLNJJHMFFAA67CC,興安段二小段,.00,都市：住
RPOOMLNJJHMFFAA96CC,南海段一小段,.00,都市：住
RPOOMLNJJHMFFAA96CC,南海段一小段,.00,都市：住
RPXNMLNJJHMFFCA08DC,吉林段三小段,.00,都市：商
RPPOMLNJJHMFFDA47DC,福德段三小段,.00,都市：商
RPVNMLNJJHMFFBA77DC,市府段一小段,.00,都市：商
RPPNMLNJJHMFFBA07CC,華中段一小段,.00,都市：住
RPQNMLNJJHMFFBA17CC,華中段一小段,.00,都市：住
RPSNMLNJJHMFFBA37CC,青年段一小段,.00,都市：住
RPTNMLNJJHMFFBA47CC,漢中段三小段,.00,都市：商
