編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLMLKHMFFCL58CA,21,1070.87,住家用,鋼造,83年10月13日,一層,一層
RPQNMLNLKHMFFHL98CA,4,85.25,見其他登記事項,鋼筋混凝土造,102年4月1日,十二層,十一層
RPQNMLNLKHMFFHL98CA,4,61.81,見其他登記事項,鋼筋混凝土造,102年4月1日,十二層,
RPQNMLNLKHMFFHL98CA,4,.03,見其他登記事項,鋼筋混凝土造,102年4月1日,十二層,一層
RPQNMLNLKHMFFHL98CA,4,.08,見其他登記事項,鋼筋混凝土造,102年4月1日,十二層,
RPROMLRKJHMFFAB67CA,,390.41,見其他登記事項,見其他登記事項,105年8月1日,三十九層,六層
RPROMLRKJHMFFAB67CA,,126.51,見其他登記事項,見其他登記事項,105年8月1日,三十九層,
RPROMLRKJHMFFAB67CA,,192.36,見其他登記事項,見其他登記事項,105年8月1日,三十九層,
RPUOMLRKJHMFFAB97CA,,192.20,見其他登記事項,見其他登記事項,105年8月1日,三十九層,
RPUOMLRKJHMFFAB97CA,,389.97,見其他登記事項,見其他登記事項,105年8月1日,三十九層,十五層
RPUOMLRKJHMFFAB97CA,,126.51,見其他登記事項,見其他登記事項,105年8月1日,三十九層,
RPRNMLKKKHMFFHL68CA,,89.03,見其他登記事項,鋼筋混凝土造,105年11月4日,十五層,三層
RPRNMLKKKHMFFHL68CA,,59.41,見其他登記事項,鋼筋混凝土造,105年11月4日,十五層,
RPPNMLMLKHMFFHL78CA,12,216.37,見其他登記事項,鋼筋混凝土造,94年1月19日,四層,一層 二層 三層 四層 地下一層
RPPNMLMLKHMFFHL78CA,12,9.80,見其他登記事項,鋼筋混凝土造,94年1月19日,五層,
RPOPMLPLJHMFFHL09CA,22,82.22,見其他登記事項,鋼筋混凝土造,83年6月27日,十六層,五層
RPOPMLPLJHMFFHL09CA,22,31.80,見其他登記事項,鋼筋混凝土造,83年6月27日,十六層,
RPPNMLQLJHMFFIL56CA,29,136.17,住家用,加強磚造,77年5月5日,二層,一層 二層 電梯樓梯間
RPWNMLPJJHMFFHL86CA,44,58.74,住家用,加強磚造,62年1月1日,二層,一層 二層
RPPNMLTJJHMFFHL56CA,5,523.38,見其他登記事項,鋼筋混凝土造,100年5月19日,六層,一層 二層 三層 四層 五層 六層 地下一層 見其他登記事項
RPTNMLTJJHMFFHL96CA,26,74.60,見其他登記事項,鋼筋混凝土造,80年3月25日,五層,二層
RPTNMLTJJHMFFHL96CA,26,22.38,共有部份,鋼筋混凝土造,80年3月25日,五層,
RPWNMLTJJHMFFHL27CA,22,400.98,見其他登記事項,鋼筋混凝土造,84年5月2日,四層,一層 二層 三層 四層 見其他登記事項
RPUNMLQKJHMFFHL86CA,32,102.66,住家用,鋼筋混凝土造,73年7月25日,二層,一層 二層
RPUOMLQKJHMFFHL96CA,26,79.72,住家用,鋼筋混凝土造,80年3月25日,五層,一層
RPUOMLQKJHMFFHL96CA,26,26.32,共有部份,鋼筋混凝土造,80年3月25日,五層,
RPPQMLQKJHMFFHL66CA,,206.66,見其他登記事項,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPPQMLQKJHMFFHL66CA,,.91,見其他登記事項,鋼筋混凝土造,105年7月29日,一層,
RPQQMLQKJHMFFHL76CA,,181.59,見其他登記事項,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPQQMLQKJHMFFHL76CA,,.91,見其他登記事項,鋼筋混凝土造,105年7月29日,一層,
RPRQMLQKJHMFFHL86CA,,187.86,見其他登記事項,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPRQMLQKJHMFFHL86CA,,.91,見其他登記事項,鋼筋混凝土造,105年7月29日,一層,
RPTQMLQKJHMFFHL07CA,,174.87,見其他登記事項,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPTQMLQKJHMFFHL07CA,,.91,見其他登記事項,鋼筋混凝土造,105年7月29日,一層,
RPVNMLOLJHMFFHL86CA,25,83.76,見其他登記事項,鋼筋混凝土造,81年4月19日,十層,五層
RPVNMLOLJHMFFHL86CA,25,24.16,見其他登記事項,鋼筋混凝土造,81年4月19日,十層,
RPRNMLTJJHMFFHL86DA,36,98.36,住家用,加強磚造,69年10月8日,二層,一層 二層
RPXRMLTKJHMFFAB88DA,36,53.92,住商用,鋼筋混凝土造,70年5月26日,十二層,六層
RPXRMLTKJHMFFAB88DA,,7.62,共有部份,鋼筋混凝土造,,十二層,
RPQPMLPJJHMFFBB57DA,1,47.11,見其它登記事項,鋼筋混凝土造,105年2月4日,十二層,五層
RPQPMLPJJHMFFBB57DA,1,48.19,見其它登記事項,鋼筋混凝土造,105年2月4日,十二層,
RPQPMLPJJHMFFBB57DA,1,8.64,見其它登記事項,鋼筋混凝土造,105年2月4日,十二層,
RPWNMLLKJHMFFBB67DA,21,120.99,住家用,鋼筋混凝土造,84年12月15日,七層,六層
RPWNMLLKJHMFFBB67DA,21,44.64,共有部份,鋼筋混凝土造,84年12月15日,七層,
RPVOMLQJJHMFFBB08DA,,109.51,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPTNMLMJKHMFFCB57DA,5,57.87,住家用,鋼筋混凝土造,100年7月28日,十二層,七層
RPTNMLMJKHMFFCB57DA,5,15.53,見其他登記事項,鋼筋混凝土造,100年7月28日,十二層,
RPTNMLMJKHMFFCB57DA,5,33.40,見其他登記事項,鋼筋混凝土造,100年7月28日,十二層,
RPUNMLPJJHMFFGL66DA,10,144.47,見其他登記事項,鋼筋混凝土造,95年12月8日,四層,一層 二層 三層 四層 見其他登記事項
RPRNMLTJJHMFFGL76DA,28,350.25,見其他登記事項,鋼筋混凝土造,77年6月15日,四層,一層 二層 三層 四層 地下層
RPWRMLRKJHMFFAB48CA,,83.02,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,五層
RPWRMLRKJHMFFAB48CA,,60.66,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPWRMLRKJHMFFAB48CA,,16.76,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPVSMLRKJHMFFAB48CA,1,98.33,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,九層
RPVSMLRKJHMFFAB48CA,1,65.71,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPVSMLRKJHMFFAB48CA,1,19.33,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPPOMLSKJHMFFAB57CA,,88.11,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,二層
RPPOMLSKJHMFFAB57CA,,96.04,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPPOMLSKJHMFFAB57CA,,18.20,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPQOMLSKJHMFFAB67CA,3,83.11,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,八層
RPQOMLSKJHMFFAB67CA,3,61.05,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPQOMLSKJHMFFAB67CA,3,16.45,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPROMLSKJHMFFAB77CA,3,97.81,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,十層
RPROMLSKJHMFFAB77CA,3,65.71,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPROMLSKJHMFFAB77CA,3,19.33,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPTPMLSKJHMFFAB08CA,,87.50,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,六層
RPTPMLSKJHMFFAB08CA,,62.21,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPTPMLSKJHMFFAB08CA,,17.38,見其他登記事項,鋼筋混凝土造,105年11月7日,十二層,
RPQPMLTKJHMFFAB87CA,16,101.11,見其他登記事項,鋼筋混凝土造,89年8月15日,十六層,十層
RPQPMLTKJHMFFAB87CA,16,20.75,見其他登記事項,鋼筋混凝土造,89年8月15日,十六層,
RPQPMLTKJHMFFAB87CA,16,19.39,見其他登記事項,鋼筋混凝土造,89年8月15日,十六層,
RPQNMLPKJHMFFAB27CA,16,69.57,見其他登記事項,鋼筋混凝土造,89年8月3日,十二層,十層
RPQNMLPKJHMFFAB27CA,16,24.62,共有部份,鋼筋混凝土造,89年8月3日,十二層,
RPQQMLMKJHMFFAB27CA,27,21.95,住家用,鋼筋混凝土造,78年6月23日,十二層,十一層
RPQQMLMKJHMFFAB27CA,27,6.78,見其他登記事項,鋼筋混凝土造,78年6月23日,十二層,
RPPOMLOJJHMFFAB07CA,24,141.46,住家用,鋼筋混凝土造,81年8月7日,五層,一層 地下層
RPPOMLOJJHMFFAB07CA,24,9.31,共有部份,鋼筋混凝土造,81年8月7日,五層,
RPVOMLTJJHMFFAB18CA,37,19.65,住家用,鋼筋混凝土造,68年7月14日,十層,六層
RPTNMLKKJHMFFAB07CA,11,74.71,見其他登記事項,鋼筋混凝土造,94年12月23日,二十二層,七層
RPTNMLKKJHMFFAB07CA,11,56.15,見其他登記事項,鋼筋混凝土造,94年12月23日,二十七層,
RPQOMLLKJHMFFAB96CA,,89.52,見其他登記事項,鋼筋混凝土造,105年10月14日,十五層,七層
RPQOMLLKJHMFFAB96CA,,42.01,見其他登記事項,鋼筋混凝土造,105年10月14日,十五層,
RPQOMLLKJHMFFAB96CA,,23.20,見其他登記事項,鋼筋混凝土造,105年10月14日,十五層,
RPROMLLKJHMFFAB07CA,,86.46,見其他登記事項,鋼筋混凝土造,105年7月19日,十四層,六層
RPROMLLKJHMFFAB07CA,,57.07,見其他登記事項,鋼筋混凝土造,105年7月19日,十四層,
RPROMLLKJHMFFAB07CA,,14.95,見其他登記事項,鋼筋混凝土造,105年7月19日,十四層,
RPSOMLLKJHMFFAB17CA,,87.21,見其他登記事項,鋼筋混凝土造,105年7月19日,十四層,十層
RPSOMLLKJHMFFAB17CA,,57.36,見其他登記事項,鋼筋混凝土造,105年7月19日,十四層,
RPSOMLLKJHMFFAB17CA,,15.09,見其他登記事項,鋼筋混凝土造,105年7月19日,十四層,
RPTOMLLKJHMFFAB27CA,20,19.54,見其他登記事項,鋼筋混凝土造,85年10月16日,十二層,十層
RPTOMLLKJHMFFAB27CA,20,9.07,共有部份,鋼筋混凝土造,85年10月16日,十二層,
RPUOMLLKJHMFFAB37CA,28,30.60,住家用,鋼筋混凝土造,78年5月15日,十二層,五層
RPUOMLLKJHMFFAB37CA,28,8.23,見其他登記事項,鋼筋混凝土造,78年5月15日,十二層,
RPUOMLLKJHMFFAB37CA,28,.59,見其他登記事項,鋼筋混凝土造,78年5月15日,十二層,一層 騎樓
RPUOMLLKJHMFFAB37CA,28,3.72,見其他登記事項,鋼筋混凝土造,78年5月15日,十二層,一層 二層 騎樓
RPUOMLLKJHMFFAB37CA,28,2.58,見其他登記事項,鋼筋混凝土造,78年5月15日,十二層,地下層
RPXNMLMKJHMFFAB67CA,15,95.13,見其他登記事項,鋼筋混凝土造,90年8月10日,十四層,十一層
RPXNMLMKJHMFFAB67CA,15,12.41,共有部份,鋼筋混凝土造,90年8月10日,十四層,
RPXNMLMKJHMFFAB67CA,15,29.97,共有部份,鋼筋混凝土造,90年8月10日,十四層,
RPTNMLOLJHMFFAB57CA,11,93.90,見其他登記事項,鋼筋混凝土造,94年11月17日,二十二層,二層
RPTNMLOLJHMFFAB57CA,11,40.07,見其他登記事項,鋼筋混凝土造,94年11月17日,二十二層,
RPTPMLOJJHMFFBB67CA,,113.30,見其它登記事項,鋼筋混凝土造,105年8月4日,十五層,三層
RPTPMLOJJHMFFBB67CA,,76.49,見其它登記事項,鋼筋混凝土造,105年8月4日,十五層,
RPTPMLOJJHMFFBB67CA,,23.88,見其它登記事項,鋼筋混凝土造,105年8月4日,十五層,
RPUPMLOJJHMFFBB77CA,,101.61,見其它登記事項,鋼筋混凝土造,105年8月4日,十五層,九層
RPUPMLOJJHMFFBB77CA,,41.42,見其它登記事項,鋼筋混凝土造,105年8月4日,十五層,
RPUPMLOJJHMFFBB77CA,,23.03,見其它登記事項,鋼筋混凝土造,105年8月4日,十五層,
RPWPMLOJJHMFFBB97CA,25,15.72,見其它登記事項,鋼筋混凝土造,80年7月8日,十層,地下層
RPWPMLOJJHMFFBB97CA,25,18.28,共有部份,鋼筋混凝土造,80年7月8日,十層,
RPWPMLOJJHMFFBB97CA,25,112.68,住家用,鋼筋混凝土造,80年7月8日,十層,八層
RPXPMLOJJHMFFBB08CA,33,115.01,住商用,加強磚造,72年8月5日,二層,一層 二層 騎樓
RPXQMLOJJHMFFBB18CA,,107.39,見其它登記事項,鋼筋混凝土造,105年7月17日,二十八層,二十五層
RPXQMLOJJHMFFBB18CA,,80.32,見其它登記事項,鋼筋混凝土造,105年7月17日,二十八層,
RPQOMLPJJHMFFBB37CA,25,68.65,商業用,鋼筋混凝土造,80年9月13日,七層,一層
RPQOMLPJJHMFFBB37CA,25,14.28,共有部份,鋼筋混凝土造,80年9月13日,七層,
RPQOMLPJJHMFFBB37CA,25,9.52,共有部份,鋼筋混凝土造,80年9月13日,七層,
RPQOMLPJJHMFFBB37CA,25,44.53,商業用,鋼筋混凝土造,80年9月13日,七層,一層
RPSPMLPJJHMFFBB67CA,24,40.05,住家用,鋼筋混凝土造,81年10月20日,十六層,七層
RPSPMLPJJHMFFBB67CA,24,18.18,共有部份,鋼筋混凝土造,81年10月20日,十六層,
RPPNMLQJJHMFFBB27CA,,251.19,見其它登記事項,鋼筋混凝土造,105年1月18日,四層,一層 二層 三層 四層 見其它登記事項
RPSNMLTJJHMFFBB87CA,23,96.20,住家用,鋼筋混凝土造,83年3月30日,九層,九層
RPSNMLTJJHMFFBB87CA,23,26.98,共有部份,鋼筋混凝土造,83年3月30日,九層,
RPSNMLTJJHMFFBB87CA,23,14.92,見其它登記事項,鋼筋混凝土造,83年3月30日,九層,
RPSNMLTJJHMFFBB87CA,23,.17,商業用,鋼筋混凝土造,83年3月30日,九層,地下一層
RPRQMLQJJHMFFBB77CA,23,96.02,住家用,鋼筋混凝土造,83年2月8日,八層,六層
RPRQMLQJJHMFFBB77CA,23,27.05,共有部份,鋼筋混凝土造,83年2月8日,八層,
RPSOMLKKJHMFFBB17CA,18,76.44,住家用,鋼筋混凝土造,88年4月7日,十四層,六層
RPSOMLKKJHMFFBB17CA,18,46.81,共有部份,鋼筋混凝土造,88年4月7日,十四層,
RPXQMLKKJHMFFBB87CA,24,32.30,住家用,鋼筋混凝土造,81年12月5日,七層,三層
RPXQMLKKJHMFFBB87CA,24,7.49,共有部份,鋼筋混凝土造,81年12月5日,七層,
RPOQMLLKJHMFFBB07CA,3,497.49,見其它登記事項,鋼筋混凝土造,103年4月23日,五層,一層 二層 三層 四層 五層 見其它登記事項
RPTNMLNKJHMFFBB47CA,22,21.37,住家用,鋼筋混凝土造,83年9月7日,八層,四層
RPTNMLNKJHMFFBB47CA,22,.00,共有部份,鋼筋混凝土造,83年9月7日,八層,
RPTNMLNKJHMFFBB47CA,22,17.69,共有部份,鋼筋混凝土造,83年9月7日,八層,
RPTOMLQKJHMFFBB87CA,3,108.12,住家用,鋼筋混凝土造,102年11月26日,十五層,十五層
RPTOMLQKJHMFFBB87CA,3,79.14,見其它登記事項,鋼筋混凝土造,102年11月26日,十五層,
RPORMLRKJHMFFBB77CA,18,170.99,見其它登記事項,鋼筋混凝土造,87年12月23日,四層,一層 二層 三層 四層 屋頂突出物
RPXPMLTKJHMFFBB68CA,2,118.84,住家用,鋼筋混凝土造,103年11月11日,十二層,四層
RPXPMLTKJHMFFBB68CA,2,127.36,見其它登記事項,鋼筋混凝土造,103年11月11日,十二層,
RPSTMLTKJHMFFBB58CA,,117.81,見其它登記事項,鋼筋混凝土造,105年7月17日,二十八層,九層
RPSTMLTKJHMFFBB58CA,,84.74,見其它登記事項,鋼筋混凝土造,105年7月17日,二十八層,
RPPNMLKLJHMFFBB86CA,43,123.75,住家用,鋼筋混凝土加強磚造,63年1月18日,二層,一層 二層 騎樓
RPUOMLOLJHMFFBB87CA,1,79.26,見其它登記事項,鋼筋混凝土造,104年11月3日,十二層,十一層
RPUOMLOLJHMFFBB87CA,1,83.63,見其它登記事項,鋼筋混凝土造,104年11月3日,十二層,
RPQPMLNJJHMFFCB37CA,9,43.36,住家用,鋼筋混凝土造,96年11月22日,十二層,十層
RPQPMLNJJHMFFCB37CA,9,45.74,見其他登記事項,鋼筋混凝土造,96年11月22日,十二層,
RPQNMLOJJHMFFCB27CA,44,90.08,住家用,見其他登記事項,62年5月15日,二層,一層 二層
RPOOMLOJJHMFFCB17CA,21,148.31,住家用,鋼筋混凝土造,84年10月24日,二十五層,三層
RPOOMLOJJHMFFCB17CA,21,8.24,共有部分,鋼筋混凝土造,84年10月24日,二十五層,
RPOOMLOJJHMFFCB17CA,21,3.81,共有部分,鋼筋混凝土造,84年10月24日,二十五層,
RPOOMLOJJHMFFCB17CA,21,.97,共有部分,鋼筋混凝土造,84年10月24日,二十五層,
RPOOMLOJJHMFFCB17CA,21,11.54,共有部分,鋼筋混凝土造,84年10月24日,二十五層,
RPTRMLOJJHMFFCB97CA,22,54.21,住家用,鋼筋混凝土造,83年11月22日,七層,五層
RPTRMLOJJHMFFCB97CA,22,11.18,共有部分,鋼筋混凝土造,83年11月22日,七層,
RPUNMLQJJHMFFCB87CA,3,83.07,住家用,鋼筋混凝土造,103年5月20日,十四層,二層
RPUNMLQJJHMFFCB87CA,3,73.14,見其他登記事項,鋼筋混凝土造,103年5月20日,十四層,
RPOOMLQJJHMFFCB37CA,23,76.01,住家用,鋼筋混凝土造,83年1月27日,十二層,三層
RPOOMLQJJHMFFCB37CA,23,15.24,共有部分,鋼筋混凝土造,83年1月27日,十二層,
RPUOMLTJJHMFFCB28CA,20,71.63,住家用,鋼筋混凝土造,85年12月30日,五層,五層
RPUOMLTJJHMFFCB28CA,20,13.26,共有部分,鋼筋混凝土造,85年12月30日,五層,
RPUOMLTJJHMFFCB28CA,20,5.42,共有部分,鋼筋混凝土造,85年12月30日,五層,
RPXPMLTJJHMFFCB68CA,10,64.28,住家用,鋼筋混凝土造,96年1月8日,十五層,十二層
RPXPMLTJJHMFFCB68CA,10,50.76,見其他登記事項,鋼筋混凝土造,96年1月8日,十五層,
RPXNMLTJJHMFFCB48CA,8,84.66,見其他登記事項,鋼筋混凝土造,97年7月11日,十二層,十二層 夾層
RPXNMLTJJHMFFCB48CA,8,70.51,見其他登記事項,鋼筋混凝土造,97年7月11日,十二層,
RPROMLLKJHMFFCB27CA,10,95.73,住家用,鋼筋混凝土造,96年3月20日,十四層,二層
RPROMLLKJHMFFCB27CA,10,63.87,見其他登記事項,鋼筋混凝土造,96年3月20日,十四層,
RPWSMLTKJHMFFCB98CA,17,99.39,住家用,鋼筋混凝土造,88年12月22日,九層,三層
RPWSMLTKJHMFFCB98CA,17,59.26,共有部分,鋼筋混凝土造,88年12月22日,九層,
RPXOMLSKJHMFFFL27CA,24,81.90,住家用,鋼筋混凝土造,81年10月19日,六層,六層
RPXOMLSKJHMFFFL27CA,24,41.96,共有部份,鋼筋混凝土造,81年10月19日,六層,
RPUNMLPLJHMFFFL66CA,22,85.04,住家用,鋼筋混凝土造,83年10月18日,十四層,四層
RPUNMLPLJHMFFFL66CA,22,30.31,共有部份,鋼筋混凝土造,83年10月18日,十四層,
RPVNMLPLJHMFFFL76CA,1,428.74,見其他登記事項,鋼筋混凝土造,105年1月6日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPQNMLOJJHMFFGL68CA,35,101.06,住商用,加強磚造,70年12月28日,二層,一層 二層 騎樓 電梯樓梯間
RPXNMLOJJHMFFGL76CA,41,186.70,住商用,加強磚造,64年6月26日,三層,一層 二層 三層 騎樓
RPSNMLMKJHMFFGL78CA,11,318.33,見其他登記事項,鋼筋混凝土造,95年3月9日,三層,一層 二層 三層 騎樓 見其他登記事項
RPQNMLRKJHMFFGL09CA,29,94.20,見其他登記事項,鋼筋混凝土造,76年10月10日,五層,五層
RPQNMLRKJHMFFGL09CA,29,1.18,共有部分,鋼筋混凝土造,76年10月10日,五層,
RPXOMLPLJHMFFGL17CA,1,236.42,見其他登記事項,鋼筋混凝土造,105年1月5日,五層,一層 二層 三層 四層 五層
RPPOMLNJJHMFFAL97CA,18,532.07,見其他登記事項,見其他登記事項,87年11月4日,二層,一層 二層 騎樓
RPWNMLMKJHMFFAL58CA,26,115.24,住家用,鋼筋混凝土造,80年3月1日,三層,一層 二層 三層
RPTNMLOKJHMFFAL48CA,,38.67,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,
RPTNMLOKJHMFFAL48CA,,58.04,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,一層 騎樓 見其他登記事項
RPTNMLOKJHMFFAL48CA,,38.67,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,
RPTNMLOKJHMFFAL48CA,,58.04,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,一層 騎樓 見其他登記事項
RPUNMLOKJHMFFAL58CA,,38.67,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,
RPUNMLOKJHMFFAL58CA,,58.04,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,一層 騎樓 見其他登記事項
RPUNMLOKJHMFFAL58CA,,38.67,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,
RPUNMLOKJHMFFAL58CA,,58.04,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,一層 騎樓 見其他登記事項
RPVNMLOKJHMFFAL68CA,,94.36,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,三層
RPVNMLOKJHMFFAL68CA,,27.93,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,
RPWNMLOKJHMFFAL78CA,,81.78,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,三層
RPWNMLOKJHMFFAL78CA,,62.39,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,
RPXNMLOKJHMFFAL88CA,,82.22,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,三層
RPXNMLOKJHMFFAL88CA,,62.39,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,
RPOOMLOKJHMFFAL08CA,,92.87,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,四層
RPOOMLOKJHMFFAL08CA,,64.13,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,
RPPOMLOKJHMFFAL18CA,,82.22,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,四層
RPPOMLOKJHMFFAL18CA,,60.87,見其他登記事項,鋼筋混凝土造,105年11月9日,十二層,
RPTNMLLLJHMFFAL28CA,22,.61,住家用,鋼筋混凝土造,83年9月1日,十六層,二層
RPTNMLLLJHMFFAL28CA,22,44.96,共用部份,鋼筋混凝土造,83年9月1日,十六層,
RPTNMLLLJHMFFAL28CA,22,134.64,住家用,鋼筋混凝土造,83年9月1日,十六層,十層
RPQNMLTJJHMFFBL68CA,21,29.70,住家用,鋼筋混凝土造,84年12月12日,十二層,九層
RPUOMLKKJHMFFBL38CA,33,118.60,住商用,加強磚造,73年2月15日,二層,一層 二層
RPPNMLLJKHMFFBL87CA,,204.40,見其他登記事項,鋼筋混凝土造,105年9月14日,四層,一層 二層 三層 四層
RPQNMLLJKHMFFBL97CA,,203.25,見其他登記事項,鋼筋混凝土造,105年9月14日,四層,一層 二層 三層 四層
