編號,車位類別,車位價格,車位面積平方公尺
RPSOMLNJJHMFFCB67CC,坡道平面,0,20.10
RPSOMLNJJHMFFCB67CC,坡道平面,0,20.10
RPSOMLNJJHMFFCB67CC,坡道平面,0,20.10
RPSOMLNJJHMFFCB67CC,坡道平面,0,20.10
RPOPMLNJJHMFFCB37CC,坡道平面,0,36.33
RPOPMLNJJHMFFCB37CC,坡道平面,0,36.33
RPOPMLNJJHMFFCB37CC,坡道平面,0,36.33
RPOPMLNJJHMFFCB37CC,坡道平面,0,36.33
RPXOMLNJJHMFFCB28DC,其他,0,
RPUQMLOJJHMFFBB08CC,坡道平面,3200,31.88
RPPPMLOJJHMFFCB57CC,坡道平面,0,26.98
RPSRMLOJJHMFFCB08CC,坡道平面,2500,35.91
RPVNMLOJJHMFFCL98CC,坡道平面,0,25.39
RPQPMLPJJHMFFCB77CC,坡道平面,0,
RPSNMLQJJHMFFHL76CC,坡道平面,0,26.46
RPVPMLQJJHMFFBB28CC,坡道機械,0,
RPOPMLQJJHMFFCB67CC,坡道平面,0,36.39
RPUPMLQJJHMFFCB28CC,坡道平面,0,23.55
RPSOMLTJJHMFFCB28CC,坡道平面,0,25.45
RPSOMLTJJHMFFCB28CC,坡道平面,0,25.45
RPVNMLTJJHMFFBB38CC,坡道平面,0,
RPOQMLKKJHMFFBB17CC,坡道機械,0,
RPXOMLKKJHMFFCB97CC,坡道機械,0,
RPPPMLKKJHMFFCB27CC,坡道平面,0,13.99
RPXOMLKKJHMFFAB77CC,坡道機械,0,13.18
RPPRMLLKJHMFFBB47CC,升降平面,0,28.10
RPSPMLLKJHMFFBB67DC,坡道機械,0,
RPSPMLLKJHMFFCB77DC,坡道機械,0,
RPTOMLMKJHMFFBB77DC,坡道機械,0,
RPUOMLMKJHMFFBB87DC,坡道平面,0,
RPSNMLMKJHMFFBB47CC,其他,0,
RPPOMLMKJHMFFBB27CC,升降機械,0,21.67
RPPOMLMKJHMFFBB27CC,升降機械,0,21.67
RPQNMLMKJHMFFCB37CC,坡道平面,0,14.43
RPTNMLMKJHMFFAB47CC,坡道平面,0,28.11
RPVQMLNKJHMFFBB18CC,坡道平面,0,27.23
RPORMLNKJHMFFBB57CC,坡道平面,0,27.23
RPQRMLNKJHMFFBB77CC,坡道平面,0,31.88
RPXOMLNKJHMFFBB28DC,坡道機械,0,35.80
RPPNMLPKJHMFFCB57CC,坡道平面,21000,
