編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLSKKHMFFBC08EA,21,61.84,住家用,鋼筋混凝土造,84年9月14日,四層,三層
RPQNMLSKKHMFFBC08EA,21,12.84,共用部份,鋼筋混凝土造,84年9月14日,四層,
SPQNMLSKKHMFFBC18EA,21,61.84,住家用,鋼筋混凝土造,84年9月14日,四層,四層
SPQNMLSKKHMFFBC18EA,21,12.84,共用部份,鋼筋混凝土造,84年9月14日,四層,
RPPNMLTJJHMFFCC97EA,19,76.37,住家用,鋼筋混凝土造,86年11月17日,九層,八層
RPPNMLTJJHMFFCC97EA,19,15.74,共用部份,鋼筋混凝土造,86年11月17日,九層,
RPPNMLTJJHMFFCC97EA,19,11.68,共用部份,鋼筋混凝土造,86年11月17日,九層,
RPSNMLPJJHMFFBC57CA,23,127.49,住家用,鋼筋混凝土造,82年9月21日,七層,四層
RPSNMLPJJHMFFBC57CA,23,20.94,共用部份,鋼筋混凝土造,82年9月21日,七層,
RPTNMLPJJHMFFBC67CA,45,37.80,住家用,加強磚造,60年6月21日,二層,一層 二層
RPVNMLPJJHMFFBC87CA,23,126.02,住家用,鋼筋混凝土造,82年9月21日,七層,七層
RPVNMLPJJHMFFBC87CA,23,20.94,共用部份,鋼筋混凝土造,82年9月21日,七層,
RPPNMLQJJHMFFBC37CA,32,123.03,住家用,鋼筋混凝土造,74年1月26日,四層,四層
RPSNMLQJJHMFFBC67CA,36,52.60,住家用,鋼筋混凝土造,69年11月25日,六層,六層
RPTNMLRKJHMFFBC97CA,31,93.06,住家用,鋼筋混凝土造,74年12月19日,十二層,八層
RPTNMLRKJHMFFBC97CA,31,13.22,共用部份,鋼筋混凝土造,74年12月19日,十二層,
RPTNMLRKJHMFFBC97CA,31,12.91,見其他登記事項,鋼筋混凝土造,74年12月19日,十二層,防空避難室 停車場
RPPNMLSKJHMFFBC67CA,38,36.59,住商用,鋼筋混凝土造,67年6月26日,十二層,三層
RPPNMLSKJHMFFBC67CA,38,10.04,共用部份,鋼筋混凝土造,67年6月26日,十二層,
RPPOMLKLJHMFFBC07CA,36,79.34,住家用,鋼筋混凝土造,70年6月11日,四層,一層 停車場
RPWNMLOJJHMFFCC97CA,20,69.46,住家用,鋼筋混凝土造,86年5月8日,二十二層,十九層 二十層
RPWNMLOJJHMFFCC97CA,20,1.52,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPWNMLOJJHMFFCC97CA,20,14.03,共用部份,鋼筋混凝土造,86年5月8日,二十二層,
RPWNMLOJJHMFFCC97CA,20,.78,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPWNMLPJJHMFFCC08CA,21,32.03,住家用,鋼筋混凝土造,84年8月11日,五層,五層
RPWNMLPJJHMFFCC08CA,22,2.86,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPWNMLPJJHMFFCC08CA,21,6.75,共用部份,鋼筋混凝土造,84年8月11日,五層,
RPTOMLPJJHMFFCC87CA,17,64.46,住家用,鋼筋混凝土造,88年12月31日,十二層,九層
RPTOMLPJJHMFFCC87CA,17,12.93,共用部份,鋼筋混凝土造,88年12月31日,十四層,
RPTOMLPJJHMFFCC87CA,17,12.66,共用部份,鋼筋混凝土造,88年12月31日,十二層,
RPQNMLTJJHMFFCC87CA,1,13.47,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLTJJHMFFCC28CA,10,232.08,見其他登記事項,鋼筋混凝土造,95年6月23日,四層,一層 二層 三層 四層 屋頂突出物
RPUNMLTJJHMFFCC28CA,10,1.65,共用部份,鋼筋混凝土造,95年6月23日,四層,
RPOOMLKKJHMFFCC96CA,8,255.91,見其他登記事項,鋼筋混凝土造,97年9月8日,四層,一層 二層 三層 四層 屋頂突出物
RPOOMLKKJHMFFCC96CA,8,8.63,共用部份,鋼筋混凝土造,97年9月8日,五層,
RPPOMLKKJHMFFCC07CA,8,91.92,住家用,鋼筋混凝土造,97年8月21日,八層,五層
RPPOMLKKJHMFFCC07CA,8,19.17,共用部份,鋼筋混凝土造,97年8月21日,八層,
RPPOMLKKJHMFFCC07CA,8,48.05,共用部份,鋼筋混凝土造,97年8月21日,八層,
RPRNMLLKJHMFFCC27CA,22,210.74,住家用,鋼筋混凝土造,83年9月15日,二十一層,三層
RPRNMLLKJHMFFCC27CA,22,19.90,共用部份,鋼筋混凝土造,83年9月15日,二十一層,
RPRNMLLKJHMFFCC27CA,22,7.80,共用部份,鋼筋混凝土造,83年9月15日,二十一層,
RPRNMLLKJHMFFCC27CA,22,35.94,共用部份,鋼筋混凝土造,83年9月15日,二十一層,
RPSNMLLKJHMFFCC37CA,1,51.68,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,二十二層
