編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQNMLSKKHMFFBC08EA,成功段,30.75,都市：住
SPQNMLSKKHMFFBC18EA,成功段,30.75,都市：住
RPQNMLPJJHMFFCC67EA,大武崙段內寮小段,188.00,都市：住
RPPNMLTJJHMFFCC97EA,源遠段,20.79,都市：住
RPSNMLPJJHMFFBC57CA,調和段,27.97,都市：住
RPTNMLPJJHMFFBC67CA,忠義段五小段,21.00,都市：商
RPVNMLPJJHMFFBC87CA,調和段,27.97,都市：住
RPPNMLQJJHMFFBC37CA,忠義段五小段,25.33,都市：住
RPPNMLQJJHMFFBC37CA,忠義段五小段,3.51,都市：其他
RPPNMLQJJHMFFBC37CA,忠義段五小段,.36,都市：住
RPPNMLQJJHMFFBC37CA,忠義段五小段,.52,都市：住
RPPNMLQJJHMFFBC37CA,忠義段五小段,.05,都市：其他
RPSNMLQJJHMFFBC67CA,中濱段,6.17,都市：商
RPSNMLQJJHMFFBC67CA,中濱段,1.33,都市：商
RPSNMLQJJHMFFBC67CA,中濱段,3.17,都市：商
RPSNMLQJJHMFFBC67CA,中濱段,.33,都市：其他
RPSNMLQJJHMFFBC67CA,中濱段,1.83,都市：其他
RPTNMLRKJHMFFBC97CA,港灣段二小段,13.24,都市：商
RPPNMLSKJHMFFBC67CA,港灣段一小段,4.16,都市：商
RPPNMLSKJHMFFBC67CA,港灣段一小段,.30,都市：商
RPWNMLOJJHMFFCC97CA,代天府段,.03,都市：其他
RPWNMLOJJHMFFCC97CA,代天府段,19.19,都市：其他
RPWNMLOJJHMFFCC97CA,代天府段,.12,都市：其他
RPWNMLOJJHMFFCC97CA,代天府段,.15,都市：住
RPWNMLOJJHMFFCC97CA,代天府段,.00,都市：住
RPWNMLOJJHMFFCC97CA,代天府段,.08,都市：住
RPWNMLPJJHMFFCC08CA,情人湖段,9.92,都市：住
RPWNMLPJJHMFFCC08CA,情人湖段,.03,都市：其他
RPTOMLPJJHMFFCC87CA,麥金段,14.32,都市：住
RPTOMLPJJHMFFCC87CA,麥金段,.15,都市：其他
RPQNMLTJJHMFFCC87CA,麥金段,3.55,都市：住
RPQNMLTJJHMFFCC87CA,麥金段,.00,都市：住
RPQNMLTJJHMFFCC87CA,麥金段,.00,都市：住
RPUNMLTJJHMFFCC28CA,大武崙段內寮小段,124.90,都市：住
RPOOMLKKJHMFFCC96CA,友蚋段港口小段,128.14,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPOMLKKJHMFFCC07CA,大德段,30.24,都市：住
RPRNMLLKJHMFFCC27CA,新城段,44.82,都市：住
RPRNMLLKJHMFFCC27CA,新城段,.01,都市：其他
RPSNMLLKJHMFFCC37CA,麥金段,7.11,都市：住
RPSNMLLKJHMFFCC37CA,麥金段,.01,都市：住
RPSNMLLKJHMFFCC37CA,麥金段,.00,都市：住
RPUNMLLKJHMFFCC57CA,麥金段,25.98,都市：住
RPUNMLLKJHMFFCC57CA,麥金段,.03,都市：住
RPUNMLLKJHMFFCC57CA,麥金段,.01,都市：住
RPVNMLLKJHMFFCC67CA,麥金段,24.69,都市：住
RPVNMLLKJHMFFCC67CA,麥金段,.03,都市：住
RPVNMLLKJHMFFCC67CA,麥金段,.01,都市：住
RPPNMLNLJHMFFCC37CA,麥金段,39.26,都市：住
RPPNMLNLJHMFFCC37CA,麥金段,.20,都市：其他
RPWNMLOLJHMFFCC18CA,麥金段,32.57,都市：住
RPWNMLOLJHMFFCC18CA,麥金段,3.17,都市：住
RPXNMLOLJHMFFCC28CA,麥金段,33.79,都市：住
RPXNMLOLJHMFFCC28CA,麥金段,3.29,都市：住
RPSOMLPJJHMFFCC77CA,源遠段,14.07,都市：住
RPTNMLQJJHMFFCC87CA,源遠段,16.43,都市：住
RPROMLQKJHMFFBC77CA,長潭段,22.66,都市：住
RPWNMLPJJHMFFBC97CA,成功段,.96,都市：商
RPWNMLPJJHMFFBC97CA,成功段,.00,都市：其他
RPWNMLPJJHMFFBC97CA,成功段,.00,都市：其他
RPWNMLPJJHMFFBC97CA,成功段,1.68,都市：住
RPWNMLPJJHMFFBC97CA,成功段,1.93,都市：住
RPWNMLPJJHMFFBC97CA,成功段,22.82,都市：住
RPWNMLPJJHMFFBC97CA,成功段,.04,都市：其他
RPWNMLPJJHMFFBC97CA,成功段,2.07,都市：住
RPXNMLPJJHMFFBC08CA,長潭段,39.08,都市：住
RPWNMLNKJHMFFBC87CA,忠義段六小段,.08,都市：其他
RPWNMLNKJHMFFBC87CA,忠義段六小段,24.92,都市：住
RPWNMLNKJHMFFBC87CA,忠義段六小段,7.50,都市：其他
RPTNMLNLJHMFFCC77CA,安國段,20.21,都市：住
RPPNMLRLJHMFFCC77CA,新會段,28.88,都市：住
RPPNMLRJJHMFFCC67DA,新城段,2.78,都市：其他
RPPNMLRJJHMFFCC67DA,新城段,19.48,都市：住
RPPNMLRJJHMFFCC67DA,新城段,.02,都市：其他
RPPNMLRJJHMFFCC67DA,新城段,5.60,都市：住
