編號,車位類別,車位價格,車位面積平方公尺
RPVOMLPJQHLFFER77CA,一樓平面,0,
RPWOMLPJQHLFFER87CA,一樓平面,0,
RPPPMLPJQHLFFER27CA,一樓平面,0,
RPRPMLPJQHLFFER47CA,一樓平面,0,
RPUPMLPJQHLFFER77CA,一樓平面,0,
RPWPMLPJQHLFFER97CA,一樓平面,0,
RPXPMLPJQHLFFER08CA,一樓平面,0,
RPRNMLRJJHMFFHR17CA,坡道平面,0,
RPUNMLLLJHMFFHR07CA,坡道平面,0,
RPPNMLRJJHMFFCD67CA,坡道平面,0,
RPPNMLSJJHMFFCD77CA,坡道機械,0,
RPRNMLLKJHMFFAD17CA,坡道平面,0,
RPRNMLLKJHMFFAD17CA,坡道平面,0,
RPTOMLQJJHMFFAD87CA,坡道平面,860000,31.91
RPVOMLQJJHMFFAD08CA,坡道平面,960000,31.91
RPRPMLQJJHMFFAD77CA,坡道平面,760000,31.91
RPSNMLLLJHMFFAD37CA,坡道平面,0,
RPTNMLPJJHMFFHR27DA,坡道平面,0,
RPQNMLNKJHMFFHR76CA,坡道平面,0,
RPRNMLNKJHMFFHR86CA,坡道平面,0,
RPSNMLNKJHMFFHR96CA,坡道平面,0,
RPTNMLNKJHMFFHR07CA,坡道平面,0,
RPUNMLNKJHMFFHR17CA,坡道平面,0,
RPVNMLNKJHMFFHR27CA,坡道平面,0,
RPUNMLOJJHMFFFR96CA,其他,0,
RPUNMLOJJHMFFFR96CA,其他,0,
RPVNMLOJJHMFFFR07CA,其他,0,
RPVNMLOJJHMFFFR07CA,其他,0,
RPSNMLMJKHMFFFR66CA,一樓平面,0,
RPVPMLRKJHMFFFR67CA,一樓平面,0,
RPWPMLRKJHMFFFR77CA,一樓平面,0,
RPUNMLLKJHMFFHR96CA,坡道平面,0,22.00
RPWRMLPLJHMFFHR08CA,坡道平面,0,22.00
RPTQMLNLJHMFFHR47CA,坡道平面,0,22.00
RPUPMLMKJHMFFAD97EA,坡道機械,0,
RPQNMLKKJHMFFBD17DA,坡道機械,0,
RPSNMLPLJHMFFCD08DA,坡道平面,0,
RPROMLNLJHMFFCD77CA,坡道機械,0,
RPUNMLSKJHMFFAR96CA,坡道機械,0,
RPPNMLNKJHMFFER98CA,坡道平面,0,36.72
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPOOMLNLJHMFFAD27CA,坡道機械,0,
RPPQMLKLJHMFFAD27CA,坡道平面,0,33.42
