鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
東區,建物,臺南市東區勝利路31~60號,0.0,住,,,1051128,土地0建物2車位0,見其他登記事項,3,店面(店鋪),住家用,加強磚造,0550805,418.71,4,6,5,有,無,無,112000,267,,0.0,0,,RPUOMLSJKILFFCD68CC
東區,房地(土地+建物),臺南市東區富農街一段72巷1~30號,0.0,住,,,1051202,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0611211,99.22,3,1,1,有,無,無,8000,81,,0.0,0,,RPUNMLMKKILFFCD08CC
東區,房地(土地+建物),臺南市東區裕孝路661~690號,82.13,住,,,1051119,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土構造,1010202,205.70999999999998,5,2,4,有,無,有,25000,122,,0.0,0,,RPRNMLPKKILFFCD08CC
東區,房地(土地+建物),臺南市東區裕農路1~30號,100.0,其他,,,1051213,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0610622,232.89,5,2,3,有,無,無,28000,120,,0.0,0,,RPTNMLPKKILFFCD28CC
東區,房地(土地+建物),臺南市東區裕豐街241~270號,67.0,其他,,,1051213,土地2建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0641124,85.2,4,2,1,有,無,無,15000,176,,0.0,0,,RPSNMLQKKILFFCD28CC
東區,房地(土地+建物),臺南市東區裕信二街151~180號,317.39,其他,,,1051210,土地2建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土構造,0871007,224.68,5,2,6,有,無,有,30000,134,,0.0,0,,RPTNMLQKKILFFCD38CC
東區,房地(土地+建物),臺南市東區東門路三段365巷1~30號,117.27,其他,,,1051118,土地1建物1車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,鋼筋混凝土構造,0990915,119.58,0,0,0,無,無,無,42000,351,,0.0,0,,RPUNMLQKKILFFCD48CC
南區,房地(土地+建物),臺南市南區金華路一段91~120號,115.0,住,,,1051221,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土構造,0640807,226.14,1,3,2,有,無,無,40000,177,,0.0,0,,RPUNMLMLKILFFCD18CC
東區,建物,臺南市東區林森路一段391~420號,0.0,商,,,1060101,土地0建物1車位0,十四層,14,辦公商業大樓,商業用,鋼筋混凝土構造,0870526,195.3,0,0,0,無,無,有,30000,154,,0.0,0,租賃範圍不含車位，且無法區分車位面積。,RPPNMLMJJHMFFCD37CC
關廟區,房地(土地+建物),臺南市關廟區關新路一段811~840號,93.0,,鄉村區,乙種建築用地,1051202,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040722,183.87,5,2,3,有,無,無,13000,71,,0.0,0,鄉村區乙種建築用地,RPQNMLMJJHMFFFR56CC
永康區,房地(土地+建物),臺南市永康區勝利街22弄45弄61~90號,65.22,其他,,,1060101,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0641101,89.93,4,2,3,有,無,無,12000,133,,0.0,0,,RPOQMLNJJHMFFHR96CC
永康區,建物,臺南市永康區南臺街13巷31~60號,0.0,住,,,1051209,土地0建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840523,101.96,4,2,2,有,有,有,15000,147,,0.0,0,,RPXPMLOJJHMFFHR87CC
北區,房地(土地+建物),臺南市北區海安路三段571~600號,112.2,商,,,1051218,土地1建物1車位0,一層,5,店面(店鋪),見其他登記事項,見其他登記事項,0930830,63.06,2,2,1,有,無,無,20000,317,,0.0,0,,RPTNMLOJJHMFFAD77CC
北區,房地(土地+建物),臺南市北區開元路485巷41弄1~30號,0.0,住,,,1051217,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0891120,21.84,1,0,1,有,無,有,5500,252,,0.0,0,,RPVNMLOJJHMFFAD97CC
東區,房地(土地+建物),臺南市東區崇明路61~90號,64.76,住,,,1060101,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土構造,0860226,122.83,4,1,2,有,無,無,22000,179,,0.0,0,承租1-2樓,RPUNMLOJJHMFFCD08CC
東區,建物,臺南市東區中華東路三段380巷55弄1~30號,0.0,住,,,1060101,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土構造,0781130,262.6,4,2,3,有,無,無,21000,80,,0.0,0,,RPVOMLPJJHMFFCD38CC
東區,房地(土地+建物),臺南市東區中華東路二段151~180號,2.96,其他,,,1051210,土地1建物1車位0,十一層,14,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0970229,34.2,1,0,1,有,有,有,8000,234,,0.0,0,租金含管理費、網路、第四台。,RPWOMLPJJHMFFCD48CC
安平區,房地(土地+建物)+車位,臺南市安平區怡平路468巷61~90號,0.0,住,,,1051231,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土構造,0890724,71.44,3,2,2,有,無,有,13000,182,坡道機械,11.32,0,,RPOPMLPJJHMFFAD57CC
北區,建物,臺南市北區公園路769巷20弄31~60號,0.0,住,,,1051231,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0600610,83.36,2,2,1,有,無,有,9000,108,,0.0,0,,RPPRMLPJJHMFFAD87CC
北區,土地,正興段1021~1050地號,0.0,住,,,1051221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,6500,0,,0.0,0,,RPOSMLPJJHMFFAD87CC
安定區,房地(土地+建物),臺南市安定區海寮61~90號,560.0,,鄉村區,乙種建築用地,1051228,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0751205,444.54,7,4,6,有,無,無,10000,22,,0.0,0,,RPUNMLPJJHMFFER17CC
永康區,建物,臺南市永康區中正南路592巷38弄1~30號,0.0,住,,,1051213,土地0建物0車位0,一層,2,套房(1房1廳1衛),住商用,加強磚造,0700722,19.8,1,0,1,有,無,有,4500,227,,0.0,0,租金含網路、第四台及水。,RPRPMLQJJHMFFHR47CC
北區,房地(土地+建物),臺南市北區中華北路一段361~390號,80.9,住,,,1060102,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土構造,0840615,274.33,5,2,4,有,無,無,27000,98,,0.0,0,,RPQNMLRJJHMFFAD77CC
中西區,建物,臺南市中西區府前路二段258巷31~60號,0.0,住,,,1060105,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0790615,28.85,1,1,1,有,有,有,6500,225,,0.0,0,,RPQOMLTJJHMFFAD08CC
永康區,建物,臺南市永康區復華三街90巷1~30號,0.0,商,,,1060104,土地0建物1車位0,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831108,161.02,3,2,2,有,有,有,14350,89,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.租金已包含車位,RPTOMLTJJHMFFHR87CC
南區,建物,臺南市南區永成路三段372巷51弄1~30號,57.0,,,,1051229,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土構造,1050205,198.75,5,2,3,有,無,無,22000,111,,0.0,0,,RPRNMLTJJHMFFCD28CC
東區,房地(土地+建物),臺南市東區崇明路31~60號,79.0,住,,,1051229,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土構造,0741120,121.15,3,2,2,有,無,無,25000,206,,0.0,0,,RPSNMLTJJHMFFCD38CC
東區,房地(土地+建物),臺南市東區自由路一段31~60號,89.0,住,,,1060109,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土構造,1010312,209.3,5,2,3,有,無,有,25000,119,,0.0,0,,RPQNMLKKJHMFFCD37CC
東區,建物,臺南市東區裕農路726巷2弄1~30號,0.0,住,,,1051212,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0700921,88.42,3,1,1,有,無,有,8000,90,,0.0,0,,RPVOMLKKJHMFFCD97CC
東區,房地(土地+建物),臺南市東區中華東路二段151~180號,2.96,其他,,,1051214,土地1建物1車位0,十一層,14,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0970229,34.2,1,0,1,有,有,有,7500,219,,0.0,0,租金含管理費。,RPWOMLKKJHMFFCD08CC
永康區,建物,臺南市永康區東橋十街31~60號,0.0,住,,,1060109,土地0建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1001128,208.05,5,2,6,有,無,無,39000,187,,0.0,0,,RPOOMLKKJHMFFHR56CC
永康區,建物,臺南市永康區復華六街67巷1~30號,0.0,住,,,1051217,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,見其他登記事項,1050202,73.97,2,1,1,有,有,有,18000,243,,0.0,0,租金含管理費。,RPPPMLKKJHMFFHR76CC
中西區,房地(土地+建物),臺南市中西區中華西路二段661~690號,97.71,其他,,,1060107,土地1建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,見其他登記事項,0941226,287.86,4,2,4,有,無,無,32000,111,,0.0,0,,RPQNMLLKJHMFFAD27CC
北區,建物,臺南市北區開元路485巷41弄1~30號,0.0,住,,,1051219,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0891120,89.73,3,1,2,有,有,有,12000,134,,0.0,0,,RPQOMLLKJHMFFAD37CC
安南區,建物,臺南市安南區城西一街249巷113弄1~30號,0.0,住,,,1051218,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0850716,148.78,3,1,3,有,無,無,13000,87,,0.0,0,,RPSNMLLKJHMFFBD57CC
東區,建物,臺南市東區富農街一段199巷1~30號,0.0,住,,,1051218,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0801121,177.87,4,2,2,有,有,無,15000,84,,0.0,0,,RPOOMLLKJHMFFCD37CC
東區,建物,臺南市東區裕農路121~150號,0.0,住,,,1060105,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0630412,124.57,3,2,2,有,無,無,18000,144,,0.0,0,,RPPOMLLKJHMFFCD47CC
新營區,房地(土地+建物),臺南市新營區大同路31~60號,4.88,住,,,1051226,土地1建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811015,32.9,3,2,2,有,無,無,8000,243,,0.0,0,,RPVNMLLKJHMFFAR56CC
新市區,房地(土地+建物),臺南市新市區中山路211~240號,140.33,住,,,1051223,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0960712,102.06,0,0,0,無,無,無,20000,196,,0.0,0,內含兩個外部車位,RPSOMLMKJHMFFER86CC
安南區,建物,臺南市安南區大安街1~30號,99.47,住,,,1051230,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0701217,113.8,5,1,3,有,無,無,12000,105,,0.0,0,,RPQOMLMKJHMFFBD57CC
永康區,建物,臺南市永康區中正北路31~60號,0.0,住,,,1060101,土地0建物1車位0,十層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830524,50.26,1,0,1,有,無,無,7000,139,,0.0,0,,RPSNMLMKJHMFFHR07CC
東區,建物,臺南市東區崇善十四街31~60號,0.0,住,,,1060112,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0700727,117.52,2,2,3,有,無,無,10000,85,,0.0,0,,RPTNMLNKJHMFFCD97CC
