鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路1~30號,26.42,住,,,1051007,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,155.44,3,2,2,有,有,11100000,71410,坡道平面,0.0,0,本買賣含裝潢,RPPNMLPKKHMFFEE97CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路1~30號,26.35,住,,,1050901,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,155.1,3,2,2,有,有,11700000,75435,坡道平面,0.0,0,本買賣含裝潢,RPQNMLPKKHMFFEE08CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路1~30號,26.93,住,,,1051025,土地1建物1車位1,十七層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,158.41,3,2,2,有,有,12600000,79540,坡道平面,0.0,0,本買賣含裝潢,RPRNMLPKKHMFFEE18CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路1~30號,20.17,住,,,1051027,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,122.37,3,1,2,有,有,9000000,73547,坡道平面,0.0,0,本買賣含裝潢,RPSNMLPKKHMFFEE28CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路1~30號,27.06,住,,,1051030,土地1建物1車位1,四層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,159.48000000000002,3,2,2,有,有,10700000,67093,坡道平面,0.0,0,本買賣含裝潢及登記兩人各持分二分之一,RPTNMLPKKHMFFEE38CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路1~30號,26.93,住,,,1051025,土地1建物1車位1,十六層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,158.41,3,2,2,有,有,11900000,75122,坡道平面,0.0,0,本買賣含裝潢,RPUNMLPKKHMFFEE48CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路1~30號,19.98,住,,,1051128,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,121.63,3,1,2,有,有,8660000,71200,坡道平面,0.0,0,本買賣含裝潢,RPVNMLPKKHMFFEE58CA
梓官區,土地,梓義段691~720地號,4532.27,,一般農業區,農牧用地,1051220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18480000,4077,,0.0,0,,RPUNMLNJJHMFFFE18CA
燕巢區,土地,尖山段661~690地號,390.0,,山坡地保育區,農牧用地,1051226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,520000,1333,,0.0,0,,RPOOMLOJJHMFFFE77CA
左營區,土地,福民段241~270地號,33.43,住,,,1051212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,329046,,0.0,0,,RPPOMLMJKHMFFEE67CA
左營區,房地(土地+建物)+車位,高雄市左營區福山里博愛四路361~390號,11.03,商,,,1051226,土地1建物1車位1,八層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021202,227.14,4,2,2,有,有,16600000,71795,坡道機械,10.55,1050000,,RPUNMLOLJHMFFEE38CA
左營區,房地(土地+建物),高雄市左營區文康路181~210號,9.36,住,,,1051226,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870114,122.17999999999999,2,1,1,有,有,6600000,54019,,0.0,0,,RPUOMLSKJHMFFEE78CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路1~30號,27.06,住,,,1051205,土地1建物1車位1,二層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,159.48000000000002,3,2,2,有,有,10300000,64585,坡道平面,0.0,0,,RPPNMLLLJHMFFEE57CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路1~30號,27.06,住,,,1051205,土地1建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,159.48000000000002,3,2,2,有,有,10300000,64585,坡道平面,0.0,0,,RPQNMLLLJHMFFEE67CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路1~30號,26.93,住,,,1051205,土地1建物1車位1,九層,二十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,158.69,3,2,2,有,有,10900000,68687,坡道平面,0.0,0,,RPRNMLLLJHMFFEE77CA
左營區,房地(土地+建物),高雄市左營區新莊一路1~30號,9.09,住,,,1051208,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050826,91.61,2,1,2,有,有,6300000,68770,,0.0,0,,RPPOMLNLJHMFFEE87CA
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路1~30號,15.57,住,,,1051208,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050826,156.14,3,2,2,有,有,10320000,66095,坡道平面,0.0,0,,RPQOMLNLJHMFFEE97CA
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路1~30號,20.07,住,,,1051208,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050826,201.67000000000002,4,2,2,有,有,13780000,68329,坡道平面,0.0,0,,RPROMLNLJHMFFEE08CA
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路1~30號,20.07,住,,,1051208,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050826,201.67000000000002,4,2,2,有,有,12820000,63569,坡道平面,0.0,0,,RPUOMLNLJHMFFEE38CA
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路1~30號,15.12,住,,,1051216,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050826,152.16000000000003,3,2,2,有,有,9780000,64274,坡道平面,0.0,0,,RPWOMLNLJHMFFEE58CA
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路1~30號,17.91,住,,,1051109,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050826,179.83999999999997,3,2,2,有,有,11320000,62945,坡道平面,0.0,0,,RPOPMLNLJHMFFEE87CA
岡山區,房地(土地+建物),高雄市岡山區信中街117巷8弄1~30號,1616.12,,特定農業區,農牧用地,1051219,土地8建物2車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840920,378.79,10,2,6,有,無,12000000,31680,,0.0,0,"親友間之交易,含未登記建物。",RPSOMLQJJHMFFFE38CA
岡山區,房地(土地+建物),高雄市岡山區和平路91~120號,115.59,住,,,1051129,土地13建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0810826,106.6,4,2,3,有,無,5000000,46904,,0.0,0,親友間之交易。,RPQNMLRJJHMFFFE18CA
岡山區,房地(土地+建物)+車位,高雄市岡山區筧橋路1~30號,32.53,住,,,1051216,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950306,182.18,3,2,2,有,有,5800000,31837,坡道平面,0.0,0,,RPSOMLRKJHMFFFE58CA
岡山區,土地,岡山段301~330地號,67.33,商,,,1051219,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3950000,58666,,0.0,0,1.土地共有人間之交易。2.含地上未登記建物。3.親友、員工或其他特殊關係間之交易。,RPQNMLSKJHMFFFE38CA
燕巢區,房地(土地+建物),高雄市燕巢區安西路1~30號,74.65,住,,,1051128,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,0781115,105.45,4,2,3,有,無,934105,8858,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLNLJHMFFFE38CA
岡山區,房地(土地+建物),高雄市岡山區前峰路91~120號,6.03,住,,,1051223,土地3建物1車位0,三層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851125,35.24,1,1,1,有,有,900000,25539,,0.0,0,,RPQPMLNLJHMFFFE18CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區五甲二路149巷31~60號,17.64,住,,,1051221,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840428,119.44999999999999,3,2,2,有,有,4500000,37673,坡道平面,0.0,0,,RPQNMLOJJHMFFGE97CA
鳳山區,房地(土地+建物),高雄市鳳山區五福二路100巷1~30號,22.85,住,,,1051204,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681020,57.42,2,2,2,有,無,4200000,73145,,0.0,0,,RPRNMLOJJHMFFGE08CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區過埤里高鳳一路1~30號,16.61,住,,,1051226,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1030810,115.4,2,1,1,有,有,5620000,48700,坡道平面,28.35,0,,RPWNMLOJJHMFFGE58CA
鳳山區,房地(土地+建物),高雄市鳳山區青年路二段151~180號,26.96,住,,,1051206,土地1建物1車位0,一層，二層，三層，騎樓,十九層,店面(店鋪),住商用,鋼筋混凝土造,0810419,221.7,0,0,0,無,有,15500000,69914,,0.0,0,,RPXNMLOJJHMFFGE68CA
鳳山區,土地,五甲段271~300地號,12.5,其他,,,1051218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,565750,45260,,0.0,0,本案為協議價購案件。,RPRNMLQJJHMFFGE28CA
鳳山區,土地,五甲段271~300地號,12.5,其他,,,1051218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,565750,45260,,0.0,0,本案為協議價購案件。,RPSNMLQJJHMFFGE38CA
鳳山區,房地(土地+建物),高雄市鳳山區信義街91~120號,21.17,住,,,1051219,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700510,49.4,2,1,1,有,無,1580000,31984,,0.0,0,,RPVOMLQJJHMFFGE78CA
鳳山區,房地(土地+建物),高雄市鳳山區杭州西街121~150號,14.95,住,,,1051220,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850110,110.1,3,1,2,有,無,4000000,36331,,0.0,0,,RPTNMLTJJHMFFGE78CA
鳳山區,房地(土地+建物),高雄市鳳山區鎮東街1~30號,28.87,住,,,1051210,土地1建物1車位0,一層，二層，騎樓,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690204,88.92,3,2,2,有,無,4500000,50607,,0.0,0,,RPWNMLNKJHMFFGE58CA
大樹區,房地(土地+建物),高雄市大樹區姑山路91~120號,117.0,,特定農業區,甲種建築用地,1051209,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0761201,168.03,4,2,3,有,無,1035769,6164,,0.0,0,,RPQOMLNKJHMFFGE08CA
鳳山區,土地,牛潮埔段571~600地號,319.0,工,,,1051215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8685000,27226,,0.0,0,含未保存登記建物一棟。,RPRPMLPLJHMFFGE58CA
鳳山區,土地,牛潮埔段571~600地號,468.0,工,,,1051215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12741300,27225,,0.0,0,含未辦保存登記建物一棟。,RPOPMLPLJHMFFGE28CA
