編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLPKKHMFFEE97CA,2,92.47,見其它登記事項,見其它登記事項,104年2月16日,二十三層,十五層
RPPNMLPKKHMFFEE97CA,2,62.97,見其它登記事項,見其它登記事項,104年2月16日,二十三層,
RPQNMLPKKHMFFEE08CA,2,92.27,見其它登記事項,見其它登記事項,104年2月16日,二十三層,十五層
RPQNMLPKKHMFFEE08CA,2,62.83,見其它登記事項,見其它登記事項,104年2月16日,二十三層,
RPRNMLPKKHMFFEE18CA,2,94.44,見其它登記事項,見其它登記事項,104年2月16日,二十三層,十七層
RPRNMLPKKHMFFEE18CA,2,63.97,見其它登記事項,見其它登記事項,104年2月16日,二十三層,
RPSNMLPKKHMFFEE28CA,2,70.60,見其它登記事項,見其它登記事項,104年2月16日,二十三層,十三層
RPSNMLPKKHMFFEE28CA,2,51.77,見其它登記事項,見其它登記事項,104年2月16日,二十三層,
RPTNMLPKKHMFFEE38CA,2,95.09,見其它登記事項,見其它登記事項,104年2月16日,二十三層,四層
RPTNMLPKKHMFFEE38CA,2,64.39,見其它登記事項,見其它登記事項,104年2月16日,二十三層,
RPUNMLPKKHMFFEE48CA,2,94.44,見其它登記事項,見其它登記事項,104年2月16日,二十三層,十六層
RPUNMLPKKHMFFEE48CA,2,63.97,見其它登記事項,見其它登記事項,104年2月16日,二十三層,
RPVNMLPKKHMFFEE58CA,2,70.00,見其它登記事項,見其它登記事項,104年2月16日,二十三層,二十一層
RPVNMLPKKHMFFEE58CA,2,51.63,見其它登記事項,見其它登記事項,104年2月16日,二十三層,
RPUNMLOLJHMFFEE38CA,3,141.18,住家用,鋼筋混凝土造,102年12月2日,二十五層,八層
RPUNMLOLJHMFFEE38CA,3,85.96,見其它登記事項,鋼筋混凝土造,102年12月2日,二十五層,
RPUOMLSKJHMFFEE78CA,19,82.77,住家用,鋼筋混凝土造,87年1月14日,十三層,九層
RPUOMLSKJHMFFEE78CA,19,39.41,見使用執照,鋼筋混凝土造,87年1月14日,十三層,
RPPNMLLLJHMFFEE57CA,2,95.09,見其它登記事項,見其它登記事項,104年2月16日,二十三層,二層
RPPNMLLLJHMFFEE57CA,2,64.39,見其它登記事項,見其它登記事項,104年2月16日,二十三層,
RPQNMLLLJHMFFEE67CA,2,95.09,見其它登記事項,見其它登記事項,104年2月16日,二十三層,三層
RPQNMLLLJHMFFEE67CA,2,64.39,見其它登記事項,見其它登記事項,104年2月16日,二十三層,
RPRNMLLLJHMFFEE77CA,2,94.58,見其它登記事項,見其它登記事項,104年2月16日,二十三層,九層
RPRNMLLLJHMFFEE77CA,2,64.11,見其它登記事項,見其它登記事項,104年2月16日,二十三層,
RPPOMLNLJHMFFEE87CA,,58.71,見其它登記事項,見其它登記事項,105年8月26日,十五層,二層
RPPOMLNLJHMFFEE87CA,,32.90,見其它登記事項,見其它登記事項,105年8月26日,十五層,
RPQOMLNLJHMFFEE97CA,,81.40,見其它登記事項,見其它登記事項,105年8月26日,十五層,十一層
RPQOMLNLJHMFFEE97CA,,74.74,見其它登記事項,見其它登記事項,105年8月26日,十五層,
RPROMLNLJHMFFEE08CA,,110.48,見其它登記事項,見其它登記事項,105年8月26日,十五層,十一層
RPROMLNLJHMFFEE08CA,,91.19,見其它登記事項,見其它登記事項,105年8月26日,十五層,
RPUOMLNLJHMFFEE38CA,,110.48,見其它登記事項,見其它登記事項,105年8月26日,十五層,四層
RPUOMLNLJHMFFEE38CA,,91.19,見其它登記事項,見其它登記事項,105年8月26日,十五層,
RPWOMLNLJHMFFEE58CA,,81.40,見其它登記事項,見其它登記事項,105年8月26日,十五層,五層
RPWOMLNLJHMFFEE58CA,,70.76,見其它登記事項,見其它登記事項,105年8月26日,十五層,
RPOPMLNLJHMFFEE87CA,,96.57,見其它登記事項,見其它登記事項,105年8月26日,十五層,三層
RPOPMLNLJHMFFEE87CA,,83.27,見其它登記事項,見其它登記事項,105年8月26日,十五層,
RPSOMLQJJHMFFFE38CA,21,199.85,住家用,鋼筋混凝土造,84年9月20日,四層,一層 二層 三層 四層
RPSOMLQJJHMFFFE38CA,21,178.94,住家用,鋼筋混凝土造,84年9月20日,四層,一層 二層 三層 四層
RPQNMLRJJHMFFFE18CA,24,106.60,見其他登記事項,加強磚造,81年8月26日,二層,一層 二層 屋頂突出物
RPSOMLRKJHMFFFE58CA,11,116.49,住家用,鋼筋混凝土造,95年3月6日,十三層,十二層
