鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
苓雅區,房地(土地+建物)+車位,林德官段一小段2581~2610地號,11.99,商,,,1040318,土地1建物1車位1,四層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.15,3,1,2,有,無,14920000,81463,坡道平面,0.0,0,,RPOOMLKMKILFFBE47CB
苓雅區,房地(土地+建物)+車位,林德官段一小段2581~2610地號,10.4,商,,,1040807,土地1建物1車位1,十層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.79,2,1,2,有,無,12670000,78798,坡道平面,0.0,0,,RPQOMLKMKILFFBE67CB
新興區,房地(土地+建物)+車位,新興段三小段1441~1470地號,24.34,商,,,1040813,土地1建物1車位2,十九層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,322.06,3,1,2,有,無,37880000,117618,坡道平面,0.0,0,,RPSOMLKMKILFFBE87CB
新興區,房地(土地+建物)+車位,新興段三小段1441~1470地號,24.34,商,,,1040813,土地1建物1車位2,二十層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,322.06,3,1,2,有,無,37880000,117618,坡道平面,0.0,0,,RPTOMLKMKILFFBE97CB
苓雅區,房地(土地+建物)+車位,林德官段一小段2581~2610地號,12.23,商,,,1040726,土地1建物1車位1,九層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,186.5,3,1,2,有,無,16880000,90509,坡道平面,0.0,0,,RPXOMLKMKILFFBE38CB
苓雅區,房地(土地+建物)+車位,林德官段一小段2581~2610地號,12.23,商,,,1040318,土地1建物1車位2,十五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.07,3,1,2,有,無,19130000,98067,坡道平面,0.0,0,,RPOPMLKMKILFFBE57CB
苓雅區,房地(土地+建物)+車位,林德官段一小段2581~2610地號,10.4,商,,,1041025,土地1建物1車位1,四層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.79,2,1,2,有,無,11100000,69034,坡道平面,0.0,0,,RPTPMLKMKILFFBE08CB
苓雅區,房地(土地+建物)+車位,林德官段一小段2581~2610地號,10.4,商,,,1040320,土地1建物1車位1,五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.79,2,1,2,有,無,12000000,74632,坡道平面,0.0,0,,RPUPMLKMKILFFBE18CB
苓雅區,房地(土地+建物)+車位,林德官段一小段2581~2610地號,10.4,商,,,1040408,土地1建物1車位1,十一層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.79,2,1,2,有,無,12880000,80104,坡道平面,0.0,0,,RPQQMLKMKILFFBE87CB
苓雅區,房地(土地+建物)+車位,林德官段一小段2581~2610地號,10.4,商,,,1040319,土地1建物1車位1,十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.79,2,1,2,有,無,13280000,82592,坡道平面,0.0,0,,RPRQMLKMKILFFBE97CB
