編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPOOMLKMKILFFBE47CB,林德官段一小段,11.99,都市：商
RPQOMLKMKILFFBE67CB,林德官段一小段,10.40,都市：商
RPSOMLKMKILFFBE87CB,新興段三小段,24.34,都市：商
RPTOMLKMKILFFBE97CB,新興段三小段,24.34,都市：商
RPXOMLKMKILFFBE38CB,林德官段一小段,12.23,都市：商
RPOPMLKMKILFFBE57CB,林德官段一小段,12.23,都市：商
RPTPMLKMKILFFBE08CB,林德官段一小段,10.40,都市：商
RPUPMLKMKILFFBE18CB,林德官段一小段,10.40,都市：商
RPQQMLKMKILFFBE87CB,林德官段一小段,10.40,都市：商
RPRQMLKMKILFFBE97CB,林德官段一小段,10.40,都市：商
RPSQMLKMKILFFBE08CB,林德官段一小段,10.40,都市：商
RPUQMLKMKILFFBE28CB,林德官段一小段,14.19,都市：商
RPVQMLKMKILFFBE38CB,林德官段一小段,10.40,都市：商
RPXQMLKMKILFFBE58CB,林德官段一小段,10.15,都市：商
RPORMLKMKILFFBE77CB,林德官段一小段,10.15,都市：商
RPPRMLKMKILFFBE87CB,林德官段一小段,11.25,都市：商
RPQRMLKMKILFFBE97CB,林德官段一小段,9.91,都市：商
RPRRMLKMKILFFBE08CB,林德官段一小段,11.25,都市：商
RPSRMLKMKILFFBE18CB,林德官段一小段,11.25,都市：商
RPTRMLKMKILFFBE28CB,林德官段一小段,11.25,都市：商
RPURMLKMKILFFBE38CB,林德官段一小段,11.25,都市：商
RPVRMLKMKILFFBE48CB,林德官段一小段,11.25,都市：商
RPWRMLKMKILFFBE58CB,林德官段一小段,11.25,都市：商
