編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
SPQOMLRJJHIFFBF67CA,9,.05,見其他登記事項,鋼筋混凝土造,92年8月31日,十層,一層
SPPPMLSKIIIFFBF87CA,6,.11,見其他登記事項,鋼筋混凝土造,96年12月24日,九層,一層
SPPPMLSKIIIFFBF87CA,6,.47,共有部份,鋼筋混凝土造,96年12月24日,九層,
RPWOMLLJNHJFFBF08CA,34,75.90,住家用,鋼筋混凝土造,69年1月8日,四層,二層 陽台
RPPNMLTJNHJFFBF28EA,33,91.02,住家用,鋼筋混凝土造,69年11月15日,五層,二層 陽台
RPSUMLLLKHMFFEF98EA,,113.17,住家用,鋼筋混凝土造,103年3月14日,七層,三層
RPSUMLLLKHMFFEF98EA,,16.40,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
RPSUMLLLKHMFFEF98EA,,25.37,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
SPSUMLLLKHMFFEF09EA,,101.24,住家用,鋼筋混凝土造,103年3月14日,七層,二層
SPSUMLLLKHMFFEF09EA,,17.46,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
SPSUMLLLKHMFFEF09EA,,22.52,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
SPSUMLLLKHMFFEF09EA,,39.34,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
TPSUMLLLKHMFFEF56EA,,101.16,住家用,鋼筋混凝土造,103年3月14日,七層,三層
TPSUMLLLKHMFFEF56EA,,17.46,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
TPSUMLLLKHMFFEF56EA,,22.52,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
TPSUMLLLKHMFFEF56EA,,39.34,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
UPSUMLLLKHMFFEF66EA,,130.28,住家用,鋼筋混凝土造,103年3月14日,七層,三層
UPSUMLLLKHMFFEF66EA,,23.88,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
UPSUMLLLKHMFFEF66EA,,27.84,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
VPSUMLLLKHMFFEF76EA,,224.60,住家用,鋼筋混凝土造,103年3月14日,七層,六層 七層
VPSUMLLLKHMFFEF76EA,,40.44,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
VPSUMLLLKHMFFEF76EA,,47.15,見其他登記事項,鋼筋混凝土造,103年3月14日,七層,
