編號,車位類別,車位價格,車位面積平方公尺
RPTNMLLJJHMFFEF08CC,坡道平面,0,31.45
RPRNMLMJJHMFFDF87CC,坡道平面,3500,37.10
RPTRMLNJJHMFFDF58CC,坡道平面,0,
RPTRMLNJJHMFFDF58CC,坡道平面,0,
RPURMLNJJHMFFDF68CC,坡道平面,0,
RPWRMLNJJHMFFDF88CC,坡道平面,0,
RPWRMLNJJHMFFDF88CC,坡道平面,0,
RPXPMLNJJHMFFBF58CC,坡道平面,0,27.19
RPPQMLNJJHMFFHF48CC,升降機械,0,21.39
RPPOMLNJJHMFFAF77EC,升降平面,2000,47.07
RPXNMLOJJHMFFEF98EC,坡道機械,0,6.73
RPRPMLOJJHMFFEF38CC,坡道平面,0,12.28
RPRPMLOJJHMFFEF38CC,坡道平面,0,18.26
RPPSMLOJJHMFFBF18CC,坡道平面,0,29.40
RPRSMLPJJHMFFEF78CC,坡道平面,2500,33.30
RPRSMLPJJHMFFEF78CC,坡道平面,2500,29.92
RPVOMLQJJHMFFHF56CC,坡道平面,0,32.61
RPQPMLQJJHMFFHF78CC,坡道平面,3833,40.35
RPSWMLQJJHMFFBF09CC,坡道平面,0,28.10
RPPNNLQJJHMFFBF97CC,坡道平面,0,18.92
RPPNMLRJJHMFFDF18CC,坡道機械,0,23.58
RPPNMLRJJHMFFEF28CC,坡道平面,0,28.69
RPSSMLTJJHMFFBF98CC,坡道平面,0,32.56
RPTSMLTJJHMFFBF09CC,坡道平面,0,17.71
RPWSMLTJJHMFFBF76CC,坡道平面,0,35.06
RPPTMLTJJHMFFBF78CC,坡道平面,0,
RPVRMLKKJHMFFAF48EC,坡道平面,0,33.70
RPTPMLKKJHMFFBF97CC,坡道平面,0,27.05
RPTOMLKKJHMFFDF08CC,坡道平面,3500,37.10
RPUOMLKKJHMFFDF18CC,坡道平面,3500,37.10
RPXTMLLKJHMFFBF88CC,坡道平面,0,12.49
RPPUMLLKJHMFFBF18CC,坡道平面,0,34.99
RPOVMLLKJHMFFBF18CC,坡道平面,0,26.56
RPQPMLLKJHMFFIF48CC,坡道平面,0,38.03
RPUPMLLKJHMFFIF88CC,坡道平面,0,29.80
RPQOMLLKJHMFFDF08EC,坡道機械,2000,21.34
RPTNMLNKJHMFFDF28CC,坡道平面,0,31.50
RPVNMLNKJHMFFDF48CC,坡道平面,0,31.50
RPVNMLNKJHMFFDF48CC,坡道平面,0,31.50
RPPNMLOKJHMFFIF48CC,坡道平面,0,21.10
RPQNMLOKJHMFFIF58CC,坡道平面,0,29.83
RPSNMLOKJHMFFIF78CC,坡道平面,0,29.83
RPPNMLPKJHMFFIF58CC,坡道平面,0,18.42
RPQNMLPKJHMFFEF28CC,坡道平面,0,4.54
