鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮武營路42巷1~30號,33.26,住,,,1051126,土地1建物2車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830629,150.85,3,2,2,有,無,5400000,35797,一樓平面,0.0,0,,RPTNMLNLKHMFFBG18CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮龍祥二路1~30號,3550.0,,工業區,丁種建築用地,1051206,土地3建物5車位0,一層，二層，地下層,二層,廠辦,見其他登記事項,見其他登記事項,0761214,1845.14,2,2,3,有,無,34758240,18838,,0.0,0,1.權利人共二人   2.公司與股東間產權移轉,RPRNMLRKKHMFFAG38EA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市力行路171巷1~30號,70.28,住,,,1051215,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0591130,76.9,5,2,3,有,無,3950000,51365,,0.0,0,含增建三樓,RPRNMLSKKHMFFBG58EA
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮大坑路181~210號,25.17,住,,,1051209,土地1建物1車位1,十七層,十七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1050516,111.25,0,0,0,無,有,7520000,67596,坡道平面,0.0,850000,,RPTNMLQJJHMFFBG28DA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮大坑路181~210號,24.93,住,,,1051209,土地1建物1車位0,十七層,十七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1050516,79.06,0,0,0,無,有,6380000,80698,,0.0,0,,SPTNMLQJJHMFFBG38DA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮大坑路181~210號,24.93,住,,,1051209,土地1建物1車位0,十七層,十七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1050516,79.06,0,0,0,無,有,6340000,80192,,0.0,0,,TPTNMLQJJHMFFBG48DA
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮大坑路181~210號,25.17,住,,,1051209,土地1建物1車位1,十七層,十七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1050516,111.95,0,0,0,無,有,7480000,66816,坡道平面,0.0,850000,,UPTNMLQJJHMFFBG58DA
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮大坑路181~210號,26.85,住,,,1051209,土地1建物1車位1,十七層,十七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1050516,117.15,0,0,0,無,有,8060000,68801,坡道平面,0.0,850000,,VPTNMLQJJHMFFBG68DA
頭城鎮,土地,下埔段1351~1380地號,472.32,,特定農業區,甲種建築用地,1051206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12858800,27225,,0.0,0,,RPPOMLTKJHMFFBG38DA
三星鄉,土地,尾塹段31~60地號,30.0,,特定農業區,農牧用地,1051226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,165000,5500,,0.0,0,向宜蘭縣政府承購,RPRNMLNJJHMFFAG77EA
三星鄉,土地,尾塹段31~60地號,17.0,,特定農業區,農牧用地,1051226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,94000,5529,,0.0,0,向宜蘭縣政府承購,RPSNMLNJJHMFFAG87EA
三星鄉,土地,尾塹段31~60地號,36.0,,特定農業區,農牧用地,1051226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,198000,5500,,0.0,0,向宜蘭縣政府承購,RPTNMLNJJHMFFAG97EA
三星鄉,土地,尾塹段31~60地號,41.0,,特定農業區,農牧用地,1051226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,226000,5512,,0.0,0,向宜蘭縣政府承購,RPUNMLNJJHMFFAG08EA
羅東鎮,土地,新西安段841~870地號,3.99,,特定農業區,農牧用地,1051226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000,6266,,0.0,0,1.向宜蘭縣政府承購   2.權利人共五人,RPROMLNJJHMFFAG87EA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路二段248巷1~30號,49.44,住,,,1051208,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0640227,81.79,3,2,1,有,無,2800000,34234,,0.0,0,1.親屬間交易(舅媽.外甥)   2.未辦保存部份面積4.91平方公尺,RPRNMLOJJHMFFAG87EA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮思村路121~150號,80.51,住,,,1051124,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0700923,164.85,3,2,3,有,無,3350000,20322,,0.0,0,本案建物另有增建,RPXNMLOJJHMFFAG48EA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路91~120號,11.99,住,,,1051215,土地1建物1車位0,七層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861017,65.24,1,1,1,有,無,3750000,57480,,0.0,0,,RPPPMLPLJHMFFBG08CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮中山路二段160巷1~30號,38.11,住,,,1051215,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850109,131.15,3,2,2,有,無,1650000,12581,,0.0,0,,RPQOMLNJJHMFFAG57CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮馬賽路397巷1~30號,116.31,住,,,1051205,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1051014,212.36,0,0,3,無,無,8900000,41910,,0.0,0,,RPQNMLPJJHMFFAG67CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮忠孝路571~600號,125.73,住,,,1051205,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051014,253.04,0,0,3,無,無,9000000,35567,,0.0,0,,RPRNMLPJJHMFFAG77CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮忠孝路571~600號,115.73,住,,,1051205,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051014,238.02,0,0,3,無,無,8500000,35711,,0.0,0,,RPSNMLPJJHMFFAG87CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮倉前路61~90號,21.17,其他,,,1051207,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820119,131.75,3,2,2,有,有,5800000,44023,,0.0,0,,RPVNMLQJJHMFFAG28CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮蘇南路181~210號,22.77,住,,,1051214,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700826,68.75,2,1,1,有,無,1000000,14545,,0.0,0,親友買賣。,RPUNMLPJJHMFFAG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉冬山路一段31~60號,122.1,,風景區,丙種建築用地,1051101,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0701224,191.13,0,0,3,無,無,4500000,23544,,0.0,0,,RPWOMLTJJHMFFAG78CA
羅東鎮,土地,仁愛一段451~480地號,50.78,,特定農業區,甲種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,45293,,0.0,0,,RPUOMLLKJHMFFAG87CA
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉季水路清水一巷1弄31~60號,51.76,,鄉村區,乙種建築用地,1051207,土地1建物1車位1,一層，二層,四層,其他,住家用,鋼筋混凝土造,0870602,148.27,2,2,2,有,無,2800000,18884,坡道平面,0.0,0,重疊別墅,RPQOMLSKJHMFFAG18CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉大埔中路131巷18弄1~30號,49.68,,特定農業區,甲種建築用地,1051220,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0701217,63.0,2,2,2,有,無,1350000,21429,,0.0,0,,RPROMLSKJHMFFAG28CA
五結鄉,土地,利工段571~600地號,91.3,,工業區,丁種建築用地,1051223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2210000,24206,,0.0,0,,RPQOMLOLJHMFFAG87CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉柯林五路286巷1~30號,59.73,,特定農業區,甲種建築用地,1051214,土地1建物1車位0,一層，二層，三層，四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841220,137.36,2,2,3,有,無,3980000,28975,,0.0,0,重疊別墅,RPSQMLOLJHMFFAG28CA
壯圍鄉,土地,壯濱三段1321~1350地號,118.0,,一般農業區,甲種建築用地,1051202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,8475,,0.0,0,,RPWNMLOJJHMFFBG28CA
頭城鎮,土地,新金面段31~60地號,3091.13,,特定農業區,農牧用地,1051222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8400000,2717,,0.0,0,,RPXNMLOJJHMFFBG38CA
員山鄉,土地,深溝段601~630地號,3010.0,,特定農業區,農牧用地,1051210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8942000,2971,,0.0,0,,RPVNMLQJJHMFFBG38CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉礁溪路四段61~90號,19.65,住,,,1051208,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860529,118.35999999999999,0,0,1,無,無,5000000,42244,,0.0,0,,RPRNMLRJJHMFFBG08CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市嵐峰路一段91~120號,18.48,住,,,1051219,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840302,117.15,3,2,2,有,有,5500000,46948,,0.0,0,,RPVOMLKKJHMFFBG97CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市嵐峰路三段421~450號,17.99,住,,,1051221,土地2建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840125,96.32,3,2,2,有,有,4550000,47238,,0.0,0,,RPQNMLLKJHMFFBG47CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民族路121~150號,128.86,住,,,1051215,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0640901,179.98,0,0,4,無,無,18500000,102789,,0.0,0,含3、4樓未辦保存登記，依稅籍證明登記為103.7平方公尺。,RPTNMLLKJHMFFBG77CA
礁溪鄉,土地,三民段631~660地號,284.0,,特定農業區,甲種建築用地,1051125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1900000,6690,,0.0,0,父子間買賣,RPPOMLQJJHMFFBG87CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路181~210號,18.05,住,,,1051220,土地1建物1車位0,六層,十六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1051006,95.18,1,1,1,有,有,8350000,87729,,0.0,0,雨遮不計價。,RPVOMLQJJHMFFBG48CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路181~210號,14.67,住,,,1051223,土地1建物1車位0,十層,十六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1051006,76.85,1,1,1,有,有,6970000,90696,,0.0,0,雨遮不計價。,RPWOMLQJJHMFFBG58CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路181~210號,14.95,住,,,1051208,土地1建物1車位0,十四層,十六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1051006,77.74,1,1,1,有,有,8030000,103293,,0.0,0,雨遮不計價。權利人為2人。,RPOPMLQJJHMFFBG87CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路一段245巷80弄1~30號,224.91,住,,,1051212,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0940920,227.4,4,2,2,有,無,15500000,68162,,0.0,0,,RPPPMLQJJHMFFBG97CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市女中路二段266巷1~30號,25.0,住,,,1051215,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0700316,84.03,3,2,2,有,無,3980000,47364,,0.0,0,,RPQPMLQJJHMFFBG08CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉永美路二段83巷31~60號,107.0,,特定農業區,甲種建築用地,1051213,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0840618,151.91,4,2,3,有,無,6700000,44105,,0.0,0,,RPRPMLQJJHMFFBG18CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉新南路四段1~30號,98.0,,特定農業區,甲種建築用地,1051208,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701231,99.0,0,0,0,無,無,4100000,41414,,0.0,0,,RPSPMLQJJHMFFBG28CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉仁愛路31~60號,8.48,住,,,1051212,土地1建物1車位0,一層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851014,49.11,1,1,1,有,有,3200000,65160,,0.0,0,,RPRNMLPJJHMFFBG87CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市縣政八街51巷51弄31~60號,152.37,住,,,1051210,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0950421,164.98,3,1,4,有,無,11200000,67887,,0.0,0,,RPSPMLPJJHMFFBG18CA
五結鄉,土地,利工段661~690地號,99.92,,工業區,丁種建築用地,1051119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2115400,21171,,0.0,0,,RPPNMLMJKHMFFAG37CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉長春一路112巷1~30號,168.25,,特定農業區,甲種建築用地,1051201,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050904,310.15,4,2,5,有,無,16000000,51588,,0.0,0,,RPVNMLOLJHMFFAG28CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉長春一路91~120號,264.66,,特定農業區,農牧用地,1051201,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050904,239.03,4,2,5,有,無,18600000,77815,,0.0,0,1.與105年其他案件合併計價。2.原總價1850萬元，保存後建物面積增加9.03平方公尺，補貼10萬元。,RPXNMLNJKHMFFAG28CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉長春一路112巷1~30號,420.62,,特定農業區,農牧用地,1051201,土地6建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050904,406.33,4,2,5,有,無,23295134,57331,,0.0,0,1.與105年其他案件合併計價。2.原總價2320萬元，保存後建物面積增加13.09平方公尺，補貼95134元。,RPOOMLNJKHMFFAG47CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉長春一路112巷1~30號,156.29,,特定農業區,甲種建築用地,1051201,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050904,312.24,4,2,5,有,無,16777402,53732,,0.0,0,1.與105年其他案件合併計價。2.原總價1668萬元，保存後建物面積增加4.30平方公尺，補貼97402元。,RPPOMLNJKHMFFAG57CA
