編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLNLKHMFFBG18CA,22,105.20,住家用,鋼筋混凝土造,83年6月29日,六層,二層
RPTNMLNLKHMFFBG18CA,22,45.65,共有部分,鋼筋混凝土造,83年6月29日,六層,
RPRNMLRKKHMFFAG38EA,36,604.59,工業用,鋼筋混凝土加強磚造,70年4月7日,一層,一層
RPRNMLRKKHMFFAG38EA,36,147.52,見其他登記事項,鋼筋混凝土加強磚造,70年4月7日,二層,一層 二層
RPRNMLRKKHMFFAG38EA,29,845.45,見其他登記事項,見其他登記事項,76年12月14日,二層,一層 二層 地下層
RPRNMLRKKHMFFAG38EA,29,36.50,見其他登記事項,鋼筋混凝土造,76年12月14日,一層,一層
RPRNMLRKKHMFFAG38EA,29,211.08,見其他登記事項,鋼筋混凝土造,76年12月14日,二層,一層 二層
RPRNMLSKKHMFFBG58EA,46,76.90,住家用,鋼筋混凝土加強磚造,59年11月30日,二層,一層 二層
RPTNMLQJJHMFFBG28DA,1,.24,見其他登記事項,鋼筋混凝土造,105年5月16日,十七層,一層
RPTNMLQJJHMFFBG28DA,1,.02,見其他登記事項,鋼筋混凝土造,105年5月16日,十七層,
RPTNMLQJJHMFFBG28DA,1,44.09,見其他登記事項,鋼筋混凝土造,105年5月16日,十七層,十七層
RPTNMLQJJHMFFBG28DA,1,31.86,見其他登記事項,鋼筋混凝土造,105年5月16日,十七層,
RPTNMLQJJHMFFBG28DA,1,35.05,見其他登記事項,鋼筋混凝土造,105年5月16日,十七層,
SPTNMLQJJHMFFBG38DA,1,.24,見其他登記事項,鋼筋混凝土造,105年5月16日,十七層,一層
SPTNMLQJJHMFFBG38DA,1,.02,見其他登記事項,鋼筋混凝土造,105年5月16日,十七層,
SPTNMLQJJHMFFBG38DA,1,44.09,見其他登記事項,鋼筋混凝土造,105年5月16日,十七層,十七層
