鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
龜山區,房地(土地+建物)+車位,桃園市龜山區長壽路269巷1~30號,15.81,住,,,1051101,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030530,87.6,2,2,1,有,有,有,15000,171,坡道平面,46.9,0,,RPSNMLLJKILFFHH58CC
龜山區,房地(土地+建物)+車位,桃園市龜山區興華一街272巷1~30號,21.69,住,,,1051101,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981109,72.6,1,1,1,有,有,有,15000,207,坡道平面,29.88,0,,RPVNMLLJKILFFHH88CC
龜山區,建物,桃園市龜山區復興一路121~150號,0.0,商,,,1051201,土地0建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0840504,27.43,0,0,0,無,無,無,40000,1458,,0.0,0,,RPQNMLPJKILFFHH78CC
中壢區,建物,桃園市中壢區長樂四街1~30號,0.0,住,,,1051101,土地0建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850904,89.33,3,2,2,有,有,有,12000,134,,0.0,0,,RPUPMLRJKILFFBH98CC
中壢區,建物,桃園市中壢區中豐路1~30號,0.0,住,,,1051201,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0640822,162.0,0,2,2,有,無,無,24000,148,,0.0,0,,RPWPMLSJKILFFBH66CC
龜山區,房地(土地+建物),桃園市龜山區文青二路1~30號,5.45,住,,,1051201,土地1建物1車位0,一層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040709,112.28,0,0,0,無,有,無,28000,249,,0.0,0,,RPPNMLSJKILFFHH98CC
楊梅區,房地(土地+建物),桃園市楊梅區高獅路822巷1~30號,435.9,,一般農業區,丁種建築用地,1051201,土地2建物1車位0,見其他登記事項,2,廠辦,工業用,鋼造,0841128,337.06,0,0,0,有,無,無,120000,356,,0.0,0,,RPROMLTJKILFFDH98CC
龜山區,建物,桃園市龜山區文青路151~180號,0.0,工,,,1051101,土地0建物1車位0,十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040814,111.97,3,2,2,有,有,無,12000,107,,0.0,0,,RPTNMLNKKILFFHH98CC
龜山區,房地(土地+建物),桃園市龜山區文二三街1~30號,24.55,住,,,1051101,土地1建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900315,33.519999999999996,2,1,1,有,有,有,12000,358,,0.0,0,,RPVNMLNKKILFFHH56CC
龜山區,房地(土地+建物),桃園市龜山區文化三路37巷1~30號,6.51,住,,,1051101,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0970421,79.67,2,2,1,有,有,有,16000,201,,0.0,0,,RPXNMLNKKILFFHH76CC
龜山區,房地(土地+建物)+車位,桃園市龜山區光峰路181~210號,17.91,住,,,1051101,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000701,160.16,3,2,2,有,無,無,17000,106,坡道平面,0.0,0,,RPVNMLOKKILFFHH66CC
龜山區,房地(土地+建物),桃園市龜山區文興路61~90號,15.67,住,,,1051201,土地1建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880106,107.57,2,2,2,有,有,無,12000,112,,0.0,0,,RPQNMLPKKILFFHH88CC
龜山區,房地(土地+建物)+車位,桃園市龜山區文學路211~240號,17.49,住,,,1051201,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041113,146.58,2,2,2,有,有,無,15000,102,坡道平面,23.78,0,,RPSNMLTKKILFFHH86CC
龜山區,土地,樂善段151~180地號,430.0,住,,,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,27000,63,,0.0,0,,RPWNMLKLKILFFHH09CC
龜山區,房地(土地+建物),桃園市龜山區大華村頂湖路1~30號,4323.0,工,,,1051101,土地1建物1車位0,一層,2,工廠,工業用,見其他登記事項,0880210,1194.36,0,0,0,無,無,有,215000,,,0.0,0,,RPRNMLMLKILFFHH78CC
龜山區,房地(土地+建物)+車位,桃園市龜山區文學路241~270號,22.53,住,,,1051101,土地1建物1車位1,二十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041113,112.05,4,2,2,有,有,有,16000,143,坡道平面,26.11,0,,RPQNMLNLKILFFHH78CC
龜山區,建物,桃園市龜山區文青路151~180號,0.0,住,,,1051201,土地0建物1車位0,十二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040814,177.32,4,2,2,有,有,無,16500,93,坡道平面,32.44,0,,RPSNMLNLKILFFHH98CC
龜山區,房地(土地+建物),桃園市龜山區自強西路150巷1~30號,24.99,住,,,1051201,土地2建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700410,94.24,3,2,1,有,無,有,9000,96,,0.0,0,,RPUNMLRLKILFFHH96CC
龜山區,房地(土地+建物),桃園市龜山區文興路1~30號,15.21,商,,,1051201,土地1建物1車位0,一層,10,店面(店鋪),見其他登記事項,鋼筋混凝土造,0920820,97.47,0,0,0,無,有,無,30000,308,,0.0,0,,RPSNMLSLKILFFHH86CC
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路151~180號,17.57,住,,,1051201,土地1建物1車位1,四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040814,111.52000000000001,2,2,1,有,無,無,15000,135,坡道平面,37.58,0,,RPUNMLSLKILFFHH07CC
龜山區,房地(土地+建物)+車位,桃園市龜山區文學路241~270號,23.47,住,,,1051201,土地1建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041113,214.97,4,2,2,有,有,無,18000,84,坡道平面,23.73,0,,RPTNMLTLKILFFHH07CC
龜山區,房地(土地+建物),桃園市龜山區大同路121~150號,25.25,住,,,1051201,土地4建物1車位0,一層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0850319,78.23,1,1,1,有,無,無,18000,230,,0.0,0,,RPSNMLKMKILFFHH78CC
楊梅區,土地,草湳坡段埔心小段31~60地號,1155.0,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,90000,78,,0.0,0,,RPPNMLMJJHMFFDH97DC
楊梅區,土地,草湳坡段埔心小段31~60地號,1155.0,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,90000,78,,0.0,0,,RPQNMLMJJHMFFDH08DC
蘆竹區,房地(土地+建物),桃園市蘆竹區忠孝東路1~30號,155.54,住,,,1051201,土地1建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040425,46.04,3,3,4,有,無,無,33600,730,,0.0,0,,RPTNMLNJJHMFFEH48CC
八德區,建物,桃園市八德區廣興二路1~30號,0.0,商,,,1051201,土地0建物1車位1,六層,15,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030120,162.4,3,2,2,有,有,無,15000,92,坡道平面,34.81,0,,RPPNMLNJJHMFFFH18CC
八德區,房地(土地+建物)+車位,桃園市八德區中華路31巷1~30號,17.81,住,,,1051201,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970425,155.76,3,2,2,有,有,有,18000,116,坡道平面,0.0,0,,RPXNMLNJJHMFFFH98CC
中壢區,建物,桃園市中壢區廈門街31~60號,0.0,住,,,1051201,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0710920,166.77,4,1,3,有,無,無,23000,138,,0.0,0,,RPXRMLNJJHMFFBH98CC
中壢區,建物,桃園市中壢區普義路217巷1~30號,0.0,住,,,1051201,土地0建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930924,94.32000000000001,3,2,2,有,有,有,15000,159,坡道平面,0.0,0,,RPUSMLNJJHMFFBH78CC
