編號,車位類別,車位價格,車位面積平方公尺
RPSNMLLJKILFFHH58CC,坡道平面,0,46.90
RPVNMLLJKILFFHH88CC,坡道平面,0,29.88
RPVNMLOKKILFFHH66CC,坡道平面,0,
RPSNMLTKKILFFHH86CC,坡道平面,0,23.78
RPQNMLNLKILFFHH78CC,坡道平面,0,26.11
RPSNMLNLKILFFHH98CC,坡道平面,0,32.44
RPUNMLSLKILFFHH07CC,坡道平面,0,37.58
RPTNMLTLKILFFHH07CC,坡道平面,0,23.73
RPPNMLNJJHMFFFH18CC,坡道平面,0,34.81
RPXNMLNJJHMFFFH98CC,坡道平面,0,
RPUSMLNJJHMFFBH78CC,坡道平面,0,
RPVOMLNJJHMFFAH38CC,坡道平面,0,
RPWPMLOJJHMFFBH78CC,坡道平面,0,
RPXPMLOJJHMFFBH88CC,坡道平面,0,
RPTNMLOJJHMFFFH68CC,坡道平面,0,38.87
RPROMLOJJHMFFDH38CC,坡道平面,0,29.13
RPSNMLPJJHMFFAH28DC,坡道平面,0,73.73
RPRPMLKKJHMFFFH48DC,坡道平面,0,27.93
RPWQMLKKJHMFFFH09DC,坡道平面,0,31.42
RPTOMLKKJHMFFAH97CC,坡道平面,0,
RPOPMLKKJHMFFAH67DC,坡道平面,0,36.89
RPQOMLLKJHMFFGH38CC,升降平面,0,3.89
RPROMLLKJHMFFDH18CC,坡道平面,0,32.10
RPUQMLLKJHMFFBH48CC,坡道平面,0,31.38
RPUNMLMKJHMFFBH28CC,坡道平面,0,35.26
RPRNMLMKJHMFFAH87CC,坡道平面,0,27.14
RPQNMLMKJHMFFFH28CC,坡道平面,0,29.67
RPSNMLMKJHMFFFH48CC,坡道平面,0,33.24
RPOOMLNKJHMFFEH28DC,坡道平面,0,35.49
