鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,房地(土地+建物),嘉義市嘉義市福全街61~90號,139.72,住,,,1051101,土地3建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1010514,265.43,4,2,5,有,無,13000000,48977,,0.0,0,,RPXNMLNJJHMFFAI38CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市仁愛路331~360號,9.61,商,,,1051201,土地2建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850130,97.52,3,1,2,有,有,3200000,32814,坡道機械,0.0,0,,RPRNMLOJJHMFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義市五福街185巷1~30號,63.0,住,,,1051101,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0860307,166.45,5,2,4,有,無,5200000,31241,,0.0,0,,RPQOMLNKJHMFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義市福州一街61~90號,11.9,住,,,1051201,土地1建物1車位0,三層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0811221,57.86,1,1,1,有,有,1520000,26270,,0.0,0,,RPQOMLOKJHMFFAI97CA
嘉義市,土地,下路頭段421~450地號,157.0,住,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,44586,,0.0,0,,RPROMLOKJHMFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義市路271~300號,8.68,住,,,1051201,土地1建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0801218,46.79,1,1,1,有,有,1130000,24150,,0.0,0,,RPSOMLQKJHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市芳安路416巷1~30號,62.0,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0590701,90.75,3,1,2,有,無,2600000,28650,,0.0,0,含增建或未登記建物。,RPWOMLOLJHMFFAI68CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市世賢路一段871~900號,23.85,住,,,1051201,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820604,141.0,3,2,2,有,有,3000000,21277,升降平面,0.0,0,,RPOPMLQLJHMFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市友忠路911巷1~30號,96.0,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0770801,64.5,3,1,2,有,無,4000000,62016,,0.0,0,,RPSNMLOJJHMFFAI18EA
嘉義市,土地,車店段151~180地號,576.0,住,,,1051001,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,45100000,78299,,0.0,0,,RPVNMLOJJHMFFAI48EA
嘉義市,房地(土地+建物),嘉義市嘉義市光彩街391~420號,79.0,商,,,1051101,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1040911,274.11,4,2,4,有,無,21000000,76612,,0.0,0,,RPOOMLQJKHMFFAI18EA
嘉義市,土地,下路頭段1~30地號,72.0,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8110000,112639,,0.0,0,向政府機關承購之案件。,RPSNMLNLJHMFFAI18DA
嘉義市,房地(土地+建物),嘉義市嘉義市芳安路17巷211~240號,61.0,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住商用,見其他登記事項,0681015,83.2,2,1,1,有,無,2000000,24038,,0.0,0,,RPRNMLTJJHMFFAI58EA
嘉義市,房地(土地+建物),嘉義市嘉義市北榮里向榮街211~240號,15.65,住,,,1051201,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841013,117.66,3,2,2,有,有,2600000,22098,,0.0,0,,RPUNMLTJJHMFFAI88EA
嘉義市,房地(土地+建物),嘉義市嘉義市興達路541~570號,10.85,住,,,1051201,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830406,90.39,2,1,2,有,有,2450000,27105,,0.0,0,,RPPNMLPJJHMFFAI97EA
嘉義市,土地,埤子頭段301~330地號,0.5,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,0,,0.0,0,,RPRNMLPJJHMFFAI18EA
嘉義市,房地(土地+建物),嘉義市嘉義市友愛路721~750號,18.02,住,,,1051201,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800627,122.5,3,2,2,有,有,3330000,27184,,0.0,0,,RPVOMLNKJHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市國華街271~300號,7.13,商,,,1051201,土地1建物1車位0,五層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0771108,43.43,1,0,1,有,無,1030000,23716,,0.0,0,,RPQNMLQJJHMFFAI97CA
嘉義市,土地,下路頭段421~450地號,142.0,住,,,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7731000,54444,,0.0,0,,RPSNMLQJJHMFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路510巷61~90號,70.0,住,,,1051201,土地2建物1車位0,全,二層,透天厝,住家用,木造,0611113,73.8,3,2,1,有,無,3100000,42005,,0.0,0,,RPXNMLPJJHMFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市自強街421~450號,142.8,住,,,1051101,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1041006,305.46,4,3,5,有,無,17800000,58273,,0.0,0,,RPOOMLPJJHMFFAI77CA
嘉義市,土地,中庄段1111~1140地號,105.33,農,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,862000,8184,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLQJJHMFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市南京路20巷31~60號,21.68,住,,,1051201,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840306,122.35,3,2,2,有,有,2950000,24111,,0.0,0,,RPXNMLTJJHMFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市興達路421~450號,16.48,住,,,1051201,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830905,114.6,3,2,2,有,無,2960000,25829,,0.0,0,,RPWNMLRJJHMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市國揚四街1~30號,26.0,住,,,1051101,土地1建物2車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820325,131.85,3,2,2,有,有,2100000,15927,,0.0,0,親友特殊關係間之交易。,RPXNMLRJJHMFFAI78CA
嘉義市,土地,港子坪段1~30地號,269.0,住,,,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,55762,,0.0,0,,RPPOMLPJJHMFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義市文化路432巷1~30號,14.44,住,,,1051201,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810714,67.72,2,1,1,有,有,2650000,39132,,0.0,0,,RPTNMLQJJHMFFAI28CA
