編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLNJJHMFFAI38CA,5,265.43,見其他登記事項,見其他登記事項,101年5月14日,四層,一層 二層 三層 四層 見其他登記事項
RPRNMLOJJHMFFAI87CA,21,65.58,住家用,鋼筋混凝土造,85年1月30日,十四層,十一層
RPRNMLOJJHMFFAI87CA,21,31.94,共有部份,鋼筋混凝土造,85年1月31日,十四層,
RPQOMLNKJHMFFAI87CA,20,166.45,見其他登記事項,鋼筋混凝土造,86年3月7日,四層,一層 二層 三層 四層
RPQOMLOKJHMFFAI97CA,24,43.83,住家用,鋼筋混凝土造,81年12月21日,六層,三層
RPQOMLOKJHMFFAI97CA,24,14.03,共有部份,鋼筋混凝土造,81年12月21日,六層,
RPSOMLQKJHMFFAI38CA,25,37.93,住家用,鋼筋混凝土造,80年12月18日,七層,七層
RPSOMLQKJHMFFAI38CA,25,8.86,共有部份,鋼筋混凝土造,80年12月18日,七層,
RPWOMLOLJHMFFAI68CA,46,90.75,住家用,鋼筋混凝土加強磚造,59年7月1日,二層,一層 二層
RPOPMLQLJHMFFAI18CA,24,90.92,住家用,鋼筋混凝土造,82年6月4日,七層,四層
RPOPMLQLJHMFFAI18CA,24,50.08,共有部份,鋼筋混凝土造,82年6月4日,七層,
RPSNMLOJJHMFFAI18EA,28,64.50,住家用,加強磚造,77年8月1日,二層,一層 二層
RPOOMLQJKHMFFAI18EA,1,274.11,見其他登記事項,見其他登記事項,104年9月11日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPRNMLTJJHMFFAI58EA,37,83.20,住商用,見其他登記事項,68年10月15日,二層,一層 二層
RPUNMLTJJHMFFAI88EA,21,19.45,共有部份,鋼筋混凝土造,84年10月13日,十二層,
RPUNMLTJJHMFFAI88EA,21,98.21,住家用,鋼筋混凝土造,84年10月13日,十二層,六層
RPPNMLPJJHMFFAI97EA,23,72.69,住家用,鋼筋混凝土造,83年4月6日,十二層,三層
RPPNMLPJJHMFFAI97EA,23,8.97,共有部份,鋼筋混凝土造,83年4月6日,十二層,
