鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030701,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.82,3,2,2,有,無,7620000,62575,坡道平面,20.83,800000,,RPVNMLTJJHMFFDK76CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030701,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.82,3,2,2,有,無,7650000,63309,坡道平面,20.83,750000,,RPWNMLTJJHMFFDK86CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030701,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.82,3,2,2,有,無,7530000,61911,坡道平面,19.5,700000,,RPSOMLTJJHMFFDK56CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030701,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.82,3,2,2,有,無,7580000,62666,坡道平面,20.83,750000,,RPXOMLTJJHMFFDK07CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030801,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.82,3,2,2,有,無,8070000,66245,坡道平面,20.83,850000,,RPQQMLTJJHMFFDK56CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030501,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.58,3,2,2,有,無,7840000,61885,坡道平面,20.82,800000,,RPSQMLTJJHMFFDK76CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030501,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.58,3,2,2,有,無,7670000,60396,坡道平面,20.83,800000,,RPTQMLTJJHMFFDK86CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030701,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.82,3,2,2,有,無,7470000,61296,坡道平面,21.82,850000,,RPORMLTJJHMFFDK09CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.69,商,,,1030401,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.05,3,2,2,有,無,7970000,63211,坡道平面,20.83,750000,,RPQNMLKKJHMFFDK08CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.65,商,,,1030401,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.06,3,2,2,有,無,7950000,63403,坡道平面,19.5,750000,,RPRNMLKKJHMFFDK18CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030401,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.96,3,2,2,有,無,7830000,63259,坡道平面,20.83,800000,,RPSNMLKKJHMFFDK28CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.65,商,,,1030701,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.05,3,2,2,有,無,8410000,67813,坡道平面,20.83,800000,,RPTNMLKKJHMFFDK38CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030901,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.0,3,2,2,有,無,7770000,63967,坡道平面,21.82,850000,,RPUNMLKKJHMFFDK48CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030401,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.96,3,2,2,有,無,7830000,63259,坡道平面,20.83,800000,,RPVNMLKKJHMFFDK58CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.65,商,,,1030401,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.05,3,2,2,有,無,8230000,66209,坡道平面,20.83,800000,,RPWNMLKKJHMFFDK68CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.65,商,,,1030401,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.05,3,2,2,有,無,7930000,63536,坡道平面,20.83,800000,,RPOOMLKKJHMFFDK97CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030701,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.0,3,2,2,有,無,7870000,64761,坡道平面,20.83,800000,,RPPOMLKKJHMFFDK08CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.69,商,,,1030701,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.05,3,2,2,有,無,8470000,66378,坡道平面,19.5,800000,,RPROMLKKJHMFFDK28CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.65,商,,,1030401,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.05,3,2,2,有,無,8270000,65675,坡道平面,20.83,900000,,RPSOMLKKJHMFFDK38CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.69,商,,,1030601,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.05,3,2,2,有,無,8370000,66378,坡道平面,19.5,700000,,RPTOMLKKJHMFFDK48CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.69,商,,,1030701,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.05,3,2,2,有,無,8570000,69772,坡道平面,25.12,900000,,RPUOMLKKJHMFFDK58CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.63,商,,,1030501,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.96,3,2,2,有,無,7580000,61010,坡道平面,20.83,800000,,RPVOMLKKJHMFFDK68CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.65,商,,,1030501,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.05,3,2,2,有,無,7850000,62823,坡道平面,20.83,800000,,RPWOMLKKJHMFFDK78CB
竹南鎮,房地(土地+建物)+車位,大同段691~720地號,1.65,商,,,1030401,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.05,3,2,2,有,無,7910000,62467,坡道平面,20.83,900000,,RPXOMLKKJHMFFDK88CB
