鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物),新竹市新竹市東大路三段271~300號,106.18,住,,,1051001,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1041225,302.46,7,2,5,有,有,19500000,64471,,0.0,0,有電梯,RPQOMLSKKHMFFAO66EA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路1~30號,14.43,商,,,1051101,土地2建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050501,168.79000000000002,3,2,2,有,有,11080000,71044,坡道平面,24.09,800000,,RPUNMLMKJHMFFAO78DA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路1~30號,14.89,商,,,1051201,土地2建物1車位2,十八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050501,195.01,3,2,2,有,有,12680000,74845,坡道平面,50.31,1850000,,RPWNMLMKJHMFFAO98DA
新竹市,土地,復興段31~60地號,276.2,其他,,,1051201,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16710000,60500,,0.0,0,,RPVRMLPLJHMFFAO96CA
新竹市,房地(土地+建物),新竹市新竹市明湖路650巷91~120號,69.64,,鄉村區,乙種建築用地,1051101,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,,139.82,4,2,2,有,無,6450000,46131,,0.0,0,,RPTNMLPLJHMFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段412巷1~30號,79.89,,鄉村區,乙種建築用地,1051201,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,217.75,5,1,4,有,無,9980000,45832,,0.0,0,,RPOOMLPLJHMFFAO58CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段412巷1~30號,78.45,,鄉村區,乙種建築用地,1051201,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,193.78,5,1,4,有,無,9430000,48663,,0.0,0,,RPQOMLPLJHMFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段412巷1~30號,78.46,,鄉村區,乙種建築用地,1051201,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,192.87,5,1,4,有,無,10080000,52263,,0.0,0,,RPROMLPLJHMFFAO88CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段412巷1~30號,77.41,,鄉村區,乙種建築用地,1051201,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,189.72,5,1,4,有,無,9380000,49441,,0.0,0,,RPSOMLPLJHMFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段412巷1~30號,78.53,,鄉村區,乙種建築用地,1051201,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,214.4,5,1,4,有,無,11000000,51306,,0.0,0,,RPTOMLPLJHMFFAO09CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段391~420號,91.65,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,247.7,5,1,4,有,無,12000000,48446,,0.0,0,,RPUOMLPLJHMFFAO56CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段412巷1~30號,95.96,,鄉村區,乙種建築用地,1051201,土地4建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,220.26,5,1,4,有,無,9600000,43585,,0.0,0,,RPVOMLPLJHMFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段391~420號,86.97,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,226.66,5,1,4,有,無,11000000,48531,,0.0,0,,RPWOMLPLJHMFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段412巷1~30號,82.59,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,205.88,5,1,4,有,無,10320000,50126,,0.0,0,,RPOPMLPLJHMFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段412巷1~30號,79.68,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,193.78,5,1,4,有,無,9150000,47218,,0.0,0,,RPQPMLPLJHMFFAO88CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段412巷1~30號,78.68,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,192.87,5,1,4,有,無,9500000,49256,,0.0,0,,RPRPMLPLJHMFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段391~420號,112.15,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,300.75,7,1,5,有,無,14200000,47215,,0.0,0,,RPSPMLPLJHMFFAO09CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段391~420號,92.22,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,254.27,5,1,5,有,無,12500000,49160,,0.0,0,,RPUPMLPLJHMFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段391~420號,91.59,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,255.47,5,1,5,有,無,12500000,48929,,0.0,0,,RPPQMLPLJHMFFAO88CA
新竹市,房地(土地+建物),新竹市新竹市延平路二段402巷1~30號,85.94,,鄉村區,乙種建築用地,1051201,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050530,196.71,4,1,4,有,無,9600000,48803,,0.0,0,,RPQQMLPLJHMFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市育英路24巷1~30號,17.81,住,,,1051101,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850822,104.58,3,2,2,有,有,5500000,52591,,0.0,0,,RPSPMLOJJHMFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹市北大路1~30號,6.16,商,,,1051201,土地4建物1車位1,十三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0960703,139.63,3,2,2,有,有,9300000,66605,坡道機械,16.27,0,,RPVQMLOJJHMFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路91~120號,16.42,商,,,1051101,土地1建物1車位1,二十層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050125,181.36,3,2,2,有,有,13810000,83246,坡道平面,29.29,1150000,,RPVNMLPJJHMFFAO98CA
