編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLSKKHMFFAO66EA,1,302.46,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPUNMLMKJHMFFAO78DA,1,98.34,見其他登記事項,鋼筋混凝土造,105年5月1日,二十二層,六層
RPUNMLMKJHMFFAO78DA,1,20.53,共有部分,鋼筋混凝土造,105年5月1日,二十三層,
RPUNMLMKJHMFFAO78DA,1,49.92,共有部分,鋼筋混凝土造,105年5月1日,二十三層,
RPWNMLMKJHMFFAO98DA,1,76.14,共有部分,鋼筋混凝土造,105年5月1日,二十三層,
RPWNMLMKJHMFFAO98DA,1,98.34,見其他登記事項,鋼筋混凝土造,105年5月1日,二十二層,十八層
RPWNMLMKJHMFFAO98DA,1,20.53,共有部分,鋼筋混凝土造,105年5月1日,二十三層,
RPTNMLPLJHMFFAO98CA,,139.82,住家用,鋼筋混凝土造,,三層,一層 二層 三層 地下層
RPOOMLPLJHMFFAO58CA,1,217.75,見其他登記事項,鋼筋混凝土造,105年5月30日,五層,一層 二層 三層 四層 五層
RPQOMLPLJHMFFAO78CA,1,193.78,見其他登記事項,鋼筋混凝土造,105年5月30日,四層,一層 二層 三層 四層 見其他登記事項
RPROMLPLJHMFFAO88CA,1,192.87,見其他登記事項,鋼筋混凝土造,105年5月30日,四層,一層 二層 三層 四層 見其他登記事項
RPSOMLPLJHMFFAO98CA,1,189.72,見其他登記事項,鋼筋混凝土造,105年5月30日,四層,一層 二層 三層 四層 見其他登記事項
RPTOMLPLJHMFFAO09CA,1,214.40,見其他登記事項,鋼筋混凝土造,105年5月30日,五層,一層 二層 三層 四層 五層
RPUOMLPLJHMFFAO56CA,1,247.70,見其他登記事項,鋼筋混凝土造,105年5月30日,五層,一層 二層 三層 四層 五層
RPVOMLPLJHMFFAO66CA,1,220.26,見其他登記事項,鋼筋混凝土造,105年5月30日,五層,一層 二層 三層 四層 五層
RPWOMLPLJHMFFAO76CA,1,226.66,見其他登記事項,鋼筋混凝土造,105年5月30日,五層,一層 二層 三層 四層 五層
RPOPMLPLJHMFFAO68CA,1,205.88,見其他登記事項,鋼筋混凝土造,105年5月30日,四層,一層 二層 三層 四層 見其他登記事項
RPQPMLPLJHMFFAO88CA,1,193.78,見其他登記事項,鋼筋混凝土造,105年5月30日,四層,一層 二層 三層 四層 見其他登記事項
RPRPMLPLJHMFFAO98CA,1,192.87,見其他登記事項,鋼筋混凝土造,105年5月30日,四層,一層 二層 三層 四層 見其他登記事項
RPSPMLPLJHMFFAO09CA,1,300.75,見其他登記事項,鋼筋混凝土造,105年5月30日,五層,一層 二層 三層 四層 五層
RPUPMLPLJHMFFAO66CA,1,254.27,見其他登記事項,鋼筋混凝土造,105年5月30日,五層,一層 二層 三層 四層 五層
RPPQMLPLJHMFFAO88CA,1,255.47,見其他登記事項,鋼筋混凝土造,105年5月30日,五層,一層 二層 三層 四層 五層
RPQQMLPLJHMFFAO98CA,1,196.71,見其他登記事項,鋼筋混凝土造,105年5月30日,四層,一層 二層 三層 四層 見其他登記事項
RPSPMLOJJHMFFAO78CA,20,88.82,住家用,鋼筋混凝土造,85年8月22日,七層,五層
RPSPMLOJJHMFFAO78CA,20,15.76,共有部分,鋼筋混凝土造,85年8月22日,七層,
RPVQMLOJJHMFFAO56CA,9,92.31,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,十三層
RPVQMLOJJHMFFAO56CA,9,19.62,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,
RPVQMLOJJHMFFAO56CA,9,.27,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,
RPVQMLOJJHMFFAO56CA,9,27.42,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,
RPVNMLPJJHMFFAO98CA,1,103.41,見其他登記事項,鋼筋混凝土造,105年1月25日,二十八層,二十層
RPVNMLPJJHMFFAO98CA,1,19.63,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPVNMLPJJHMFFAO98CA,1,29.04,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPVNMLPJJHMFFAO98CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月25日,二十八層,一層
RPVNMLPJJHMFFAO98CA,1,29.26,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPUOMLPJJHMFFAO98CA,24,86.54,住家用,鋼筋混凝土造,82年5月4日,五層,一層
RPUOMLPJJHMFFAO98CA,24,14.64,共有部分,鋼筋混凝土造,82年5月4日,五層,
RPUOMLPJJHMFFAO98CA,24,8.76,,鋼筋混凝土造,82年5月4日,五層,地下層
RPQOMLOJJHMFFAO48CA,5,12.27,共有部分,鋼筋混凝土造,101年4月20日,十一層,
RPQOMLOJJHMFFAO48CA,5,82.87,見其他登記事項,鋼筋混凝土造,101年4月20日,十一層,二層
RPQOMLOJJHMFFAO48CA,5,17.42,共有部分,鋼筋混凝土造,101年4月20日,十一層,
RPSOMLOJJHMFFAO68CA,1,61.41,見其他登記事項,鋼筋混凝土造,104年9月22日,十二層,十二層
RPSOMLOJJHMFFAO68CA,1,85.73,共有部分,鋼筋混凝土造,104年9月22日,十二層,
RPQNMLQJJHMFFAO58CA,22,7.41,共有部分,鋼筋混凝土造,84年1月27日,七層,
RPQNMLQJJHMFFAO58CA,22,10.41,共有部分,鋼筋混凝土造,84年1月27日,七層,
RPQNMLQJJHMFFAO58CA,22,78.83,住家用,鋼筋混凝土造,84年1月27日,七層,五層
RPSNMLRJJHMFFAO88CA,5,72.29,見其他登記事項,鋼筋混凝土造,101年5月28日,七層,三層
RPSNMLRJJHMFFAO88CA,5,58.87,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPSNMLRJJHMFFAO88CA,5,6.30,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPSNMLRJJHMFFAO88CA,5,5.95,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPSNMLRJJHMFFAO88CA,5,1.38,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPPNMLSJJHMFFAO68CA,13,227.06,見其他登記事項,鋼筋混凝土造,92年8月20日,四層,一層 二層 三層 四層
RPQNMLSJJHMFFAO78CA,8,32.56,辦公室,鋼筋混凝土造,98年3月19日,十層,五層
RPQNMLSJJHMFFAO78CA,8,14.76,見其他登記事項,鋼筋混凝土造,98年3月19日,十層,
RPQNMLSJJHMFFAO78CA,8,4.04,見其他登記事項,鋼筋混凝土造,98年3月19日,十層,
RPPPMLTJJHMFFAO98CA,29,150.78,住家用,鋼筋混凝土造,77年4月19日,二層,一層 二層 夾層
RPTNMLKKJHMFFAO38CA,27,85.76,住家用,鋼筋混凝土造,78年8月3日,五層,五層
RPTNMLKKJHMFFAO38CA,27,13.92,共有部分,鋼筋混凝土造,78年8月3日,五層,
RPUNMLKKJHMFFAO48CA,6,99.55,見其他登記事項,鋼筋混凝土造,99年6月25日,十三層,五層
RPUNMLKKJHMFFAO48CA,6,44.36,共有部分,鋼筋混凝土造,99年6月25日,十三層,
RPUNMLKKJHMFFAO48CA,6,.06,見其他登記事項,鋼筋混凝土造,99年6月25日,十三層,一層
RPUNMLKKJHMFFAO48CA,6,20.80,共有部分,鋼筋混凝土造,99年6月25日,十三層,
RPUNMLKKJHMFFAO48CA,6,22.03,共有部分,鋼筋混凝土造,99年6月25日,十三層,
RPUPMLKKJHMFFAO68CA,25,148.98,商業用,鋼筋混凝土造,80年6月27日,七層,四層
RPUPMLKKJHMFFAO68CA,25,30.06,共有部分,鋼筋混凝土造,80年6月27日,七層,
RPWPMLKKJHMFFAO88CA,24,59.08,住家用,鋼筋混凝土造,81年11月23日,七層,五層
RPWPMLKKJHMFFAO88CA,24,18.81,共有部分,鋼筋混凝土造,81年11月23日,000,
RPWPMLKKJHMFFAO88CA,24,93.42,住家用,鋼筋混凝土造,81年11月23日,七層,五層
RPWPMLKKJHMFFAO88CA,24,30.64,共有部分,鋼筋混凝土造,81年11月23日,000,
RPWPMLKKJHMFFAO88CA,24,.93,,鋼筋混凝土造,81年11月23日,七層,地下層
