編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLOJJHMFFAO88CC,42,72.75,住商用,加強磚造,63年10月7日,三層,
RPTNMLOJJHMFFAO88CC,42,17.95,住商用,加強磚造,63年10月7日,三層,
RPTOMLOJJHMFFAO98CC,25,54.33,辦公室,鋼筋混凝土造,80年7月8日,十六層,
RPTOMLOJJHMFFAO98CC,25,19.63,共有部分,鋼筋混凝土造,80年7月8日,十六層,
RPTPMLQJJHMFFAO66CC,9,21.55,辦公室,鋼筋混凝土造,96年10月1日,八層,
RPTPMLQJJHMFFAO66CC,9,25.27,見其他登記事項,鋼筋混凝土造,96年10月1日,八層,
RPUPMLQJJHMFFAO76CC,29,85.32,住家用,鋼筋混凝土造,76年7月2日,五層,
RPUPMLQJJHMFFAO76CC,29,7.36,共有部分,鋼筋混凝土造,76年7月2日,五層,
RPUPMLQJJHMFFAO76CC,29,9.10,共有部分,鋼筋混凝土造,76年7月2日,五層,
RPUOMLLKJHMFFAO88CC,,95.85,住家用,加強磚造,,二層,
RPVOMLLKJHMFFAO98CC,20,190.22,住家用,鋼骨鋼筋混凝土造,85年9月26日,十六層,
RPVOMLLKJHMFFAO98CC,20,4.35,共有部分,鋼骨鋼筋混凝土造,85年9月26日,十六層,
RPVOMLLKJHMFFAO98CC,20,8.97,共有部分,鋼骨鋼筋混凝土造,85年9月26日,十六層,
RPWOMLLKJHMFFAO09CC,19,90.76,住家用,鋼筋混凝土造,86年7月5日,十二層,
RPWOMLLKJHMFFAO09CC,19,26.05,見其他登記事項,鋼筋混凝土造,86年7月5日,十二層,
RPROMLMKJHMFFAO68CC,10,19.87,住家用,鋼筋混凝土造,95年7月31日,五層,
RPROMLMKJHMFFAO68CC,10,9.17,見其他登記事項,鋼筋混凝土造,95年7月31日,五層,
RPUOMLMKJHMFFAO98CC,56,91.82,住家用,加強磚造,50年4月1日,二層,
RPTOMLNKJHMFFAO98CC,21,50.21,見使用執照,鋼筋混凝土造,84年7月15日,十二層,
RPTOMLNKJHMFFAO98CC,21,17.89,共有部分,鋼筋混凝土造,84年7月15日,十二層,
RPXOMLNKJHMFFAO76CC,8,26.38,辦公室,鋼筋混凝土造,97年12月30日,十層,
RPXOMLNKJHMFFAO76CC,8,17.23,見其他登記事項,鋼筋混凝土造,97年12月30日,十層,
RPXOMLNKJHMFFAO76CC,8,4.22,見其他登記事項,鋼筋混凝土造,97年12月30日,十層,
RPPPMLNKJHMFFAO68CC,,22.96,見其他登記事項,見其他登記事項,,三層,
RPRPMLNKJHMFFAO88CC,23,74.15,住家用,鋼筋混凝土造,82年12月13日,十二層,
RPRPMLNKJHMFFAO88CC,23,13.58,共有部分,鋼筋混凝土造,82年12月13日,十二層,
RPRPMLNKJHMFFAO88CC,23,11.35,共有部分,鋼筋混凝土造,82年12月13日,十二層,
RPOOMLOKJHMFFAO58CC,2,74.03,見其他登記事項,鋼筋混凝土造,104年5月5日,十三層,
RPOOMLOKJHMFFAO58CC,2,14.45,共有部分,鋼筋混凝土造,104年5月5日,十三層,
RPOOMLOKJHMFFAO58CC,2,49.73,共有部分,鋼筋混凝土造,104年5月5日,十三層,
