編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLPLJHMFFCQ56DA,35,102.51,住家用,鋼筋混凝土加強磚造,70年12月30日,二層,一層 二層 騎樓 電梯樓梯間
RPQNMLPJJHMFFCQ09EA,32,95.50,住家用,鋼筋混凝土加強磚造,74年5月29日,二層,一層 二層 電梯樓梯間
RPRNMLOJJHMFFBQ78CA,2,1.00,見其他登記事項,鋼筋混凝土造,104年1月6日,一層,一層
RPRNMLOJJHMFFBQ78CA,1,294.25,見其他登記事項,鋼筋混凝土造,104年7月20日,三層,一層 二層 三層
RPPNMLLKJHMFFBQ38CA,29,135.14,住家用,鋼筋混凝土加強磚造,77年5月7日,二層,一層 二層 騎樓
RPPNMLOJJHMFFCQ68CA,,229.05,見其他登記事項,鋼筋混凝土造,104年11月13日,四層,一層 二層 三層 四層
RPQNMLOJJHMFFCQ78CA,,205.42,見其他登記事項,鋼筋混凝土造,104年11月13日,三層,一層 二層 三層 見其他登記事項
RPSNMLOJJHMFFCQ98CA,1,222.17,住家用,鋼筋混凝土造,105年3月15日,四層,一層 二層 三層 四層
RPPNMLPJJHMFFCQ78CA,24,181.89,住家用,鋼筋混凝土造,81年12月24日,三層,一層 二層 三層 電梯樓梯間
RPTNMLOJJHMFFDQ56CA,12,19.73,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,五層
RPTNMLOJJHMFFDQ56CA,12,7.22,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,
RPQNMLQJJHMFFDQ09CA,,173.68,住家用,鋼筋混凝土造,105年9月13日,三層,一層 二層 三層
RPQNMLMKJHMFFDQ78CA,38,91.60,住家用,鋼筋混凝土加強磚造,67年10月30日,二層,一層 二層 騎樓
RPQNMLKLJHMFFDQ68CA,35,79.91,住商用,鋼筋混凝土加強磚造,71年5月18日,三層,一層 二層 三層
RPSNMLTJJHMFFEQ07CA,24,38.83,住家用,鋼筋混凝土造,82年4月1日,十八層,十七層
RPSNMLTJJHMFFEQ07CA,24,1.75,見其他登記事項,鋼筋混凝土造,82年4月1日,,
RPSNMLTJJHMFFEQ07CA,24,7.53,見其他登記事項,鋼筋混凝土造,82年4月1日,十八層,
RPROMLPJJHMFFCQ09CA,40,127.42,住家用,鋼筋混凝土加強磚造,66年3月3日,二層,一層 二層 騎樓
RPQNMLRJJHMFFCQ09CA,36,100.57,住家用,鋼筋混凝土加強磚造,70年2月10日,二層,一層 二層 電梯樓梯間
RPRNMLRJJHMFFCQ56CA,24,79.90,住家用,鋼筋混凝土造,81年11月30日,五層,五層
RPRNMLRJJHMFFCQ56CA,24,8.04,共有部份,鋼筋混凝土造,81年11月30日,地下層,
RPRNMLRJJHMFFCQ56CA,24,6.74,共有部份,鋼筋混凝土造,81年11月30日,五層,
RPOPMLTKJHMFFCQ76CA,,182.57,見其他登記事項,鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPQNMLKKJHMFFBQ38CA,13,17.99,住家用,鋼筋混凝土造,92年8月21日,五層,二層
